"Notes"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year"	"Year Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"0"	"0"	2
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"1"	"1"	31
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"2"	"2"	6
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"3"	"3"	3
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"4"	"4"	1
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"5"	"5"	0
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"6"	"6"	0
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"7"	"7"	0
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"8"	"8"	0
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"9"	"9"	2
	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"17 weeks"	"17"			45
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"0"	"0"	6
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"1"	"1"	29
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"2"	"2"	8
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"3"	"3"	2
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"4"	"4"	0
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"5"	"5"	1
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"6"	"6"	0
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"7"	"7"	0
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"8"	"8"	0
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"9"	"9"	0
	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"18 weeks"	"18"			46
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"0"	"0"	3
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"1"	"1"	44
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"2"	"2"	18
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"3"	"3"	6
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"4"	"4"	0
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"5"	"5"	1
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"6"	"6"	1
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"7"	"7"	0
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"8"	"8"	0
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"9"	"9"	0
	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"19 weeks"	"19"			73
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"0"	"0"	11
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"1"	"1"	95
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"2"	"2"	28
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"3"	"3"	8
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"4"	"4"	1
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"5"	"5"	1
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"6"	"6"	1
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"7"	"7"	0
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"8"	"8"	1
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"9"	"9"	4
	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"	"10"	"10"	2
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"20 weeks"	"20"			152
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"0"	"0"	15
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"1"	"1"	96
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"2"	"2"	23
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"3"	"3"	8
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"4"	"4"	7
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"5"	"5"	5
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"6"	"6"	3
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"7"	"7"	3
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"8"	"8"	3
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"9"	"9"	3
	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"21 weeks"	"21"			166
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"0"	"0"	10
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"1"	"1"	95
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"2"	"2"	34
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"3"	"3"	13
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"4"	"4"	6
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"5"	"5"	7
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"6"	"6"	10
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"7"	"7"	3
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"8"	"8"	0
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"9"	"9"	6
	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"22 weeks"	"22"			184
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"0"	"0"	13
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"1"	"1"	70
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"2"	"2"	26
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"3"	"3"	38
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"4"	"4"	21
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"5"	"5"	26
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"6"	"6"	23
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"7"	"7"	32
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"8"	"8"	20
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"9"	"9"	7
	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"	"10"	"10"	1
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"23 weeks"	"23"			277
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"0"	"0"	10
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"1"	"1"	35
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"2"	"2"	25
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"3"	"3"	25
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"4"	"4"	31
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"5"	"5"	28
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"6"	"6"	43
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"7"	"7"	41
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"8"	"8"	31
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"9"	"9"	28
	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"24 weeks"	"24"			297
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"0"	"0"	6
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"1"	"1"	25
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"2"	"2"	13
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"3"	"3"	19
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"4"	"4"	17
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"5"	"5"	27
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"6"	"6"	44
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"7"	"7"	61
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"8"	"8"	50
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"9"	"9"	35
	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"25 weeks"	"25"			297
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"0"	"0"	3
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"1"	"1"	25
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"2"	"2"	15
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"3"	"3"	11
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"4"	"4"	13
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"5"	"5"	24
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"6"	"6"	26
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"7"	"7"	54
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"8"	"8"	74
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"9"	"9"	40
	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"	"10"	"10"	1
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"26 weeks"	"26"			286
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"0"	"0"	3
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"1"	"1"	18
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"2"	"2"	8
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"3"	"3"	15
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"4"	"4"	29
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"5"	"5"	30
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"6"	"6"	37
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"7"	"7"	72
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"8"	"8"	76
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"9"	"9"	67
	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"	"10"	"10"	1
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"27 weeks"	"27"			356
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"0"	"0"	2
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"1"	"1"	15
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"2"	"2"	14
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"3"	"3"	18
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"4"	"4"	24
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"5"	"5"	22
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"6"	"6"	34
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"7"	"7"	67
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"8"	"8"	98
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"9"	"9"	99
	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"	"10"	"10"	1
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"28 weeks"	"28"			394
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"0"	"0"	1
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"1"	"1"	7
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"2"	"2"	11
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"3"	"3"	10
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"4"	"4"	12
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"5"	"5"	27
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"6"	"6"	30
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"7"	"7"	60
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"8"	"8"	94
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"9"	"9"	128
	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"	"10"	"10"	0
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"29 weeks"	"29"			380
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"0"	"0"	5
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"1"	"1"	13
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"2"	"2"	4
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"3"	"3"	11
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"4"	"4"	15
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"5"	"5"	21
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"6"	"6"	36
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"7"	"7"	72
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"8"	"8"	155
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"9"	"9"	205
	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"	"10"	"10"	4
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"30 weeks"	"30"			541
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"0"	"0"	6
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"1"	"1"	8
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"2"	"2"	8
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"3"	"3"	7
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"4"	"4"	14
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"5"	"5"	28
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"6"	"6"	33
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"7"	"7"	75
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"8"	"8"	151
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"9"	"9"	264
	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"	"10"	"10"	1
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"31 weeks"	"31"			595
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"0"	"0"	7
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"1"	"1"	14
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"2"	"2"	6
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"3"	"3"	10
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"4"	"4"	18
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"5"	"5"	25
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"6"	"6"	45
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"7"	"7"	87
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"8"	"8"	215
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"9"	"9"	474
	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"	"10"	"10"	7
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"32 weeks"	"32"			908
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"0"	"0"	1
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"1"	"1"	9
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"2"	"2"	6
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"3"	"3"	5
