"Notes"	"State"	"State Code"	"Time of Day"	"Time of Day Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"00:00 - 02:59"	"0"	43	3439	12.50
	"Alabama"	"01"	"03:00 - 05:59"	"1"	46	3436	13.39
	"Alabama"	"01"	"06:00 - 08:59"	"2"	45	9198	4.89
	"Alabama"	"01"	"09:00 - 11:59"	"3"	60	9454	6.35
	"Alabama"	"01"	"12:00 - 14:59"	"4"	58	11720	4.95
	"Alabama"	"01"	"15:00 - 17:59"	"5"	53	9159	5.79
	"Alabama"	"01"	"18:00 - 20:59"	"6"	45	6661	6.76
	"Alabama"	"01"	"21:00 - 23:59"	"7"	51	4694	10.86
	"Alabama"	"01"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Alabama"	"01"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"00:00 - 02:59"	"0"	Suppressed	1120	Suppressed
	"Alaska"	"02"	"03:00 - 05:59"	"1"	Suppressed	1095	Suppressed
	"Alaska"	"02"	"06:00 - 08:59"	"2"	11	1580	6.96 (Unreliable)
	"Alaska"	"02"	"09:00 - 11:59"	"3"	Suppressed	1422	Suppressed
	"Alaska"	"02"	"12:00 - 14:59"	"4"	Suppressed	1315	Suppressed
	"Alaska"	"02"	"15:00 - 17:59"	"5"	Suppressed	1244	Suppressed
	"Alaska"	"02"	"18:00 - 20:59"	"6"	Suppressed	1157	Suppressed
	"Alaska"	"02"	"21:00 - 23:59"	"7"	11	1146	9.60 (Unreliable)
	"Alaska"	"02"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Arizona"	"04"	"00:00 - 02:59"	"0"	53	7901	6.71
	"Arizona"	"04"	"03:00 - 05:59"	"1"	45	7814	5.76
	"Arizona"	"04"	"06:00 - 08:59"	"2"	64	11073	5.78
	"Arizona"	"04"	"09:00 - 11:59"	"3"	69	12056	5.72
	"Arizona"	"04"	"12:00 - 14:59"	"4"	74	12367	5.98
	"Arizona"	"04"	"15:00 - 17:59"	"5"	52	11005	4.73
	"Arizona"	"04"	"18:00 - 20:59"	"6"	55	9713	5.66
	"Arizona"	"04"	"21:00 - 23:59"	"7"	48	8786	5.46
	"Arizona"	"04"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Arizona"	"04"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Arkansas"	"05"	"00:00 - 02:59"	"0"	24	2618	9.17
	"Arkansas"	"05"	"03:00 - 05:59"	"1"	31	2497	12.41
	"Arkansas"	"05"	"06:00 - 08:59"	"2"	36	5357	6.72
	"Arkansas"	"05"	"09:00 - 11:59"	"3"	46	6047	7.61
	"Arkansas"	"05"	"12:00 - 14:59"	"4"	44	7057	6.23
	"Arkansas"	"05"	"15:00 - 17:59"	"5"	40	5820	6.87
	"Arkansas"	"05"	"18:00 - 20:59"	"6"	26	4237	6.14
	"Arkansas"	"05"	"21:00 - 23:59"	"7"	29	3382	8.57
	"Arkansas"	"05"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Arkansas"	"05"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"California"	"06"	"00:00 - 02:59"	"0"	224	44444	5.04
	"California"	"06"	"03:00 - 05:59"	"1"	198	44290	4.47
	"California"	"06"	"06:00 - 08:59"	"2"	233	63526	3.67
	"California"	"06"	"09:00 - 11:59"	"3"	267	67814	3.94
	"California"	"06"	"12:00 - 14:59"	"4"	250	69621	3.59
	"California"	"06"	"15:00 - 17:59"	"5"	259	60118	4.31
	"California"	"06"	"18:00 - 20:59"	"6"	260	54727	4.75
	"California"	"06"	"21:00 - 23:59"	"7"	222	50324	4.41
	"California"	"06"	"Unknown or Not Stated"	"33"	Suppressed	56	Suppressed
	"California"	"06"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Colorado"	"08"	"00:00 - 02:59"	"0"	30	6493	4.62
	"Colorado"	"08"	"03:00 - 05:59"	"1"	32	6059	5.28
	"Colorado"	"08"	"06:00 - 08:59"	"2"	33	8825	3.74
	"Colorado"	"08"	"09:00 - 11:59"	"3"	49	8777	5.58
	"Colorado"	"08"	"12:00 - 14:59"	"4"	38	9273	4.10
	"Colorado"	"08"	"15:00 - 17:59"	"5"	43	8602	5.00
	"Colorado"	"08"	"18:00 - 20:59"	"6"	41	7622	5.38
	"Colorado"	"08"	"21:00 - 23:59"	"7"	30	7229	4.15
	"Colorado"	"08"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Colorado"	"08"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Connecticut"	"09"	"00:00 - 02:59"	"0"	10	3460	2.89 (Unreliable)
	"Connecticut"	"09"	"03:00 - 05:59"	"1"	25	3293	7.59
	"Connecticut"	"09"	"06:00 - 08:59"	"2"	11	4877	2.26 (Unreliable)
	"Connecticut"	"09"	"09:00 - 11:59"	"3"	16	5339	3.00 (Unreliable)
	"Connecticut"	"09"	"12:00 - 14:59"	"4"	21	5063	4.15
	"Connecticut"	"09"	"15:00 - 17:59"	"5"	25	4541	5.51
	"Connecticut"	"09"	"18:00 - 20:59"	"6"	21	4138	5.07
	"Connecticut"	"09"	"21:00 - 23:59"	"7"	17	4013	4.24 (Unreliable)
	"Connecticut"	"09"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Connecticut"	"09"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Delaware"	"10"	"00:00 - 02:59"	"0"	Suppressed	1033	Suppressed
	"Delaware"	"10"	"03:00 - 05:59"	"1"	Suppressed	977	Suppressed
	"Delaware"	"10"	"06:00 - 08:59"	"2"	11	1476	7.45 (Unreliable)
	"Delaware"	"10"	"09:00 - 11:59"	"3"	Suppressed	1492	Suppressed
	"Delaware"	"10"	"12:00 - 14:59"	"4"	10	1671	5.98 (Unreliable)
	"Delaware"	"10"	"15:00 - 17:59"	"5"	Suppressed	1517	Suppressed
	"Delaware"	"10"	"18:00 - 20:59"	"6"	Suppressed	1322	Suppressed
	"Delaware"	"10"	"21:00 - 23:59"	"7"	10	1132	8.83 (Unreliable)
	"Delaware"	"10"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Delaware"	"10"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"00:00 - 02:59"	"0"	Suppressed	1011	Suppressed
	"District of Columbia"	"11"	"03:00 - 05:59"	"1"	Suppressed	1009	Suppressed
	"District of Columbia"	"11"	"06:00 - 08:59"	"2"	13	976	13.32 (Unreliable)
	"District of Columbia"	"11"	"09:00 - 11:59"	"3"	Suppressed	1383	Suppressed
	"District of Columbia"	"11"	"12:00 - 14:59"	"4"	Suppressed	1331	Suppressed
	"District of Columbia"	"11"	"15:00 - 17:59"	"5"	Suppressed	1229	Suppressed
	"District of Columbia"	"11"	"18:00 - 20:59"	"6"	Suppressed	1131	Suppressed
	"District of Columbia"	"11"	"21:00 - 23:59"	"7"	Suppressed	1141	Suppressed
	"District of Columbia"	"11"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"District of Columbia"	"11"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Florida"	"12"	"00:00 - 02:59"	"0"	134	18579	7.21
	"Florida"	"12"	"03:00 - 05:59"	"1"	115	17475	6.58
	"Florida"	"12"	"06:00 - 08:59"	"2"	157	29824	5.26
	"Florida"	"12"	"09:00 - 11:59"	"3"	224	34627	6.47
	"Florida"	"12"	"12:00 - 14:59"	"4"	206	38160	5.40
	"Florida"	"12"	"15:00 - 17:59"	"5"	195	32844	5.94
	"Florida"	"12"	"18:00 - 20:59"	"6"	146	27220	5.36
	"Florida"	"12"	"21:00 - 23:59"	"7"	158	22803	6.93
	"Florida"	"12"	"Unknown or Not Stated"	"33"	Suppressed	10	Suppressed
	"Florida"	"12"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Georgia"	"13"	"00:00 - 02:59"	"0"	83	10558	7.86
	"Georgia"	"13"	"03:00 - 05:59"	"1"	60	10052	5.97
	"Georgia"	"13"	"06:00 - 08:59"	"2"	109	16863	6.46
	"Georgia"	"13"	"09:00 - 11:59"	"3"	129	18897	6.83
	"Georgia"	"13"	"12:00 - 14:59"	"4"	159	21483	7.40
	"Georgia"	"13"	"15:00 - 17:59"	"5"	138	19260	7.17
	"Georgia"	"13"	"18:00 - 20:59"	"6"	115	15906	7.23
	"Georgia"	"13"	"21:00 - 23:59"	"7"	95	13152	7.22
	"Georgia"	"13"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Georgia"	"13"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Hawaii"	"15"	"00:00 - 02:59"	"0"	14	1829	7.65 (Unreliable)
	"Hawaii"	"15"	"03:00 - 05:59"	"1"	13	1724	7.54 (Unreliable)
	"Hawaii"	"15"	"06:00 - 08:59"	"2"	11	2418	4.55 (Unreliable)
	"Hawaii"	"15"	"09:00 - 11:59"	"3"	13	2259	5.75 (Unreliable)
	"Hawaii"	"15"	"12:00 - 14:59"	"4"	13	2398	5.42 (Unreliable)
	"Hawaii"	"15"	"15:00 - 17:59"	"5"	18	2225	8.09 (Unreliable)
	"Hawaii"	"15"	"18:00 - 20:59"	"6"	18	2088	8.62 (Unreliable)
	"Hawaii"	"15"	"21:00 - 23:59"	"7"	14	2030	6.90 (Unreliable)
	"Hawaii"	"15"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Hawaii"	"15"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"00:00 - 02:59"	"0"	11	1975	5.57 (Unreliable)
	"Idaho"	"16"	"03:00 - 05:59"	"1"	13	1749	7.43 (Unreliable)
	"Idaho"	"16"	"06:00 - 08:59"	"2"	14	3150	4.44 (Unreliable)
	"Idaho"	"16"	"09:00 - 11:59"	"3"	11	2603	4.23 (Unreliable)
	"Idaho"	"16"	"12:00 - 14:59"	"4"	11	3391	3.24 (Unreliable)
	"Idaho"	"16"	"15:00 - 17:59"	"5"	21	3334	6.30
	"Idaho"	"16"	"18:00 - 20:59"	"6"	13	2783	4.67 (Unreliable)
	"Idaho"	"16"	"21:00 - 23:59"	"7"	13	2416	5.38 (Unreliable)
	"Idaho"	"16"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Illinois"	"17"	"00:00 - 02:59"	"0"	112	13363	8.38
	"Illinois"	"17"	"03:00 - 05:59"	"1"	84	12559	6.69
	"Illinois"	"17"	"06:00 - 08:59"	"2"	105	19754	5.32
	"Illinois"	"17"	"09:00 - 11:59"	"3"	128	21391	5.98
	"Illinois"	"17"	"12:00 - 14:59"	"4"	157	22102	7.10
	"Illinois"	"17"	"15:00 - 17:59"	"5"	129	20872	6.18
	"Illinois"	"17"	"18:00 - 20:59"	"6"	103	18594	5.54
	"Illinois"	"17"	"21:00 - 23:59"	"7"	131	16177	8.10
	"Illinois"	"17"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Illinois"	"17"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Indiana"	"18"	"00:00 - 02:59"	"0"	66	7277	9.07
	"Indiana"	"18"	"03:00 - 05:59"	"1"	40	6596	6.06
	"Indiana"	"18"	"06:00 - 08:59"	"2"	70	11755	5.95
	"Indiana"	"18"	"09:00 - 11:59"	"3"	68	11758	5.78
	"Indiana"	"18"	"12:00 - 14:59"	"4"	83	13367	6.21
	"Indiana"	"18"	"15:00 - 17:59"	"5"	93	12167	7.64
	"Indiana"	"18"	"18:00 - 20:59"	"6"	76	10261	7.41
	"Indiana"	"18"	"21:00 - 23:59"	"7"	52	8455	6.15
	"Indiana"	"18"	"Unknown or Not Stated"	"33"	Suppressed	10	Suppressed
	"Indiana"	"18"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Iowa"	"19"	"00:00 - 02:59"	"0"	15	3435	4.37 (Unreliable)
	"Iowa"	"19"	"03:00 - 05:59"	"1"	20	3275	6.11
	"Iowa"	"19"	"06:00 - 08:59"	"2"	24	5630	4.26
	"Iowa"	"19"	"09:00 - 11:59"	"3"	31	5291	5.86
	"Iowa"	"19"	"12:00 - 14:59"	"4"	27	5769	4.68
	"Iowa"	"19"	"15:00 - 17:59"	"5"	31	5451	5.69
	"Iowa"	"19"	"18:00 - 20:59"	"6"	15	4779	3.14 (Unreliable)
	"Iowa"	"19"	"21:00 - 23:59"	"7"	25	4154	6.02
	"Iowa"	"19"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Iowa"	"19"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Kansas"	"20"	"00:00 - 02:59"	"0"	37	2826	13.09
	"Kansas"	"20"	"03:00 - 05:59"	"1"	15	2564	5.85 (Unreliable)
	"Kansas"	"20"	"06:00 - 08:59"	"2"	27	5445	4.96
	"Kansas"	"20"	"09:00 - 11:59"	"3"	26	5160	5.04
	"Kansas"	"20"	"12:00 - 14:59"	"4"	38	6526	5.82
	"Kansas"	"20"	"15:00 - 17:59"	"5"	29	5708	5.08
	"Kansas"	"20"	"18:00 - 20:59"	"6"	33	4487	7.35
	"Kansas"	"20"	"21:00 - 23:59"	"7"	26	3545	7.33
	"Kansas"	"20"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Kansas"	"20"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Kentucky"	"21"	"00:00 - 02:59"	"0"	25	4274	5.85
	"Kentucky"	"21"	"03:00 - 05:59"	"1"	35	3744	9.35
	"Kentucky"	"21"	"06:00 - 08:59"	"2"	37	7194	5.14
	"Kentucky"	"21"	"09:00 - 11:59"	"3"	64	8533	7.50
	"Kentucky"	"21"	"12:00 - 14:59"	"4"	50	9429	5.30
	"Kentucky"	"21"	"15:00 - 17:59"	"5"	44	8456	5.20
	"Kentucky"	"21"	"18:00 - 20:59"	"6"	43	6741	6.38
	"Kentucky"	"21"	"21:00 - 23:59"	"7"	27	5546	4.87
	"Kentucky"	"21"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Kentucky"	"21"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Louisiana"	"22"	"00:00 - 02:59"	"0"	40	3678	10.88
	"Louisiana"	"22"	"03:00 - 05:59"	"1"	35	3479	10.06
	"Louisiana"	"22"	"06:00 - 08:59"	"2"	53	9555	5.55
	"Louisiana"	"22"	"09:00 - 11:59"	"3"	84	9684	8.67
	"Louisiana"	"22"	"12:00 - 14:59"	"4"	79	11929	6.62
	"Louisiana"	"22"	"15:00 - 17:59"	"5"	62	9528	6.51
	"Louisiana"	"22"	"18:00 - 20:59"	"6"	62	6914	8.97
	"Louisiana"	"22"	"21:00 - 23:59"	"7"	41	4848	8.46
	"Louisiana"	"22"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Louisiana"	"22"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Maine"	"23"	"00:00 - 02:59"	"0"	Suppressed	1276	Suppressed
	"Maine"	"23"	"03:00 - 05:59"	"1"	Suppressed	1138	Suppressed
	"Maine"	"23"	"06:00 - 08:59"	"2"	Suppressed	1850	Suppressed
	"Maine"	"23"	"09:00 - 11:59"	"3"	12	1763	6.81 (Unreliable)
	"Maine"	"23"	"12:00 - 14:59"	"4"	11	1636	6.72 (Unreliable)
	"Maine"	"23"	"15:00 - 17:59"	"5"	12	1635	7.34 (Unreliable)
	"Maine"	"23"	"18:00 - 20:59"	"6"	Suppressed	1588	Suppressed
	"Maine"	"23"	"21:00 - 23:59"	"7"	Suppressed	1423	Suppressed
	"Maine"	"23"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Maine"	"23"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Maryland"	"24"	"00:00 - 02:59"	"0"	42	7185	5.85
	"Maryland"	"24"	"03:00 - 05:59"	"1"	45	6756	6.66
	"Maryland"	"24"	"06:00 - 08:59"	"2"	42	8647	4.86
	"Maryland"	"24"	"09:00 - 11:59"	"3"	58	10862	5.34
	"Maryland"	"24"	"12:00 - 14:59"	"4"	61	10460	5.83
	"Maryland"	"24"	"15:00 - 17:59"	"5"	68	10108	6.73
	"Maryland"	"24"	"18:00 - 20:59"	"6"	55	8953	6.14
	"Maryland"	"24"	"21:00 - 23:59"	"7"	56	8107	6.91
