"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"January"	"1"	31	4902	6.32
	"Alabama"	"01"	"February"	"2"	31	4342	7.14
	"Alabama"	"01"	"March"	"3"	30	4761	6.30
	"Alabama"	"01"	"April"	"4"	36	4393	8.19
	"Alabama"	"01"	"May"	"5"	27	4785	5.64
	"Alabama"	"01"	"June"	"6"	26	4768	5.45
	"Alabama"	"01"	"July"	"7"	44	4936	8.91
	"Alabama"	"01"	"August"	"8"	32	5275	6.07
	"Alabama"	"01"	"September"	"9"	34	4816	7.06
	"Alabama"	"01"	"October"	"10"	36	5003	7.20
	"Alabama"	"01"	"November"	"11"	35	4819	7.26
	"Alabama"	"01"	"December"	"12"	39	4961	7.86
	"Alaska"	"02"	"January"	"1"	Suppressed	819	Suppressed
	"Alaska"	"02"	"February"	"2"	Suppressed	769	Suppressed
	"Alaska"	"02"	"March"	"3"	Suppressed	895	Suppressed
	"Alaska"	"02"	"April"	"4"	Suppressed	841	Suppressed
	"Alaska"	"02"	"May"	"5"	Suppressed	875	Suppressed
	"Alaska"	"02"	"June"	"6"	13	874	14.87 (Unreliable)
	"Alaska"	"02"	"July"	"7"	Suppressed	814	Suppressed
	"Alaska"	"02"	"August"	"8"	Suppressed	934	Suppressed
	"Alaska"	"02"	"September"	"9"	Suppressed	798	Suppressed
	"Alaska"	"02"	"October"	"10"	Suppressed	875	Suppressed
	"Alaska"	"02"	"November"	"11"	Suppressed	778	Suppressed
	"Alaska"	"02"	"December"	"12"	Suppressed	814	Suppressed
	"Arizona"	"04"	"January"	"1"	25	6743	3.71
	"Arizona"	"04"	"February"	"2"	46	6195	7.43
	"Arizona"	"04"	"March"	"3"	50	6636	7.53
	"Arizona"	"04"	"April"	"4"	31	6152	5.04
	"Arizona"	"04"	"May"	"5"	31	6419	4.83
	"Arizona"	"04"	"June"	"6"	34	6496	5.23
	"Arizona"	"04"	"July"	"7"	47	6852	6.86
	"Arizona"	"04"	"August"	"8"	43	7314	5.88
	"Arizona"	"04"	"September"	"9"	43	7117	6.04
	"Arizona"	"04"	"October"	"10"	46	7150	6.43
	"Arizona"	"04"	"November"	"11"	29	6814	4.26
	"Arizona"	"04"	"December"	"12"	37	6835	5.41
	"Arkansas"	"05"	"January"	"1"	27	3110	8.68
	"Arkansas"	"05"	"February"	"2"	19	2803	6.78 (Unreliable)
	"Arkansas"	"05"	"March"	"3"	31	3047	10.17
	"Arkansas"	"05"	"April"	"4"	23	2830	8.13
	"Arkansas"	"05"	"May"	"5"	25	3172	7.88
	"Arkansas"	"05"	"June"	"6"	22	3003	7.33
	"Arkansas"	"05"	"July"	"7"	29	3246	8.93
	"Arkansas"	"05"	"August"	"8"	24	3400	7.06
	"Arkansas"	"05"	"September"	"9"	18	3101	5.80 (Unreliable)
	"Arkansas"	"05"	"October"	"10"	17	3248	5.23 (Unreliable)
	"Arkansas"	"05"	"November"	"11"	23	2958	7.78
	"Arkansas"	"05"	"December"	"12"	19	3100	6.13 (Unreliable)
	"California"	"06"	"January"	"1"	166	38186	4.35
	"California"	"06"	"February"	"2"	140	34467	4.06
	"California"	"06"	"March"	"3"	184	37811	4.87
	"California"	"06"	"April"	"4"	152	35583	4.27
	"California"	"06"	"May"	"5"	163	37390	4.36
	"California"	"06"	"June"	"6"	180	36700	4.90
	"California"	"06"	"July"	"7"	159	39606	4.01
	"California"	"06"	"August"	"8"	132	41105	3.21
	"California"	"06"	"September"	"9"	160	39081	4.09
	"California"	"06"	"October"	"10"	174	39295	4.43
	"California"	"06"	"November"	"11"	154	38107	4.04
	"California"	"06"	"December"	"12"	152	37589	4.04
	"Colorado"	"08"	"January"	"1"	22	5196	4.23
	"Colorado"	"08"	"February"	"2"	33	4783	6.90
	"Colorado"	"08"	"March"	"3"	24	5279	4.55
	"Colorado"	"08"	"April"	"4"	27	5053	5.34
	"Colorado"	"08"	"May"	"5"	28	5443	5.14
	"Colorado"	"08"	"June"	"6"	18	5118	3.52 (Unreliable)
	"Colorado"	"08"	"July"	"7"	18	5513	3.27 (Unreliable)
	"Colorado"	"08"	"August"	"8"	27	5673	4.76
	"Colorado"	"08"	"September"	"9"	31	5439	5.70
	"Colorado"	"08"	"October"	"10"	27	5305	5.09
	"Colorado"	"08"	"November"	"11"	22	5058	4.35
	"Colorado"	"08"	"December"	"12"	22	5025	4.38
	"Connecticut"	"09"	"January"	"1"	11	2804	3.92 (Unreliable)
	"Connecticut"	"09"	"February"	"2"	12	2486	4.83 (Unreliable)
	"Connecticut"	"09"	"March"	"3"	13	2905	4.48 (Unreliable)
	"Connecticut"	"09"	"April"	"4"	13	2800	4.64 (Unreliable)
	"Connecticut"	"09"	"May"	"5"	11	3113	3.53 (Unreliable)
	"Connecticut"	"09"	"June"	"6"	15	2914	5.15 (Unreliable)
	"Connecticut"	"09"	"July"	"7"	16	2996	5.34 (Unreliable)
	"Connecticut"	"09"	"August"	"8"	12	3079	3.90 (Unreliable)
	"Connecticut"	"09"	"September"	"9"	14	2913	4.81 (Unreliable)
	"Connecticut"	"09"	"October"	"10"	Suppressed	3087	Suppressed
	"Connecticut"	"09"	"November"	"11"	10	2828	3.54 (Unreliable)
	"Connecticut"	"09"	"December"	"12"	11	2800	3.93 (Unreliable)
	"Delaware"	"10"	"January"	"1"	Suppressed	861	Suppressed
	"Delaware"	"10"	"February"	"2"	Suppressed	803	Suppressed
	"Delaware"	"10"	"March"	"3"	Suppressed	942	Suppressed
	"Delaware"	"10"	"April"	"4"	Suppressed	834	Suppressed
	"Delaware"	"10"	"May"	"5"	Suppressed	906	Suppressed
	"Delaware"	"10"	"June"	"6"	Suppressed	907	Suppressed
	"Delaware"	"10"	"July"	"7"	Suppressed	840	Suppressed
	"Delaware"	"10"	"August"	"8"	Suppressed	989	Suppressed
	"Delaware"	"10"	"September"	"9"	Suppressed	880	Suppressed
	"Delaware"	"10"	"October"	"10"	Suppressed	897	Suppressed
	"Delaware"	"10"	"November"	"11"	Suppressed	849	Suppressed
	"Delaware"	"10"	"December"	"12"	Suppressed	913	Suppressed
	"District of Columbia"	"11"	"January"	"1"	Suppressed	759	Suppressed
	"District of Columbia"	"11"	"February"	"2"	Suppressed	696	Suppressed
	"District of Columbia"	"11"	"March"	"3"	10	743	13.46 (Unreliable)
	"District of Columbia"	"11"	"April"	"4"	Suppressed	722	Suppressed
	"District of Columbia"	"11"	"May"	"5"	Suppressed	791	Suppressed
	"District of Columbia"	"11"	"June"	"6"	Suppressed	789	Suppressed
	"District of Columbia"	"11"	"July"	"7"	Suppressed	813	Suppressed
	"District of Columbia"	"11"	"August"	"8"	Suppressed	823	Suppressed
	"District of Columbia"	"11"	"September"	"9"	Suppressed	745	Suppressed
	"District of Columbia"	"11"	"October"	"10"	Suppressed	835	Suppressed
	"District of Columbia"	"11"	"November"	"11"	Suppressed	745	Suppressed
	"District of Columbia"	"11"	"December"	"12"	Suppressed	751	Suppressed
	"Florida"	"12"	"January"	"1"	102	19075	5.35
	"Florida"	"12"	"February"	"2"	104	16597	6.27
	"Florida"	"12"	"March"	"3"	110	18529	5.94
	"Florida"	"12"	"April"	"4"	113	16853	6.71
	"Florida"	"12"	"May"	"5"	110	17892	6.15
	"Florida"	"12"	"June"	"6"	99	17536	5.65
	"Florida"	"12"	"July"	"7"	137	18274	7.50
	"Florida"	"12"	"August"	"8"	123	20154	6.10
	"Florida"	"12"	"September"	"9"	97	19122	5.07
	"Florida"	"12"	"October"	"10"	125	19748	6.33
	"Florida"	"12"	"November"	"11"	112	18487	6.06
	"Florida"	"12"	"December"	"12"	107	19275	5.55
	"Georgia"	"13"	"January"	"1"	81	10567	7.67
	"Georgia"	"13"	"February"	"2"	69	9655	7.15
	"Georgia"	"13"	"March"	"3"	74	10529	7.03
	"Georgia"	"13"	"April"	"4"	75	9644	7.78
	"Georgia"	"13"	"May"	"5"	79	10509	7.52
	"Georgia"	"13"	"June"	"6"	57	10374	5.49
	"Georgia"	"13"	"July"	"7"	74	10776	6.87
	"Georgia"	"13"	"August"	"8"	68	11659	5.83
	"Georgia"	"13"	"September"	"9"	80	10665	7.50
	"Georgia"	"13"	"October"	"10"	78	10782	7.23
	"Georgia"	"13"	"November"	"11"	76	10241	7.42
	"Georgia"	"13"	"December"	"12"	77	10771	7.15
	"Hawaii"	"15"	"January"	"1"	14	1405	9.96 (Unreliable)
	"Hawaii"	"15"	"February"	"2"	10	1272	7.86 (Unreliable)
	"Hawaii"	"15"	"March"	"3"	10	1406	7.11 (Unreliable)
