"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"17 weeks"	"17"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"No prenatal care"	"00"	"2015"	"2015"	28	37	756.76
	"17 weeks"	"17"	"No prenatal care"	"00"	"2016"	"2016"	40	45	888.89
	"17 weeks"	"17"	"No prenatal care"	"00"	"2017"	"2017"	40	45	888.89
	"17 weeks"	"17"	"No prenatal care"	"00"	"2018"	"2018"	30	34	882.35
"Total"	"17 weeks"	"17"	"No prenatal care"	"00"			139	161	863.35
	"17 weeks"	"17"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"1st month"	"01"	"2015"	"2015"	18	18	1000.00 (Unreliable)
	"17 weeks"	"17"	"1st month"	"01"	"2016"	"2016"	27	33	818.18
	"17 weeks"	"17"	"1st month"	"01"	"2017"	"2017"	21	23	913.04
	"17 weeks"	"17"	"1st month"	"01"	"2018"	"2018"	21	22	954.55
"Total"	"17 weeks"	"17"	"1st month"	"01"			88	96	916.67
	"17 weeks"	"17"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"2nd month"	"02"	"2015"	"2015"	92	98	938.78
	"17 weeks"	"17"	"2nd month"	"02"	"2016"	"2016"	69	74	932.43
	"17 weeks"	"17"	"2nd month"	"02"	"2017"	"2017"	67	73	917.81
	"17 weeks"	"17"	"2nd month"	"02"	"2018"	"2018"	69	77	896.10
"Total"	"17 weeks"	"17"	"2nd month"	"02"			298	322	925.47
	"17 weeks"	"17"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
