"Notes"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"NICU Admission"	"NICU Admission Code"	"Year"	"Year Code"	Births
	"No prenatal care"	"00"	"17 weeks"	"17"	"Yes"	"1"	"2016"	"2016"	3
	"No prenatal care"	"00"	"17 weeks"	"17"	"Yes"	"1"	"2017"	"2017"	0
	"No prenatal care"	"00"	"17 weeks"	"17"	"Yes"	"1"	"2018"	"2018"	1
	"No prenatal care"	"00"	"17 weeks"	"17"	"Yes"	"1"	"2019"	"2019"	3
"Total"	"No prenatal care"	"00"	"17 weeks"	"17"	"Yes"	"1"			7
	"No prenatal care"	"00"	"17 weeks"	"17"	"No"	"2"	"2016"	"2016"	42
	"No prenatal care"	"00"	"17 weeks"	"17"	"No"	"2"	"2017"	"2017"	45
	"No prenatal care"	"00"	"17 weeks"	"17"	"No"	"2"	"2018"	"2018"	33
	"No prenatal care"	"00"	"17 weeks"	"17"	"No"	"2"	"2019"	"2019"	39
"Total"	"No prenatal care"	"00"	"17 weeks"	"17"	"No"	"2"			159
"Total"	"No prenatal care"	"00"	"17 weeks"	"17"					166
	"No prenatal care"	"00"	"18 weeks"	"18"	"Yes"	"1"	"2016"	"2016"	3
	"No prenatal care"	"00"	"18 weeks"	"18"	"Yes"	"1"	"2017"	"2017"	3
	"No prenatal care"	"00"	"18 weeks"	"18"	"Yes"	"1"	"2018"	"2018"	5
	"No prenatal care"	"00"	"18 weeks"	"18"	"Yes"	"1"	"2019"	"2019"	6
"Total"	"No prenatal care"	"00"	"18 weeks"	"18"	"Yes"	"1"			17
	"No prenatal care"	"00"	"18 weeks"	"18"	"No"	"2"	"2016"	"2016"	47
	"No prenatal care"	"00"	"18 weeks"	"18"	"No"	"2"	"2017"	"2017"	53
	"No prenatal care"	"00"	"18 weeks"	"18"	"No"	"2"	"2018"	"2018"	49
	"No prenatal care"	"00"	"18 weeks"	"18"	"No"	"2"	"2019"	"2019"	63
"Total"	"No prenatal care"	"00"	"18 weeks"	"18"	"No"	"2"			212
"Total"	"No prenatal care"	"00"	"18 weeks"	"18"					229
	"No prenatal care"	"00"	"19 weeks"	"19"	"Yes"	"1"	"2016"	"2016"	1
	"No prenatal care"	"00"	"19 weeks"	"19"	"Yes"	"1"	"2017"	"2017"	9
	"No prenatal care"	"00"	"19 weeks"	"19"	"Yes"	"1"	"2018"	"2018"	5
	"No prenatal care"	"00"	"19 weeks"	"19"	"Yes"	"1"	"2019"	"2019"	3
"Total"	"No prenatal care"	"00"	"19 weeks"	"19"	"Yes"	"1"			18
	"No prenatal care"	"00"	"19 weeks"	"19"	"No"	"2"	"2016"	"2016"	78
	"No prenatal care"	"00"	"19 weeks"	"19"	"No"	"2"	"2017"	"2017"	72
	"No prenatal care"	"00"	"19 weeks"	"19"	"No"	"2"	"2018"	"2018"	90
	"No prenatal care"	"00"	"19 weeks"	"19"	"No"	"2"	"2019"	"2019"	65
"Total"	"No prenatal care"	"00"	"19 weeks"	"19"	"No"	"2"			305
"Total"	"No prenatal care"	"00"	"19 weeks"	"19"					323
	"No prenatal care"	"00"	"20 weeks"	"20"	"Yes"	"1"	"2016"	"2016"	14
	"No prenatal care"	"00"	"20 weeks"	"20"	"Yes"	"1"	"2017"	"2017"	12
	"No prenatal care"	"00"	"20 weeks"	"20"	"Yes"	"1"	"2018"	"2018"	14
	"No prenatal care"	"00"	"20 weeks"	"20"	"Yes"	"1"	"2019"	"2019"	6
"Total"	"No prenatal care"	"00"	"20 weeks"	"20"	"Yes"	"1"			46
	"No prenatal care"	"00"	"20 weeks"	"20"	"No"	"2"	"2016"	"2016"	147
	"No prenatal care"	"00"	"20 weeks"	"20"	"No"	"2"	"2017"	"2017"	140
	"No prenatal care"	"00"	"20 weeks"	"20"	"No"	"2"	"2018"	"2018"	127
	"No prenatal care"	"00"	"20 weeks"	"20"	"No"	"2"	"2019"	"2019"	122
"Total"	"No prenatal care"	"00"	"20 weeks"	"20"	"No"	"2"			536
"Total"	"No prenatal care"	"00"	"20 weeks"	"20"					582
	"No prenatal care"	"00"	"21 weeks"	"21"	"Yes"	"1"	"2016"	"2016"	27
	"No prenatal care"	"00"	"21 weeks"	"21"	"Yes"	"1"	"2017"	"2017"	22
	"No prenatal care"	"00"	"21 weeks"	"21"	"Yes"	"1"	"2018"	"2018"	23
	"No prenatal care"	"00"	"21 weeks"	"21"	"Yes"	"1"	"2019"	"2019"	23
"Total"	"No prenatal care"	"00"	"21 weeks"	"21"	"Yes"	"1"			95
	"No prenatal care"	"00"	"21 weeks"	"21"	"No"	"2"	"2016"	"2016"	149
	"No prenatal care"	"00"	"21 weeks"	"21"	"No"	"2"	"2017"	"2017"	158
	"No prenatal care"	"00"	"21 weeks"	"21"	"No"	"2"	"2018"	"2018"	145
	"No prenatal care"	"00"	"21 weeks"	"21"	"No"	"2"	"2019"	"2019"	124
"Total"	"No prenatal care"	"00"	"21 weeks"	"21"	"No"	"2"			576
"Total"	"No prenatal care"	"00"	"21 weeks"	"21"					671
	"No prenatal care"	"00"	"22 weeks"	"22"	"Yes"	"1"	"2016"	"2016"	54
	"No prenatal care"	"00"	"22 weeks"	"22"	"Yes"	"1"	"2017"	"2017"	42
	"No prenatal care"	"00"	"22 weeks"	"22"	"Yes"	"1"	"2018"	"2018"	63
	"No prenatal care"	"00"	"22 weeks"	"22"	"Yes"	"1"	"2019"	"2019"	67
"Total"	"No prenatal care"	"00"	"22 weeks"	"22"	"Yes"	"1"			226
	"No prenatal care"	"00"	"22 weeks"	"22"	"No"	"2"	"2016"	"2016"	146
	"No prenatal care"	"00"	"22 weeks"	"22"	"No"	"2"	"2017"	"2017"	139
	"No prenatal care"	"00"	"22 weeks"	"22"	"No"	"2"	"2018"	"2018"	113
	"No prenatal care"	"00"	"22 weeks"	"22"	"No"	"2"	"2019"	"2019"	110
"Total"	"No prenatal care"	"00"	"22 weeks"	"22"	"No"	"2"			508
"Total"	"No prenatal care"	"00"	"22 weeks"	"22"					734
	"No prenatal care"	"00"	"23 weeks"	"23"	"Yes"	"1"	"2016"	"2016"	204
	"No prenatal care"	"00"	"23 weeks"	"23"	"Yes"	"1"	"2017"	"2017"	195
	"No prenatal care"	"00"	"23 weeks"	"23"	"Yes"	"1"	"2018"	"2018"	185
	"No prenatal care"	"00"	"23 weeks"	"23"	"Yes"	"1"	"2019"	"2019"	187
"Total"	"No prenatal care"	"00"	"23 weeks"	"23"	"Yes"	"1"			771
	"No prenatal care"	"00"	"23 weeks"	"23"	"No"	"2"	"2016"	"2016"	93
	"No prenatal care"	"00"	"23 weeks"	"23"	"No"	"2"	"2017"	"2017"	80
	"No prenatal care"	"00"	"23 weeks"	"23"	"No"	"2"	"2018"	"2018"	72
	"No prenatal care"	"00"	"23 weeks"	"23"	"No"	"2"	"2019"	"2019"	59
"Total"	"No prenatal care"	"00"	"23 weeks"	"23"	"No"	"2"			304
"Total"	"No prenatal care"	"00"	"23 weeks"	"23"					1075
	"No prenatal care"	"00"	"24 weeks"	"24"	"Yes"	"1"	"2016"	"2016"	269
	"No prenatal care"	"00"	"24 weeks"	"24"	"Yes"	"1"	"2017"	"2017"	276
	"No prenatal care"	"00"	"24 weeks"	"24"	"Yes"	"1"	"2018"	"2018"	237
	"No prenatal care"	"00"	"24 weeks"	"24"	"Yes"	"1"	"2019"	"2019"	250
"Total"	"No prenatal care"	"00"	"24 weeks"	"24"	"Yes"	"1"			1032
	"No prenatal care"	"00"	"24 weeks"	"24"	"No"	"2"	"2016"	"2016"	50
	"No prenatal care"	"00"	"24 weeks"	"24"	"No"	"2"	"2017"	"2017"	60
	"No prenatal care"	"00"	"24 weeks"	"24"	"No"	"2"	"2018"	"2018"	56
	"No prenatal care"	"00"	"24 weeks"	"24"	"No"	"2"	"2019"	"2019"	31
"Total"	"No prenatal care"	"00"	"24 weeks"	"24"	"No"	"2"			197
"Total"	"No prenatal care"	"00"	"24 weeks"	"24"					1229
	"No prenatal care"	"00"	"25 weeks"	"25"	"Yes"	"1"	"2016"	"2016"	283
	"No prenatal care"	"00"	"25 weeks"	"25"	"Yes"	"1"	"2017"	"2017"	279
	"No prenatal care"	"00"	"25 weeks"	"25"	"Yes"	"1"	"2018"	"2018"	297
	"No prenatal care"	"00"	"25 weeks"	"25"	"Yes"	"1"	"2019"	"2019"	280
"Total"	"No prenatal care"	"00"	"25 weeks"	"25"	"Yes"	"1"			1139
	"No prenatal care"	"00"	"25 weeks"	"25"	"No"	"2"	"2016"	"2016"	28
	"No prenatal care"	"00"	"25 weeks"	"25"	"No"	"2"	"2017"	"2017"	52
	"No prenatal care"	"00"	"25 weeks"	"25"	"No"	"2"	"2018"	"2018"	44
	"No prenatal care"	"00"	"25 weeks"	"25"	"No"	"2"	"2019"	"2019"	35
"Total"	"No prenatal care"	"00"	"25 weeks"	"25"	"No"	"2"			159
"Total"	"No prenatal care"	"00"	"25 weeks"	"25"					1298
	"No prenatal care"	"00"	"26 weeks"	"26"	"Yes"	"1"	"2016"	"2016"	268
	"No prenatal care"	"00"	"26 weeks"	"26"	"Yes"	"1"	"2017"	"2017"	301
	"No prenatal care"	"00"	"26 weeks"	"26"	"Yes"	"1"	"2018"	"2018"	320
	"No prenatal care"	"00"	"26 weeks"	"26"	"Yes"	"1"	"2019"	"2019"	284
"Total"	"No prenatal care"	"00"	"26 weeks"	"26"	"Yes"	"1"			1173
	"No prenatal care"	"00"	"26 weeks"	"26"	"No"	"2"	"2016"	"2016"	42
	"No prenatal care"	"00"	"26 weeks"	"26"	"No"	"2"	"2017"	"2017"	45
	"No prenatal care"	"00"	"26 weeks"	"26"	"No"	"2"	"2018"	"2018"	53
	"No prenatal care"	"00"	"26 weeks"	"26"	"No"	"2"	"2019"	"2019"	29
"Total"	"No prenatal care"	"00"	"26 weeks"	"26"	"No"	"2"			169
"Total"	"No prenatal care"	"00"	"26 weeks"	"26"					1342
	"No prenatal care"	"00"	"27 weeks"	"27"	"Yes"	"1"	"2016"	"2016"	323
	"No prenatal care"	"00"	"27 weeks"	"27"	"Yes"	"1"	"2017"	"2017"	319
	"No prenatal care"	"00"	"27 weeks"	"27"	"Yes"	"1"	"2018"	"2018"	298
	"No prenatal care"	"00"	"27 weeks"	"27"	"Yes"	"1"	"2019"	"2019"	329
"Total"	"No prenatal care"	"00"	"27 weeks"	"27"	"Yes"	"1"			1269
	"No prenatal care"	"00"	"27 weeks"	"27"	"No"	"2"	"2016"	"2016"	48
	"No prenatal care"	"00"	"27 weeks"	"27"	"No"	"2"	"2017"	"2017"	51
	"No prenatal care"	"00"	"27 weeks"	"27"	"No"	"2"	"2018"	"2018"	50
	"No prenatal care"	"00"	"27 weeks"	"27"	"No"	"2"	"2019"	"2019"	37
"Total"	"No prenatal care"	"00"	"27 weeks"	"27"	"No"	"2"			186
"Total"	"No prenatal care"	"00"	"27 weeks"	"27"					1455
	"No prenatal care"	"00"	"28 weeks"	"28"	"Yes"	"1"	"2016"	"2016"	343
	"No prenatal care"	"00"	"28 weeks"	"28"	"Yes"	"1"	"2017"	"2017"	366
	"No prenatal care"	"00"	"28 weeks"	"28"	"Yes"	"1"	"2018"	"2018"	363
	"No prenatal care"	"00"	"28 weeks"	"28"	"Yes"	"1"	"2019"	"2019"	396
"Total"	"No prenatal care"	"00"	"28 weeks"	"28"	"Yes"	"1"			1468
	"No prenatal care"	"00"	"28 weeks"	"28"	"No"	"2"	"2016"	"2016"	75
	"No prenatal care"	"00"	"28 weeks"	"28"	"No"	"2"	"2017"	"2017"	60
	"No prenatal care"	"00"	"28 weeks"	"28"	"No"	"2"	"2018"	"2018"	75
	"No prenatal care"	"00"	"28 weeks"	"28"	"No"	"2"	"2019"	"2019"	47
"Total"	"No prenatal care"	"00"	"28 weeks"	"28"	"No"	"2"			257
"Total"	"No prenatal care"	"00"	"28 weeks"	"28"					1725
	"No prenatal care"	"00"	"29 weeks"	"29"	"Yes"	"1"	"2016"	"2016"	332
	"No prenatal care"	"00"	"29 weeks"	"29"	"Yes"	"1"	"2017"	"2017"	402
	"No prenatal care"	"00"	"29 weeks"	"29"	"Yes"	"1"	"2018"	"2018"	374
	"No prenatal care"	"00"	"29 weeks"	"29"	"Yes"	"1"	"2019"	"2019"	369
"Total"	"No prenatal care"	"00"	"29 weeks"	"29"	"Yes"	"1"			1477
	"No prenatal care"	"00"	"29 weeks"	"29"	"No"	"2"	"2016"	"2016"	64
	"No prenatal care"	"00"	"29 weeks"	"29"	"No"	"2"	"2017"	"2017"	60
	"No prenatal care"	"00"	"29 weeks"	"29"	"No"	"2"	"2018"	"2018"	49
	"No prenatal care"	"00"	"29 weeks"	"29"	"No"	"2"	"2019"	"2019"	60
"Total"	"No prenatal care"	"00"	"29 weeks"	"29"	"No"	"2"			233
"Total"	"No prenatal care"	"00"	"29 weeks"	"29"					1710
	"No prenatal care"	"00"	"30 weeks"	"30"	"Yes"	"1"	"2016"	"2016"	454
	"No prenatal care"	"00"	"30 weeks"	"30"	"Yes"	"1"	"2017"	"2017"	491
	"No prenatal care"	"00"	"30 weeks"	"30"	"Yes"	"1"	"2018"	"2018"	472
	"No prenatal care"	"00"	"30 weeks"	"30"	"Yes"	"1"	"2019"	"2019"	481
"Total"	"No prenatal care"	"00"	"30 weeks"	"30"	"Yes"	"1"			1898
	"No prenatal care"	"00"	"30 weeks"	"30"	"No"	"2"	"2016"	"2016"	100
	"No prenatal care"	"00"	"30 weeks"	"30"	"No"	"2"	"2017"	"2017"	88
	"No prenatal care"	"00"	"30 weeks"	"30"	"No"	"2"	"2018"	"2018"	96
	"No prenatal care"	"00"	"30 weeks"	"30"	"No"	"2"	"2019"	"2019"	72
"Total"	"No prenatal care"	"00"	"30 weeks"	"30"	"No"	"2"			356
"Total"	"No prenatal care"	"00"	"30 weeks"	"30"					2254
	"No prenatal care"	"00"	"31 weeks"	"31"	"Yes"	"1"	"2016"	"2016"	517
	"No prenatal care"	"00"	"31 weeks"	"31"	"Yes"	"1"	"2017"	"2017"	616
	"No prenatal care"	"00"	"31 weeks"	"31"	"Yes"	"1"	"2018"	"2018"	522
	"No prenatal care"	"00"	"31 weeks"	"31"	"Yes"	"1"	"2019"	"2019"	578
"Total"	"No prenatal care"	"00"	"31 weeks"	"31"	"Yes"	"1"			2233
	"No prenatal care"	"00"	"31 weeks"	"31"	"No"	"2"	"2016"	"2016"	94
	"No prenatal care"	"00"	"31 weeks"	"31"	"No"	"2"	"2017"	"2017"	110
	"No prenatal care"	"00"	"31 weeks"	"31"	"No"	"2"	"2018"	"2018"	127
	"No prenatal care"	"00"	"31 weeks"	"31"	"No"	"2"	"2019"	"2019"	120
"Total"	"No prenatal care"	"00"	"31 weeks"	"31"	"No"	"2"			451
"Total"	"No prenatal care"	"00"	"31 weeks"	"31"					2684
	"No prenatal care"	"00"	"32 weeks"	"32"	"Yes"	"1"	"2016"	"2016"	749
	"No prenatal care"	"00"	"32 weeks"	"32"	"Yes"	"1"	"2017"	"2017"	797
	"No prenatal care"	"00"	"32 weeks"	"32"	"Yes"	"1"	"2018"	"2018"	840
	"No prenatal care"	"00"	"32 weeks"	"32"	"Yes"	"1"	"2019"	"2019"	838
"Total"	"No prenatal care"	"00"	"32 weeks"	"32"	"Yes"	"1"			3224
	"No prenatal care"	"00"	"32 weeks"	"32"	"No"	"2"	"2016"	"2016"	188
	"No prenatal care"	"00"	"32 weeks"	"32"	"No"	"2"	"2017"	"2017"	236
	"No prenatal care"	"00"	"32 weeks"	"32"	"No"	"2"	"2018"	"2018"	219
	"No prenatal care"	"00"	"32 weeks"	"32"	"No"	"2"	"2019"	"2019"	189
"Total"	"No prenatal care"	"00"	"32 weeks"	"32"	"No"	"2"			832
"Total"	"No prenatal care"	"00"	"32 weeks"	"32"					4056
	"No prenatal care"	"00"	"33 weeks"	"33"	"Yes"	"1"	"2016"	"2016"	874
	"No prenatal care"	"00"	"33 weeks"	"33"	"Yes"	"1"	"2017"	"2017"	966
	"No prenatal care"	"00"	"33 weeks"	"33"	"Yes"	"1"	"2018"	"2018"	935
	"No prenatal care"	"00"	"33 weeks"	"33"	"Yes"	"1"	"2019"	"2019"	1078
"Total"	"No prenatal care"	"00"	"33 weeks"	"33"	"Yes"	"1"			3853
	"No prenatal care"	"00"	"33 weeks"	"33"	"No"	"2"	"2016"	"2016"	334
	"No prenatal care"	"00"	"33 weeks"	"33"	"No"	"2"	"2017"	"2017"	320
	"No prenatal care"	"00"	"33 weeks"	"33"	"No"	"2"	"2018"	"2018"	280
	"No prenatal care"	"00"	"33 weeks"	"33"	"No"	"2"	"2019"	"2019"	304
"Total"	"No prenatal care"	"00"	"33 weeks"	"33"	"No"	"2"			1238
"Total"	"No prenatal care"	"00"	"33 weeks"	"33"					5091
	"No prenatal care"	"00"	"34 weeks"	"34"	"Yes"	"1"	"2016"	"2016"	1348
	"No prenatal care"	"00"	"34 weeks"	"34"	"Yes"	"1"	"2017"	"2017"	1456
	"No prenatal care"	"00"	"34 weeks"	"34"	"Yes"	"1"	"2018"	"2018"	1558
	"No prenatal care"	"00"	"34 weeks"	"34"	"Yes"	"1"	"2019"	"2019"	1618
"Total"	"No prenatal care"	"00"	"34 weeks"	"34"	"Yes"	"1"			5980
	"No prenatal care"	"00"	"34 weeks"	"34"	"No"	"2"	"2016"	"2016"	687
	"No prenatal care"	"00"	"34 weeks"	"34"	"No"	"2"	"2017"	"2017"	793
	"No prenatal care"	"00"	"34 weeks"	"34"	"No"	"2"	"2018"	"2018"	711
	"No prenatal care"	"00"	"34 weeks"	"34"	"No"	"2"	"2019"	"2019"	721
"Total"	"No prenatal care"	"00"	"34 weeks"	"34"	"No"	"2"			2912
"Total"	"No prenatal care"	"00"	"34 weeks"	"34"					8892
	"No prenatal care"	"00"	"35 weeks"	"35"	"Yes"	"1"	"2016"	"2016"	978
	"No prenatal care"	"00"	"35 weeks"	"35"	"Yes"	"1"	"2017"	"2017"	1118
	"No prenatal care"	"00"	"35 weeks"	"35"	"Yes"	"1"	"2018"	"2018"	1096
	"No prenatal care"	"00"	"35 weeks"	"35"	"Yes"	"1"	"2019"	"2019"	1228
"Total"	"No prenatal care"	"00"	"35 weeks"	"35"	"Yes"	"1"			4420
	"No prenatal care"	"00"	"35 weeks"	"35"	"No"	"2"	"2016"	"2016"	1752
	"No prenatal care"	"00"	"35 weeks"	"35"	"No"	"2"	"2017"	"2017"	1874
	"No prenatal care"	"00"	"35 weeks"	"35"	"No"	"2"	"2018"	"2018"	1779
