"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Sunday"	"1"	48	4232	11.34
	"Alabama"	"01"	"Monday"	"2"	56	9931	5.64
	"Alabama"	"01"	"Tuesday"	"3"	63	10296	6.12
	"Alabama"	"01"	"Wednesday"	"4"	49	9800	5.00
	"Alabama"	"01"	"Thursday"	"5"	79	10060	7.85
	"Alabama"	"01"	"Friday"	"6"	59	8907	6.62
	"Alabama"	"01"	"Saturday"	"7"	47	4535	10.36
	"Alaska"	"02"	"Sunday"	"1"	Suppressed	1214	Suppressed
	"Alaska"	"02"	"Monday"	"2"	Suppressed	1397	Suppressed
	"Alaska"	"02"	"Tuesday"	"3"	Suppressed	1568	Suppressed
	"Alaska"	"02"	"Wednesday"	"4"	11	1526	7.21 (Unreliable)
	"Alaska"	"02"	"Thursday"	"5"	Suppressed	1533	Suppressed
	"Alaska"	"02"	"Friday"	"6"	10	1533	6.52 (Unreliable)
	"Alaska"	"02"	"Saturday"	"7"	12	1315	9.13 (Unreliable)
	"Arizona"	"04"	"Sunday"	"1"	47	8950	5.25
	"Arizona"	"04"	"Monday"	"2"	72	11870	6.07
	"Arizona"	"04"	"Tuesday"	"3"	75	12358	6.07
	"Arizona"	"04"	"Wednesday"	"4"	59	12637	4.67
	"Arizona"	"04"	"Thursday"	"5"	68	12458	5.46
	"Arizona"	"04"	"Friday"	"6"	84	12447	6.75
	"Arizona"	"04"	"Saturday"	"7"	56	10003	5.60
	"Arkansas"	"05"	"Sunday"	"1"	33	2919	11.31
	"Arkansas"	"05"	"Monday"	"2"	40	6119	6.54
	"Arkansas"	"05"	"Tuesday"	"3"	40	6409	6.24
	"Arkansas"	"05"	"Wednesday"	"4"	52	6274	8.29
	"Arkansas"	"05"	"Thursday"	"5"	39	6346	6.15
	"Arkansas"	"05"	"Friday"	"6"	37	5747	6.44
	"Arkansas"	"05"	"Saturday"	"7"	36	3204	11.24
	"California"	"06"	"Sunday"	"1"	238	51149	4.65
	"California"	"06"	"Monday"	"2"	277	65601	4.22
	"California"	"06"	"Tuesday"	"3"	278	69443	4.00
	"California"	"06"	"Wednesday"	"4"	285	69427	4.11
	"California"	"06"	"Thursday"	"5"	290	70434	4.12
	"California"	"06"	"Friday"	"6"	283	70905	3.99
	"California"	"06"	"Saturday"	"7"	267	57961	4.61
	"Colorado"	"08"	"Sunday"	"1"	27	6715	4.02
	"Colorado"	"08"	"Monday"	"2"	39	9263	4.21
	"Colorado"	"08"	"Tuesday"	"3"	42	9710	4.33
	"Colorado"	"08"	"Wednesday"	"4"	44	9686	4.54
	"Colorado"	"08"	"Thursday"	"5"	50	9896	5.05
	"Colorado"	"08"	"Friday"	"6"	60	9922	6.05
	"Colorado"	"08"	"Saturday"	"7"	37	7693	4.81
	"Connecticut"	"09"	"Sunday"	"1"	19	3326	5.71 (Unreliable)
	"Connecticut"	"09"	"Monday"	"2"	16	5242	3.05 (Unreliable)
	"Connecticut"	"09"	"Tuesday"	"3"	26	5514	4.72
	"Connecticut"	"09"	"Wednesday"	"4"	21	5555	3.78
	"Connecticut"	"09"	"Thursday"	"5"	25	5526	4.52
	"Connecticut"	"09"	"Friday"	"6"	20	5656	3.54
	"Connecticut"	"09"	"Saturday"	"7"	19	3906	4.86 (Unreliable)
	"Delaware"	"10"	"Sunday"	"1"	Suppressed	992	Suppressed
	"Delaware"	"10"	"Monday"	"2"	Suppressed	1587	Suppressed
	"Delaware"	"10"	"Tuesday"	"3"	Suppressed	1668	Suppressed
	"Delaware"	"10"	"Wednesday"	"4"	Suppressed	1706	Suppressed
	"Delaware"	"10"	"Thursday"	"5"	Suppressed	1761	Suppressed
	"Delaware"	"10"	"Friday"	"6"	11	1686	6.52 (Unreliable)
	"Delaware"	"10"	"Saturday"	"7"	Suppressed	1221	Suppressed
	"District of Columbia"	"11"	"Sunday"	"1"	Suppressed	994	Suppressed
	"District of Columbia"	"11"	"Monday"	"2"	11	1380	7.97 (Unreliable)
	"District of Columbia"	"11"	"Tuesday"	"3"	13	1412	9.21 (Unreliable)
	"District of Columbia"	"11"	"Wednesday"	"4"	Suppressed	1349	Suppressed
	"District of Columbia"	"11"	"Thursday"	"5"	15	1383	10.85 (Unreliable)
	"District of Columbia"	"11"	"Friday"	"6"	Suppressed	1431	Suppressed
	"District of Columbia"	"11"	"Saturday"	"7"	Suppressed	1263	Suppressed
	"Florida"	"12"	"Sunday"	"1"	172	20500	8.39
	"Florida"	"12"	"Monday"	"2"	191	33846	5.64
	"Florida"	"12"	"Tuesday"	"3"	211	36061	5.85
	"Florida"	"12"	"Wednesday"	"4"	204	35647	5.72
	"Florida"	"12"	"Thursday"	"5"	197	36282	5.43
	"Florida"	"12"	"Friday"	"6"	215	35224	6.10
	"Florida"	"12"	"Saturday"	"7"	149	23982	6.21
	"Georgia"	"13"	"Sunday"	"1"	100	11506	8.69
	"Georgia"	"13"	"Monday"	"2"	161	19210	8.38
	"Georgia"	"13"	"Tuesday"	"3"	140	20756	6.75
	"Georgia"	"13"	"Wednesday"	"4"	122	20691	5.90
	"Georgia"	"13"	"Thursday"	"5"	129	20415	6.32
	"Georgia"	"13"	"Friday"	"6"	139	20193	6.88
	"Georgia"	"13"	"Saturday"	"7"	97	13401	7.24
	"Hawaii"	"15"	"Sunday"	"1"	12	2007	5.98 (Unreliable)
	"Hawaii"	"15"	"Monday"	"2"	18	2388	7.54 (Unreliable)
	"Hawaii"	"15"	"Tuesday"	"3"	Suppressed	2411	Suppressed
	"Hawaii"	"15"	"Wednesday"	"4"	20	2546	7.86
	"Hawaii"	"15"	"Thursday"	"5"	15	2664	5.63 (Unreliable)
	"Hawaii"	"15"	"Friday"	"6"	22	2741	8.03
	"Hawaii"	"15"	"Saturday"	"7"	20	2215	9.03
	"Idaho"	"16"	"Sunday"	"1"	16	1974	8.11 (Unreliable)
	"Idaho"	"16"	"Monday"	"2"	16	3272	4.89 (Unreliable)
	"Idaho"	"16"	"Tuesday"	"3"	16	3383	4.73 (Unreliable)
	"Idaho"	"16"	"Wednesday"	"4"	14	3327	4.21 (Unreliable)
	"Idaho"	"16"	"Thursday"	"5"	21	3563	5.89
	"Idaho"	"16"	"Friday"	"6"	13	3446	3.77 (Unreliable)
	"Idaho"	"16"	"Saturday"	"7"	12	2438	4.92 (Unreliable)
	"Illinois"	"17"	"Sunday"	"1"	120	13948	8.60
	"Illinois"	"17"	"Monday"	"2"	165	22018	7.49
	"Illinois"	"17"	"Tuesday"	"3"	142	23024	6.17
	"Illinois"	"17"	"Wednesday"	"4"	138	23066	5.98
	"Illinois"	"17"	"Thursday"	"5"	124	23133	5.36
	"Illinois"	"17"	"Friday"	"6"	135	23190	5.82
	"Illinois"	"17"	"Saturday"	"7"	125	16436	7.61
	"Indiana"	"18"	"Sunday"	"1"	65	7469	8.70
	"Indiana"	"18"	"Monday"	"2"	89	12490	7.13
	"Indiana"	"18"	"Tuesday"	"3"	75	13331	5.63
