Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use ≥4 times a week during the month before pregnancy,,2016,1266,44.2,(40.8-47.7)
Nutrition,Multivitamin use ≥4 times a week during the month before pregnancy,,2017,1230,45.1,(41.8-48.5)
Nutrition,Multivitamin use ≥4 times a week during the month before pregnancy,,2018,1139,44.5,(41.1-48.0)
Nutrition,Multivitamin use ≥4 times a week during the month before pregnancy,,2019,1185,43.8,(40.5-47.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1227,2.9,(2.0-4.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1188,3.6,(2.5-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1112,3.8,(2.7-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1147,2.3,(1.5-3.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1227,23.6,(20.7-26.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1188,27.7,(24.6-31.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1112,26.3,(23.3-29.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1147,25.7,(22.8-28.9)
Pre-pregnancy Weight,Obese (BMI≥30 kg/m2),,2016,1227,22.4,(19.6-25.5)
Pre-pregnancy Weight,Obese (BMI≥30 kg/m2),,2017,1188,23.6,(20.7-26.7)
Pre-pregnancy Weight,Obese (BMI≥30 kg/m2),,2018,1112,25.0,(22.0-28.2)
Pre-pregnancy Weight,Obese (BMI≥30 kg/m2),,2019,1147,25.2,(22.4-28.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1265,15.5,(12.9-18.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1224,16.3,(13.7-19.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1135,11.5,(9.3-14.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1176,14.8,(12.4-17.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1265,5.6,(4.0-7.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1232,6.0,(4.3-8.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1133,4.9,(3.4-6.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1178,6.4,(4.8-8.6)
Substance Use,Any cigarette smoking,Postpartum,2016,1263,8.7,(6.7-11.1)
Substance Use,Any cigarette smoking,Postpartum,2017,1231,9.7,(7.6-12.3)
Substance Use,Any cigarette smoking,Postpartum,2018,1133,6.6,(4.9-8.8)
Substance Use,Any cigarette smoking,Postpartum,2019,1176,8.5,(6.6-10.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1256,3.7,(2.5-5.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1223,3.7,(2.5-5.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1133,2.9,(1.9-4.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1175,4.5,(3.2-6.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1259,1.1,(0.5-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1227,1.4,(0.7-2.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1135,1.3,(0.7-2.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1175,1.3,(0.6-2.7)
Substance Use,Hookah use in the last 2 years,,2016,1249,3.0,(2.0-4.6)
Substance Use,Hookah use in the last 2 years,,2017,1218,3.0,(2.0-4.4)
Substance Use,Hookah use in the last 2 years,,2018,1127,1.4,(0.8-2.4)
Substance Use,Hookah use in the last 2 years,,2019,1162,1.6,(0.9-2.7)
Substance Use,Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,,2016,1230,3.5,(2.3-5.2)
Substance Use,Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,,2017,1209,4.1,(2.8-5.9)
Substance Use,Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,,2018,1126,2.8,(1.8-4.2)
Substance Use,Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,,2019,1169,3.0,(2.0-4.4)
