Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,879,31.1,(28.1-34.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,802,33.5,(30.3-36.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,796,33.5,(30.4-36.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,841,3.7,(2.5-5.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,773,3.8,(2.7-5.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,759,2.7,(1.7-4.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,841,26.4,(23.4-29.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,773,22.8,(19.9-26.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,759,25.8,(22.8-29.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,841,27.2,(24.2-30.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,773,31.7,(28.4-35.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,759,32.8,(29.6-36.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,868,23.3,(20.5-26.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,788,23.7,(20.8-26.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,785,25.0,(22.0-28.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,870,11.9,(9.8-14.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,789,10.8,(8.7-13.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,785,12.6,(10.3-15.2)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2017,869,15.5,(13.1-18.2)
Substance Use,Any cigarette smoking,Postpartum,2018,788,17.0,(14.4-20.0)
Substance Use,Any cigarette smoking,Postpartum,2019,785,16.0,(13.5-18.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,866,4.4,(3.2-6.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,789,5.4,(4.0-7.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,784,6.5,(4.9-8.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,867,1.5,(0.8-2.7)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,789,1.4,(0.8-2.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,784,1.2,(0.6-2.4)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2017,860,3.6,(2.5-5.3)
Substance Use,Hookah use in the last 2 years,,2018,787,2.6,(1.7-4.0)
Substance Use,Hookah use in the last 2 years,,2019,782,3.5,(2.4-5.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,867,2.6,(1.7-4.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,790,2.3,(1.4-3.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,780,2.6,(1.7-4.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,861,4.7,(3.4-6.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,784,4.0,(2.7-5.7)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,785,3.7,(2.6-5.3)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,862,3.7,(2.6-5.4)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,783,2.2,(1.3-3.6)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,785,2.7,(1.8-4.2)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,,,
Depression,Self-reported depression in the 3 months before pregnancy,,2017,879,13.2,(11.0-15.7)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,801,17.3,(14.7-20.2)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,793,15.8,(13.4-18.6)
Depression,Self-reported depression during pregnancy,,2016,,,
Depression,Self-reported depression during pregnancy,,2017,866,13.8,(11.6-16.5)
