Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1165,40.5,(37.0-44.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1041,40.2,(36.6-43.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1006,43.9,(40.4-47.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1065,41.3,(37.9-44.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1144,2.3,(1.5-3.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1011,2.8,(1.7-4.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,979,3.4,(2.2-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1041,1.8,(1.1-3.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1144,23.4,(20.5-26.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1011,24.9,(21.7-28.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,979,25.9,(22.8-29.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1041,28.8,(25.7-32.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1144,24.6,(21.7-27.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1011,26.2,(23.1-29.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,979,22.2,(19.4-25.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1041,25.1,(22.2-28.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1158,25.7,(22.9-28.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1032,22.9,(20.2-25.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,990,22.1,(19.4-25.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1061,20.9,(18.5-23.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1160,11.0,(9.2-13.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1033,12.3,(10.3-14.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,993,10.2,(8.4-12.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1062,10.2,(8.5-12.2)
Substance Use,Any cigarette smoking,Postpartum,2016,1158,14.8,(12.7-17.1)
Substance Use,Any cigarette smoking,Postpartum,2017,1031,14.4,(12.2-17.0)
Substance Use,Any cigarette smoking,Postpartum,2018,993,12.1,(10.1-14.5)
Substance Use,Any cigarette smoking,Postpartum,2019,1062,12.9,(11.1-15.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1156,5.3,(3.8-7.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1031,2.8,(1.8-4.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1001,4.2,(2.9-6.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1056,4.6,(3.3-6.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1156,1.1,(0.6-2.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1031,0.9,(0.3-2.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1001,1.0,(0.5-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1054,0.9,(0.4-2.0)
Substance Use,Hookah use in the last 2 years,,2016,1147,4.0,(2.7-5.9)
Substance Use,Hookah use in the last 2 years,,2017,1025,4.2,(2.8-6.2)
Substance Use,Hookah use in the last 2 years,,2018,990,2.3,(1.4-3.7)
Substance Use,Hookah use in the last 2 years,,2019,1052,3.3,(2.2-5.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1152,2.8,(1.9-4.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1020,3.9,(2.6-5.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,995,4.5,(3.2-6.2)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1043,3.9,(2.8-5.5)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1148,2.7,(1.9-3.9)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1019,4.0,(2.8-5.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,989,5.2,(3.8-7.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1038,3.7,(2.8-4.9)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1142,2.2,(1.5-3.4)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1020,2.9,(1.9-4.2)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,986,3.6,(2.4-5.3)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1041,2.3,(1.6-3.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,1172,12.0,(10.0-14.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1042,13.5,(11.1-16.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1010,12.3,(10.1-14.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1072,14.0,(11.8-16.5)
Depression,Self-reported depression during pregnancy,,2016,1165,13.2,(11.1-15.8)
Depression,Self-reported depression during pregnancy,,2017,1031,13.2,(10.8-15.9)
Depression,Self-reported depression during pregnancy,,2018,996,14.6,(12.2-17.4)
Depression,Self-reported depression during pregnancy,,2019,1060,13.8,(11.7-16.3)
Depression,Self-reported postpartum depressive symptoms,,2016,1128,14.1,(11.7-16.8)
Depression,Self-reported postpartum depressive symptoms,,2017,1018,13.4,(11.1-16.2)
Depression,Self-reported postpartum depressive symptoms,,2018,974,14.8,(12.4-17.5)
Depression,Self-reported postpartum depressive symptoms,,2019,1033,12.2,(10.1-14.8)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,1163,65.4,(62.1-68.6)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1032,67.2,(63.6-70.5)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,998,66.1,(62.6-69.4)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1063,67.4,(64.1-70.5)
Health Care Services,Began prenatal care in 1st trimester,,2016,1142,84.7,(81.9-87.1)
Health Care Services,Began prenatal care in 1st trimester,,2017,1014,85.7,(82.9-88.2)
Health Care Services,Began prenatal care in 1st trimester,,2018,978,83.2,(80.2-85.8)
Health Care Services,Began prenatal care in 1st trimester,,2019,1032,85.9,(83.3-88.2)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,1143,57.6,(53.9-61.1)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1015,58.9,(55.1-62.6)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,978,60.9,(57.3-64.5)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,1016,62.9,(59.4-66.3)
Health Care Services,Had maternal postpartum checkup,,2016,1137,86.4,(83.9-88.6)
Health Care Services,Had maternal postpartum checkup,,2017,1023,87.6,(85.1-89.8)
Health Care Services,Had maternal postpartum checkup,,2018,978,89.0,(86.6-91.1)
Health Care Services,Had maternal postpartum checkup,,2019,1039,88.3,(85.9-90.4)
Pregnancy Intention,Mistimed,,2016,1153,17.2,(14.6-20.2)
Pregnancy Intention,Mistimed,,2017,1030,16.6,(14.0-19.6)
Pregnancy Intention,Mistimed,,2018,989,13.9,(11.6-16.7)
Pregnancy Intention,Mistimed,,2019,1056,16.8,(14.2-19.7)
Pregnancy Intention,Unwanted pregnancy,,2016,1153,4.8,(3.5-6.5)
Pregnancy Intention,Unwanted pregnancy,,2017,1030,5.2,(3.7-7.2)
Pregnancy Intention,Unwanted pregnancy,,2018,989,6.1,(4.6-8.1)
Pregnancy Intention,Unwanted pregnancy,,2019,1056,6.3,(4.9-8.2)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,1153,16.5,(14.1-19.1)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1030,19.7,(16.9-22.7)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,989,21.3,(18.5-24.3)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,1056,17.8,(15.4-20.5)
Pregnancy Intention,Intended pregnancy,,2016,1153,61.5,(58.0-64.9)
Pregnancy Intention,Intended pregnancy,,2017,1030,58.5,(54.8-62.2)
Pregnancy Intention,Intended pregnancy,,2018,989,58.7,(55.1-62.2)
Pregnancy Intention,Intended pregnancy,,2019,1056,59.1,(55.6-62.4)
Postpartum Family Planning,Use of any postpartum contraception,,2016,1118,79.9,(76.9-82.6)
Postpartum Family Planning,Use of any postpartum contraception,,2017,1004,74.8,(71.3-77.9)
Postpartum Family Planning,Use of any postpartum contraception,,2018,964,74.8,(71.4-77.9)
Postpartum Family Planning,Use of any postpartum contraception,,2019,1022,77.8,(74.7-80.6)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,1118,12.6,(10.3-15.3)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,1004,10.1,(8.0-12.6)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,964,10.4,(8.4-12.9)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,1022,11.8,(9.6-14.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,1118,23.8,(20.9-27.1)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,1004,23.5,(20.5-26.8)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,964,23.2,(20.2-26.4)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,1022,26.0,(23.0-29.3)
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,1118,20.4,(17.6-23.5)
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,1004,18.9,(16.1-22.2)
