Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,901,35.9,(31.4-40.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,893,32.7,(28.0-37.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,970,35.5,(30.8-40.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,864,3.8,(2.3-6.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,860,2.6,(1.5-4.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,920,3.5,(2.0-5.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,864,25.6,(21.5-30.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,860,24.6,(20.4-29.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,920,28.9,(24.5-33.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,864,28.9,(24.7-33.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,860,29.8,(25.1-34.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,920,32.7,(28.0-37.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,878,24.3,(20.4-28.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,877,27.0,(22.5-32.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,961,23.2,(19.2-27.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,880,15.7,(12.5-19.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,879,16.4,(12.8-20.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,959,13.4,(10.1-17.4)
Substance Use,Any cigarette smoking,Postpartum,2016,878,19.9,(16.3-24.1)
Substance Use,Any cigarette smoking,Postpartum,2018,875,21.5,(17.4-26.3)
Substance Use,Any cigarette smoking,Postpartum,2019,958,14.6,(11.3-18.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,884,8.3,(5.9-11.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,878,5.9,(3.7-9.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,956,6.3,(4.2-9.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,883,3.4,(2.0-5.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,880,3.7,(2.2-6.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,956,3.0,(1.6-5.5)
Substance Use,Hookah use in the last 2 years,,2016,883,4.4,(2.8-7.0)
Substance Use,Hookah use in the last 2 years,,2018,869,2.0,(0.9-4.0)
Substance Use,Hookah use in the last 2 years,,2019,948,2.9,(1.6-5.2)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,884,3.2,(1.8-5.5)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,872,1.1,(0.4-2.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,954,1.2,(0.5-2.9)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,880,6.0,(4.0-8.7)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,874,6.7,(4.4-10.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,952,4.8,(3.0-7.6)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,881,2.1,(1.1-4.0)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,875,5.4,(3.4-8.5)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,953,2.7,(1.5-5.0)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,900,19.0,(15.5-23.1)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,892,20.5,(16.6-25.1)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,957,22.9,(18.8-27.6)
Depression,Self-reported depression during pregnancy,,2016,880,20.8,(17.1-25.0)
Depression,Self-reported depression during pregnancy,,2018,876,19.6,(15.8-24.1)
Depression,Self-reported depression during pregnancy,,2019,955,22.9,(18.8-27.5)
Depression,Self-reported postpartum depressive symptoms,,2016,884,19.2,(15.7-23.3)
Depression,Self-reported postpartum depressive symptoms,,2018,871,21.0,(16.9-25.7)
Depression,Self-reported postpartum depressive symptoms,,2019,944,19.1,(15.4-23.4)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,895,56.4,(51.5-61.2)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,877,65.4,(60.1-70.3)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,959,59.8,(54.7-64.7)
Health Care Services,Began prenatal care in 1st trimester,,2016,886,80.1,(75.9-83.8)
Health Care Services,Began prenatal care in 1st trimester,,2018,864,85.9,(81.9-89.1)
Health Care Services,Began prenatal care in 1st trimester,,2019,951,83.3,(79.0-86.8)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,888,61.0,(56.2-65.7)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,876,60.3,(55.0-65.4)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,957,61.8,(56.8-66.6)
Health Care Services,Had maternal postpartum checkup,,2016,875,89.9,(86.6-92.5)
Health Care Services,Had maternal postpartum checkup,,2018,877,91.5,(88.3-94.0)
Health Care Services,Had maternal postpartum checkup,,2019,951,88.8,(85.2-91.6)
Pregnancy Intention,Mistimed,,2016,894,21.5,(17.7-25.8)
Pregnancy Intention,Mistimed,,2018,892,19.6,(15.7-24.2)
Pregnancy Intention,Mistimed,,2019,966,20.4,(16.6-24.9)
Pregnancy Intention,Unwanted pregnancy,,2016,894,9.8,(7.2-13.0)
Pregnancy Intention,Unwanted pregnancy,,2018,892,8.8,(6.4-12.1)
Pregnancy Intention,Unwanted pregnancy,,2019,966,8.0,(5.7-11.2)
