Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1619,43.2,(39.9-46.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1126,43.7,(40.6-46.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1128,43.4,(40.0-46.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1099,45.6,(42.0-49.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1528,3.4,(2.4-4.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1075,4.0,(2.9-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1086,3.6,(2.5-5.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1073,2.8,(1.8-4.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1528,23.9,(21.0-27.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1075,24.4,(21.7-27.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1086,24.0,(21.1-27.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1073,29.1,(25.8-32.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1528,17.3,(14.7-20.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1075,18.7,(16.4-21.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1086,20.6,(17.8-23.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1073,19.4,(16.7-22.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1617,14.7,(12.4-17.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1119,14.5,(12.4-16.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1120,16.7,(14.1-19.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1091,12.7,(10.5-15.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1618,6.4,(5.0-8.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1119,5.2,(4.0-6.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1120,7.1,(5.4-9.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1091,6.0,(4.4-8.2)
Substance Use,Any cigarette smoking,Postpartum,2016,1617,10.0,(8.1-12.2)
Substance Use,Any cigarette smoking,Postpartum,2017,1118,7.6,(6.1-9.4)
Substance Use,Any cigarette smoking,Postpartum,2018,1122,10.8,(8.6-13.3)
Substance Use,Any cigarette smoking,Postpartum,2019,1091,7.7,(5.9-10.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1610,2.7,(1.8-3.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1117,4.4,(3.2-6.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1119,5.1,(3.7-7.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1095,5.3,(3.9-7.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1610,1.1,(0.6-2.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1114,1.1,(0.6-2.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1117,1.2,(0.7-2.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1094,1.4,(0.7-2.7)
Substance Use,Hookah use in the last 2 years,,2016,1585,5.4,(4.1-7.2)
Substance Use,Hookah use in the last 2 years,,2017,1095,4.2,(3.0-5.8)
Substance Use,Hookah use in the last 2 years,,2018,1105,4.5,(3.2-6.4)
Substance Use,Hookah use in the last 2 years,,2019,1073,3.0,(1.9-4.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1614,4.3,(3.2-5.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1118,3.4,(2.4-4.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1121,5.2,(3.8-7.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1088,3.5,(2.4-5.1)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1584,2.8,(1.8-4.5)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1109,2.4,(1.6-3.7)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1112,3.5,(2.4-5.1)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1082,2.4,(1.4-4.0)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1586,2.1,(1.2-3.7)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1107,1.5,(0.9-2.5)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1105,1.9,(1.1-3.2)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1081,1.5,(1.0-2.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,1606,12.1,(10.0-14.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1111,12.6,(10.6-14.8)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1112,14.0,(11.7-16.6)
