Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1286,47.8,(44.5-51.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1464,48.9,(45.6-52.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1420,46.6,(43.3-50.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1196,49.7,(46.3-53.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1232,3.6,(2.5-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1372,2.9,(2.0-4.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1337,3.1,(2.0-4.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1137,2.7,(1.8-4.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1232,24.6,(21.7-27.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1372,28.1,(25.1-31.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1337,26.7,(23.7-29.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1137,28.9,(25.6-32.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1232,26.1,(23.2-29.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1372,25.5,(22.6-28.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1337,27.2,(24.2-30.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1137,23.9,(21.1-27.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1269,16.5,(13.9-19.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1449,12.5,(10.2-15.1)
