Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,928,41.8,(38.5-45.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,887,35.3,(32.2-38.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,842,39.3,(35.9-42.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,923,36.0,(32.8-39.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,876,2.7,(1.8-4.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,832,2.6,(1.7-4.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,797,3.3,(2.2-4.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,858,2.8,(1.9-4.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,876,26.9,(23.9-30.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,832,26.3,(23.4-29.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,797,26.3,(23.2-29.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,858,25.1,(22.1-28.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,876,26.9,(24.0-30.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,832,28.4,(25.3-31.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,797,34.0,(30.6-37.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,858,33.1,(29.9-36.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,923,20.1,(17.5-22.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,874,18.4,(15.9-21.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,835,19.2,(16.5-22.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,924,17.5,(15.1-20.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,925,9.0,(7.3-11.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,878,9.5,(7.7-11.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,836,8.6,(6.7-10.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,923,10.1,(8.2-12.3)
Substance Use,Any cigarette smoking,Postpartum,2016,925,13.0,(10.9-15.5)
Substance Use,Any cigarette smoking,Postpartum,2017,880,13.3,(11.1-15.8)
Substance Use,Any cigarette smoking,Postpartum,2018,836,11.0,(8.9-13.5)
Substance Use,Any cigarette smoking,Postpartum,2019,923,12.4,(10.3-14.8)
Substance Use,During the 3 months before pregnancy,,2016,923,20.1,(17.5-22.9)
Substance Use,During the 3 months before pregnancy,,2017,874,18.4,(15.9-21.1)
Substance Use,During the 3 months before pregnancy,,2018,835,19.2,(16.5-22.2)
Substance Use,During the 3 months before pregnancy,,2019,924,17.5,(15.1-20.3)
Substance Use,During the last 3 months of pregnancy,,2016,925,9.0,(7.3-11.0)
Substance Use,During the last 3 months of pregnancy,,2017,878,9.5,(7.7-11.6)
Substance Use,During the last 3 months of pregnancy,,2018,836,8.6,(6.7-10.8)
Substance Use,During the last 3 months of pregnancy,,2019,923,10.1,(8.2-12.3)
Substance Use,Postpartum,,2016,925,13.0,(10.9-15.5)
Substance Use,Postpartum,,2017,880,13.3,(11.1-15.8)
Substance Use,Postpartum,,2018,836,11.0,(8.9-13.5)
Substance Use,Postpartum,,2019,923,12.4,(10.3-14.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,921,3.7,(2.7-5.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,876,2.7,(1.8-4.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,836,3.8,(2.6-5.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,919,3.5,(2.4-4.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,921,1.0,(0.5-1.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,877,0.5,(0.2-1.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,836,0.6,(0.2-1.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,921,2.1,(1.3-3.3)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,916,4.5,(3.3-6.2)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,872,4.3,(3.1-6.0)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,836,5.3,(3.9-7.3)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,916,4.1,(2.9-5.7)
Substance Use,During the 3 months before pregnancy,,2016,921,3.7,(2.7-5.3)
Substance Use,During the 3 months before pregnancy,,2017,876,2.7,(1.8-4.0)
Substance Use,During the 3 months before pregnancy,,2018,836,3.8,(2.6-5.4)
Substance Use,During the 3 months before pregnancy,,2019,919,3.5,(2.4-4.9)
Substance Use,During the last 3 months of pregnancy,,2016,921,1.0,(0.5-1.9)
Substance Use,During the last 3 months of pregnancy,,2017,877,0.5,(0.2-1.2)
Substance Use,During the last 3 months of pregnancy,,2018,836,0.6,(0.2-1.3)
Substance Use,During the last 3 months of pregnancy,,2019,921,2.1,(1.3-3.3)
Substance Use,Hookah use in the last 2 years,,2016,916,4.5,(3.3-6.2)
Substance Use,Hookah use in the last 2 years,,2017,872,4.3,(3.1-6.0)
Substance Use,Hookah use in the last 2 years,,2018,836,5.3,(3.9-7.3)
Substance Use,Hookah use in the last 2 years,,2019,916,4.1,(2.9-5.7)
