Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,515,46.7,(41.8-51.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,513,47.1,(42.3-51.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,477,3.3,(1.9-5.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,477,4.9,(3.1-7.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,477,19.3,(15.6-23.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,477,23.4,(19.3-28.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,477,21.2,(17.3-25.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,477,19.9,(16.2-24.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,511,7.5,(5.4-10.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,508,9.1,(6.6-12.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,512,2.2,(1.2-3.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,508,3.5,(2.1-5.5)
Substance Use,Any cigarette smoking,Postpartum,2018,515,4.7,(3.2-6.9)
Substance Use,Any cigarette smoking,Postpartum,2019,509,6.0,(4.1-8.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,516,2.2,(1.1-4.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,507,1.0,(0.3-3.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,514,0.0,(.-.)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,507,0.4,(0.1-2.7)
Substance Use,Hookah use in the last 2 years,,2018,512,6.9,(4.8-9.9)
Substance Use,Hookah use in the last 2 years,,2019,504,9.1,(6.6-12.5)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,512,2.0,(1.0-3.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,503,3.5,(2.1-5.8)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,509,1.8,(1.0-3.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,500,3.5,(2.0-5.9)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,510,1.7,(0.9-3.3)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,501,2.3,(1.2-4.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,519,9.8,(7.3-13.1)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,512,11.5,(8.7-15.1)
Depression,Self-reported depression during pregnancy,,2018,511,11.5,(8.8-14.9)
Depression,Self-reported depression during pregnancy,,2019,504,12.1,(9.1-15.8)
Depression,Self-reported postpartum depressive symptoms,,2018,504,13.3,(10.4-16.9)
Depression,Self-reported postpartum depressive symptoms,,2019,505,12.3,(9.4-16.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,512,71.8,(67.3-76.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,509,73.2,(68.5-77.4)
Health Care Services,Began prenatal care in 1st trimester,,2018,497,86.1,(82.5-89.1)
Health Care Services,Began prenatal care in 1st trimester,,2019,494,86.4,(82.2-89.7)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,500,73.4,(68.9-77.4)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,502,67.5,(62.7-72.1)
Health Care Services,Had maternal postpartum checkup,,2018,508,90.9,(87.7-93.3)
Health Care Services,Had maternal postpartum checkup,,2019,508,90.8,(87.5-93.3)
Pregnancy Intention,Mistimed,,2018,511,16.5,(13.2-20.3)
Pregnancy Intention,Mistimed,,2019,509,15.5,(12.3-19.5)
Pregnancy Intention,Unwanted pregnancy,,2018,511,5.1,(3.4-7.5)
Pregnancy Intention,Unwanted pregnancy,,2019,509,6.4,(4.2-9.5)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,511,17.4,(14.0-21.5)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,509,15.6,(12.3-19.7)
Pregnancy Intention,Intended pregnancy,,2018,511,61.0,(56.2-65.7)
Pregnancy Intention,Intended pregnancy,,2019,509,62.5,(57.6-67.2)
Postpartum Family Planning,Use of any postpartum contraception,,2018,500,73.4,(68.8-77.6)
Postpartum Family Planning,Use of any postpartum contraception,,2019,498,71.4,(66.8-75.7)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,500,4.9,(3.2-7.5)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,498,9.2,(6.6-12.7)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,500,21.0,(17.3-25.4)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,498,21.4,(17.6-25.8)
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,500,23.9,(19.9-28.4)
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,498,22.7,(18.8-27.1)
Postpartum Family Planning,Least effective contraceptive methods,,2018,500,23.6,(19.5-28.1)
Postpartum Family Planning,Least effective contraceptive methods,,2019,498,18.1,(14.6-22.2)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,515,59.5,(54.6-64.2)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,509,57.1,(52.2-61.9)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,480,55.3,(50.2-60.2)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,473,53.5,(48.4-58.6)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,480,34.4,(29.8-39.3)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,473,34.3,(29.5-39.4)
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,480,3.6,(2.2-5.9)
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,473,5.8,(3.7-8.9)
Health Insurance Status for Prenatal Care,Private insurance,,2018,449,56.3,(51.1-61.3)
Health Insurance Status for Prenatal Care,Private insurance,,2019,452,53.8,(48.6-59.0)
Health Insurance Status for Prenatal Care,Medicaid,,2018,449,36.0,(31.3-41.1)
Health Insurance Status for Prenatal Care,Medicaid,,2019,452,37.1,(32.1-42.4)
Health Insurance Status for Prenatal Care,No insurance,,2018,449,1.5,(0.6-3.5)
Health Insurance Status for Prenatal Care,No insurance,,2019,452,1.4,(0.6-3.3)
Health Insurance Status Postpartum,Private insurance,,2018,466,54.7,(49.5-59.7)
Health Insurance Status Postpartum,Private insurance,,2019,469,50.5,(45.4-55.6)
Health Insurance Status Postpartum,Medicaid,,2018,466,35.7,(31.1-40.7)
Health Insurance Status Postpartum,Medicaid,,2019,469,38.6,(33.6-43.8)
Health Insurance Status Postpartum,No insurance,,2018,466,3.4,(2.0-5.7)
Health Insurance Status Postpartum,No insurance,,2019,469,2.3,(1.2-4.5)
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,498,77.4,(73.0-81.2)
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,499,76.3,(71.8-80.3)
Breastfeeding Practices,Ever breastfed,,2018,502,92.9,(90.2-94.9)
Breastfeeding Practices,Ever breastfed,,2019,500,90.8,(87.3-93.5)
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,500,78.6,(74.3-82.3)
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2019,497,75.3,(70.6-79.4)
