Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,953,30.1,(26.1-34.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,766,35.9,(31.6-40.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,783,38.3,(34.0-42.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,894,4.8,(3.1-7.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,719,2.9,(1.6-4.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,741,4.7,(3.1-7.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,894,25.8,(21.8-30.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,719,29.7,(25.6-34.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,741,28.6,(24.6-32.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,894,27.8,(23.8-32.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,719,24.9,(21.1-29.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,741,26.3,(22.5-30.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,946,12.5,(9.8-15.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,768,12.2,(9.6-15.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,785,12.0,(9.3-15.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,946,5.4,(3.6-8.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,768,4.9,(3.3-7.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,785,3.2,(2.0-5.2)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2017,943,7.4,(5.3-10.3)
Substance Use,Any cigarette smoking,Postpartum,2018,764,8.2,(6.0-11.0)
Substance Use,Any cigarette smoking,Postpartum,2019,782,7.7,(5.6-10.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,937,4.5,(2.9-6.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,761,2.3,(1.3-4.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,775,3.9,(2.4-6.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,938,1.2,(0.5-2.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,761,1.3,(0.6-2.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,775,1.5,(0.7-3.2)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2017,936,6.2,(4.3-8.8)
Substance Use,Hookah use in the last 2 years,,2018,757,6.3,(4.4-8.8)
Substance Use,Hookah use in the last 2 years,,2019,772,6.1,(4.2-8.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,936,0.1,(0.0-0.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,756,2.4,(1.3-4.3)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,780,1.2,(0.5-2.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,941,2.1,(1.1-4.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,761,2.8,(1.7-4.8)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,778,2.1,(1.2-3.9)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,941,1.4,(0.7-3.1)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,761,2.6,(1.4-4.5)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,778,1.3,(0.6-2.8)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,,,
Depression,Self-reported depression in the 3 months before pregnancy,,2017,952,7.8,(5.7-10.6)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,769,12.1,(9.4-15.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,787,11.3,(8.8-14.4)
Depression,Self-reported depression during pregnancy,,2016,,,
Depression,Self-reported depression during pregnancy,,2017,938,8.4,(6.2-11.3)
Depression,Self-reported depression during pregnancy,,2018,764,12.4,(9.7-15.8)
Depression,Self-reported depression during pregnancy,,2019,783,10.1,(7.8-13.0)
Depression,Self-reported postpartum depressive symptoms,,2016,,,
Depression,Self-reported postpartum depressive symptoms,,2017,935,12.4,(9.7-15.8)
Depression,Self-reported postpartum depressive symptoms,,2018,752,13.6,(10.7-17.1)
Depression,Self-reported postpartum depressive symptoms,,2019,777,14.5,(11.6-18.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,,,
