Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1070,40.4,(36.3-44.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,628,42.6,(37.2-48.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1040,5.2,(3.6-7.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,606,4.3,(2.4-7.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1040,23.5,(20.1-27.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,606,25.8,(21.2-31.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1040,19.3,(16.1-22.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,606,23.4,(19.0-28.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1071,14.7,(11.9-18.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,619,14.3,(10.6-19.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1070,4.9,(3.3-7.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,621,5.8,(3.5-9.6)
Substance Use,Any cigarette smoking,Postpartum,2016,1064,7.8,(5.8-10.5)
Substance Use,Any cigarette smoking,Postpartum,2019,617,7.1,(4.3-11.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1044,4.8,(3.2-7.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,610,7.7,(4.9-11.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1045,0.9,(0.4-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,609,0.6,(0.3-1.2)
Substance Use,Hookah use in the last 2 years,,2016,1046,3.4,(2.2-5.3)
Substance Use,Hookah use in the last 2 years,,2019,610,3.5,(1.8-6.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1057,3.3,(2.1-4.9)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,617,2.9,(1.7-5.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1056,3.1,(1.9-5.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,612,1.9,(1.1-3.2)
