Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1378,44.6,(41.7-47.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1220,43.1,(40.1-46.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1304,43.7,(40.8-46.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1232,41.4,(38.4-44.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1329,4.0,(3.0-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1162,2.7,(1.9-3.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1263,2.9,(2.1-4.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1198,3.1,(2.2-4.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1329,26.6,(24.1-29.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1162,26.4,(23.7-29.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1263,26.6,(24.0-29.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1198,24.3,(21.7-27.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1329,21.9,(19.5-24.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1162,26.1,(23.4-29.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1263,25.6,(23.1-28.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1198,27.2,(24.4-30.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1302,16.7,(14.6-19.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1201,16.1,(13.9-18.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1288,14.7,(12.7-17.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1214,15.4,(13.2-17.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1304,7.6,(6.1-9.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1202,6.8,(5.3-8.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1288,6.9,(5.5-8.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1214,6.7,(5.3-8.4)
Substance Use,Any cigarette smoking,Postpartum,2016,1302,10.0,(8.3-12.0)
Substance Use,Any cigarette smoking,Postpartum,2017,1202,11.0,(9.2-13.2)
Substance Use,Any cigarette smoking,Postpartum,2018,1287,9.6,(7.9-11.5)
Substance Use,Any cigarette smoking,Postpartum,2019,1213,9.4,(7.7-11.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1365,2.0,(1.3-2.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1213,3.1,(2.2-4.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1296,3.5,(2.5-4.8)
