Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,857,36.9,(32.8-41.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,811,3.2,(1.8-5.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,811,26.4,(22.7-30.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,811,29.2,(25.3-33.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,859,22.3,(18.6-26.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,859,14.2,(11.0-18.0)
Substance Use,Any cigarette smoking,Postpartum,2018,859,17.0,(13.6-20.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,856,5.0,(3.2-7.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,857,1.8,(0.9-3.5)
Substance Use,Hookah use in the last 2 years,,2018,850,4.6,(3.1-6.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,852,3.1,(1.9-5.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,844,3.4,(2.0-5.5)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,847,3.9,(2.4-6.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,857,22.2,(18.6-26.3)
Depression,Self-reported depression during pregnancy,,2018,848,20.9,(17.4-24.9)
Depression,Self-reported postpartum depressive symptoms,,2018,855,18.1,(14.9-21.8)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,856,68.4,(64.2-72.3)
Health Care Services,Began prenatal care in 1st trimester,,2018,851,81.7,(78.0-84.9)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,854,55.6,(51.2-60.0)
Health Care Services,Had maternal postpartum checkup,,2018,855,88.5,(85.3-91.1)
Pregnancy Intention,Mistimed,,2018,849,29.2,(25.2-33.6)
Pregnancy Intention,Unwanted pregnancy,,2018,849,7.2,(5.3-9.7)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,849,15.9,(12.9-19.5)
Pregnancy Intention,Intended pregnancy,,2018,849,47.7,(43.3-52.1)
Postpartum Family Planning,Use of any postpartum contraception,,2018,838,75.5,(71.5-79.1)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,838,15.4,(12.4-19.0)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,838,12.9,(10.3-16.0)
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,838,26.4,(22.5-30.6)
Postpartum Family Planning,Least effective contraceptive methods,,2018,838,20.8,(17.4-24.6)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,861,41.9,(37.6-46.3)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,829,55.9,(51.4-60.4)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,829,13.0,(10.3-16.4)
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,829,15.7,(12.7-19.4)
Health Insurance Status for Prenatal Care,Private insurance,,2018,795,53.9,(49.3-58.4)
Health Insurance Status for Prenatal Care,Medicaid,,2018,795,28.3,(24.3-32.6)
Health Insurance Status for Prenatal Care,No insurance,,2018,795,5.1,(3.5-7.5)
Health Insurance Status Postpartum,Private insurance,,2018,825,53.1,(48.6-57.6)
Health Insurance Status Postpartum,Medicaid,,2018,825,17.6,(14.4-21.3)
Health Insurance Status Postpartum,No insurance,,2018,825,9.3,(6.9-12.4)
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,833,83.4,(80.0-86.4)
Breastfeeding Practices,Ever breastfed,,2018,834,86.3,(82.9-89.1)
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,827,62.7,(58.2-67.1)
