Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,973,41.9,(37.6-46.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1029,45.1,(40.6-49.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,848,42.0,(36.9-47.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,849,43.9,(38.7-49.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,916,3.1,(1.8-5.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,946,5.7,(3.8-8.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,777,3.7,(2.1-6.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,764,2.6,(1.4-5.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,916,23.1,(19.5-27.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,946,24.2,(20.5-28.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,777,27.9,(23.4-32.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,764,28.1,(23.5-33.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,916,29.2,(25.1-33.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,946,27.6,(23.6-32.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,777,24.3,(20.0-29.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,764,32.4,(27.5-37.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,966,22.6,(18.9-26.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1021,22.5,(18.7-26.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,830,17.1,(13.3-21.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,832,16.8,(13.0-21.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,965,10.1,(7.5-13.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1021,12.8,(9.8-16.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,831,6.4,(4.1-9.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,832,7.9,(5.2-11.8)
Substance Use,Any cigarette smoking,Postpartum,2016,963,14.1,(11.1-17.8)
Substance Use,Any cigarette smoking,Postpartum,2017,1016,15.5,(12.2-19.4)
Substance Use,Any cigarette smoking,Postpartum,2018,829,12.1,(8.8-16.4)
Substance Use,Any cigarette smoking,Postpartum,2019,831,10.8,(7.6-15.1)
Substance Use,During the 3 months before pregnancy,,2016,966,22.6,(18.9-26.7)
Substance Use,During the 3 months before pregnancy,,2017,1021,22.5,(18.7-26.9)
Substance Use,During the 3 months before pregnancy,,2018,830,17.1,(13.3-21.9)
Substance Use,During the 3 months before pregnancy,,2019,832,16.8,(13.0-21.5)
Substance Use,During the last 3 months of pregnancy,,2016,965,10.1,(7.5-13.3)
Substance Use,During the last 3 months of pregnancy,,2017,1021,12.8,(9.8-16.5)
Substance Use,During the last 3 months of pregnancy,,2018,831,6.4,(4.1-9.7)
Substance Use,During the last 3 months of pregnancy,,2019,832,7.9,(5.2-11.8)
Substance Use,Postpartum,,2016,963,14.1,(11.1-17.8)
Substance Use,Postpartum,,2017,1016,15.5,(12.2-19.4)
Substance Use,Postpartum,,2018,829,12.1,(8.8-16.4)
Substance Use,Postpartum,,2019,831,10.8,(7.6-15.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,954,4.8,(3.1-7.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1010,5.1,(3.3-7.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,826,2.3,(1.1-4.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,827,3.7,(2.1-6.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,958,1.0,(0.4-2.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1010,1.6,(0.7-3.7)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,827,0.3,(0.0-1.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,828,1.8,(0.8-4.3)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,950,2.9,(1.7-4.8)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1005,3.7,(2.2-6.1)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,823,1.8,(0.8-3.9)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,819,1.2,(0.5-2.7)
Substance Use,During the 3 months before pregnancy,,2016,954,4.8,(3.1-7.3)
Substance Use,During the 3 months before pregnancy,,2017,1010,5.1,(3.3-7.8)
Substance Use,During the 3 months before pregnancy,,2018,826,2.3,(1.1-4.7)
Substance Use,During the 3 months before pregnancy,,2019,827,3.7,(2.1-6.5)
Substance Use,During the last 3 months of pregnancy,,2016,958,1.0,(0.4-2.5)
Substance Use,During the last 3 months of pregnancy,,2017,1010,1.6,(0.7-3.7)
Substance Use,During the last 3 months of pregnancy,,2018,827,0.3,(0.0-1.9)
Substance Use,During the last 3 months of pregnancy,,2019,828,1.8,(0.8-4.3)
Substance Use,Hookah use in the last 2 years,,2016,950,2.9,(1.7-4.8)
Substance Use,Hookah use in the last 2 years,,2017,1005,3.7,(2.2-6.1)
Substance Use,Hookah use in the last 2 years,,2018,823,1.8,(0.8-3.9)
Substance Use,Hookah use in the last 2 years,,2019,819,1.2,(0.5-2.7)
Substance Use,,,2016,956,1.4,(0.7-2.8)
Substance Use,,,2017,1012,3.8,(2.3-6.2)
Substance Use,,,2018,826,4.2,(2.4-7.2)
Substance Use,,,2019,824,2.8,(1.4-5.6)
Substance Use,,,2016,960,4.9,(3.2-7.4)
Substance Use,,,2017,1012,2.1,(1.1-4.0)
Substance Use,,,2018,824,3.5,(2.0-6.1)
Substance Use,,,2019,825,2.5,(1.3-4.9)
Substance Use,,,2016,958,2.9,(1.7-4.9)
Substance Use,,,2017,1008,2.2,(1.2-4.3)
Substance Use,,,2018,822,2.9,(1.5-5.6)
Substance Use,,,2019,824,2.1,(0.9-4.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,967,19.0,(15.6-22.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1023,16.7,(13.4-20.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,849,16.9,(13.1-21.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,845,19.2,(15.2-24.0)
Depression,Self-reported depression during pregnancy,,2016,967,14.8,(11.7-18.4)
Depression,Self-reported depression during pregnancy,,2017,1012,14.3,(11.3-17.9)
Depression,Self-reported depression during pregnancy,,2018,829,15.2,(11.6-19.7)
Depression,Self-reported depression during pregnancy,,2019,823,18.0,(14.2-22.6)
Depression,Self-reported postpartum depressive symptoms,,2016,959,12.0,(9.4-15.3)
Depression,Self-reported postpartum depressive symptoms,,2017,1002,7.4,(5.3-10.2)
Depression,Self-reported postpartum depressive symptoms,,2018,811,9.5,(6.7-13.3)
Depression,Self-reported postpartum depressive symptoms,,2019,814,10.2,(7.4-13.8)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,970,70.5,(66.4-74.3)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1017,68.6,(64.2-72.6)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,846,71.1,(66.3-75.6)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,837,70.3,(65.2-75.0)
Health Care Services,Began prenatal care in 1st trimester,,2016,951,88.6,(85.6-91.1)
Health Care Services,Began prenatal care in 1st trimester,,2017,1005,86.2,(82.7-89.1)
Health Care Services,Began prenatal care in 1st trimester,,2018,830,86.0,(81.9-89.3)
Health Care Services,Began prenatal care in 1st trimester,,2019,834,89.7,(86.1-92.4)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,960,69.4,(65.1-73.4)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1016,69.8,(65.4-73.9)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,825,74.6,(69.7-79.0)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,819,72.5,(67.3-77.1)
Health Care Services,Had maternal postpartum checkup,,2016,962,91.9,(89.1-94.1)
Health Care Services,Had maternal postpartum checkup,,2017,1008,94.2,(91.7-95.9)
Health Care Services,Had maternal postpartum checkup,,2018,819,94.2,(91.2-96.2)
Health Care Services,Had maternal postpartum checkup,,2019,819,93.4,(90.1-95.7)
Pregnancy Intention,Mistimed,,2016,968,17.1,(14.0-20.8)
Pregnancy Intention,Mistimed,,2017,1016,17.2,(14.0-21.0)
Pregnancy Intention,Mistimed,,2018,844,14.4,(11.2-18.3)
Pregnancy Intention,Mistimed,,2019,842,15.7,(12.1-20.1)
Pregnancy Intention,Unwanted pregnancy,,2016,968,4.5,(3.0-6.7)
Pregnancy Intention,Unwanted pregnancy,,2017,1016,3.8,(2.4-5.8)
Pregnancy Intention,Unwanted pregnancy,,2018,844,6.2,(4.0-9.4)
Pregnancy Intention,Unwanted pregnancy,,2019,842,5.4,(3.4-8.5)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,968,16.7,(13.6-20.3)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1016,13.5,(10.6-16.9)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,844,16.0,(12.4-20.4)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,842,12.9,(9.7-16.9)
Postpartum Family Planning,Use of any postpartum contraception,,2016,954,80.9,(77.1-84.2)
Postpartum Family Planning,Use of any postpartum contraception,,2017,983,83.2,(79.5-86.3)
Postpartum Family Planning,Use of any postpartum contraception,,2018,813,80.9,(76.3-84.8)
Postpartum Family Planning,Use of any postpartum contraception,,2019,810,84.0,(79.7-87.5)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,954,11.3,(8.7-14.5)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,983,11.6,(9.0-14.9)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,813,13.0,(9.8-17.0)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,810,11.2,(8.1-15.2)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,954,18.1,(14.9-21.8)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,983,19.1,(15.7-23.0)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,813,20.2,(16.3-24.8)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,810,25.4,(21.0-30.4)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2016,954,29.1,(25.2-33.3)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2017,983,30.3,(26.1-34.7)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2018,813,27.8,(23.3-32.9)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2019,810,27.6,(22.9-32.8)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2016,954,22.4,(18.9-26.4)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2017,983,22.2,(18.6-26.3)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2018,813,19.9,(16.1-24.4)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2019,810,19.8,(15.9-24.3)
Postpartum Family Planning,Male or female sterilization,,2016,954,11.3,(8.7-14.5)
Postpartum Family Planning,Male or female sterilization,,2017,983,11.6,(9.0-14.9)
Postpartum Family Planning,Male or female sterilization,,2018,813,13.0,(9.8-17.0)
Postpartum Family Planning,Male or female sterilization,,2019,810,11.2,(8.1-15.2)
Postpartum Family Planning,Long acting reversible contraceptive method,,2016,954,18.1,(14.9-21.8)
Postpartum Family Planning,Long acting reversible contraceptive method,,2017,983,19.1,(15.7-23.0)
Postpartum Family Planning,Long acting reversible contraceptive method,,2018,813,20.2,(16.3-24.8)
Postpartum Family Planning,Long acting reversible contraceptive method,,2019,810,25.4,(21.0-30.4)
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,954,29.1,(25.2-33.3)
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,983,30.3,(26.1-34.7)
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,813,27.8,(23.3-32.9)
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,810,27.6,(22.9-32.8)
Postpartum Family Planning,Least effective contraceptive methods,,2016,954,22.4,(18.9-26.4)
Postpartum Family Planning,Least effective contraceptive methods,,2017,983,22.2,(18.6-26.3)
Postpartum Family Planning,Least effective contraceptive methods,,2018,813,19.9,(16.1-24.4)
Postpartum Family Planning,Least effective contraceptive methods,,2019,810,19.8,(15.9-24.3)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,970,55.5,(51.0-59.9)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,1024,55.3,(50.7-59.8)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,835,52.6,(47.3-57.9)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,839,52.4,(47.0-57.7)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,935,65.5,(61.1-69.6)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,981,68.1,(63.7-72.1)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,807,70.8,(65.8-75.4)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,809,72.1,(67.1-76.6)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,935,25.3,(21.5-29.5)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,981,21.1,(17.6-25.1)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,807,22.8,(18.4-27.9)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,809,20.6,(16.4-25.4)
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,935,8.7,(6.7-11.2)
