Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,991,42.1,(38.3-46.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,972,41.4,(37.5-45.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1006,38.7,(34.9-42.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,973,4.4,(3.0-6.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,948,3.1,(1.9-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,976,2.6,(1.6-4.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,973,26.7,(23.2-30.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,948,30.0,(26.2-34.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,976,25.5,(22.1-29.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,973,25.8,(22.4-29.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,948,24.1,(20.7-27.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,976,29.0,(25.4-32.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,988,20.6,(17.5-24.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,973,21.6,(18.1-25.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1003,16.9,(14.1-20.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,989,9.1,(7.0-11.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,974,10.8,(8.3-13.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1003,9.2,(7.1-11.9)
Substance Use,Any cigarette smoking,Postpartum,2017,987,12.7,(10.3-15.7)
Substance Use,Any cigarette smoking,Postpartum,2018,970,15.3,(12.3-18.8)
Substance Use,Any cigarette smoking,Postpartum,2019,1000,10.9,(8.6-13.7)
