Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,700,33.0,(28.8-37.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,751,37.8,(33.3-42.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,907,35.4,(31.3-39.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,669,4.8,(3.0-7.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,718,3.7,(2.2-6.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,874,4.7,(3.2-7.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,669,20.2,(16.6-24.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,718,21.4,(17.7-25.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,874,23.2,(19.7-27.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,669,30.0,(25.8-34.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,718,36.0,(31.6-40.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,874,30.1,(26.2-34.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,686,29.3,(25.1-33.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,741,28.8,(24.6-33.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,905,27.8,(24.0-31.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,686,16.8,(13.4-20.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,742,15.9,(12.6-19.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,904,13.9,(11.1-17.2)
Substance Use,Any cigarette smoking,Postpartum,2017,685,20.2,(16.6-24.4)
Substance Use,Any cigarette smoking,Postpartum,2018,741,19.9,(16.3-24.1)
Substance Use,Any cigarette smoking,Postpartum,2019,902,18.0,(14.8-21.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,683,6.6,(4.5-9.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,740,7.6,(5.4-10.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,900,8.2,(6.0-11.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,683,3.4,(1.9-5.7)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,740,4.0,(2.4-6.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,901,2.9,(1.7-4.8)
Substance Use,Hookah use in the last 2 years,,2017,678,3.5,(2.2-5.5)
Substance Use,Hookah use in the last 2 years,,2018,727,3.7,(2.4-5.9)
Substance Use,Hookah use in the last 2 years,,2019,885,2.6,(1.7-4.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,685,2.7,(1.5-4.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,742,1.7,(0.8-3.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,902,1.5,(0.8-2.8)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,673,3.9,(2.4-6.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,725,2.7,(1.5-4.5)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,884,3.8,(2.4-6.0)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,670,2.2,(1.2-4.0)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,721,2.5,(1.4-4.3)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,885,2.9,(1.7-4.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,695,16.2,(13.1-20.0)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,741,22.5,(18.7-26.8)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,901,20.5,(17.2-24.3)
Depression,Self-reported depression during pregnancy,,2017,685,14.8,(11.7-18.5)
Depression,Self-reported depression during pregnancy,,2018,741,20.5,(16.9-24.6)
Depression,Self-reported depression during pregnancy,,2019,898,20.2,(16.9-24.0)
Depression,Self-reported postpartum depressive symptoms,,2017,683,14.0,(11.1-17.6)
Depression,Self-reported postpartum depressive symptoms,,2018,738,14.0,(11.0-17.6)
Depression,Self-reported postpartum depressive symptoms,,2019,895,13.9,(11.1-17.3)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,694,66.3,(61.7-70.7)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,749,67.7,(63.1-72.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,904,70.2,(66.0-74.1)
Health Care Services,Began prenatal care in 1st trimester,,2017,678,88.2,(84.6-90.9)
Health Care Services,Began prenatal care in 1st trimester,,2018,735,89.2,(85.8-91.8)
Health Care Services,Began prenatal care in 1st trimester,,2019,897,87.9,(84.4-90.7)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,691,51.9,(47.1-56.6)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,737,49.0,(44.3-53.8)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,898,53.7,(49.3-58.1)
Health Care Services,Had maternal postpartum checkup,,2017,688,89.3,(85.9-91.9)
Health Care Services,Had maternal postpartum checkup,,2018,742,88.5,(85.0-91.2)
Health Care Services,Had maternal postpartum checkup,,2019,902,89.2,(85.8-91.8)
Pregnancy Intention,Mistimed,,2017,683,20.3,(16.8-24.3)
Pregnancy Intention,Mistimed,,2018,741,16.4,(13.3-20.0)
Pregnancy Intention,Mistimed,,2019,901,20.0,(16.7-23.7)
Pregnancy Intention,Unwanted pregnancy,,2017,683,5.9,(4.2-8.4)
Pregnancy Intention,Unwanted pregnancy,,2018,741,9.3,(6.8-12.5)
Pregnancy Intention,Unwanted pregnancy,,2019,901,7.0,(5.1-9.7)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,683,17.6,(14.1-21.6)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,741,17.0,(13.8-20.9)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,901,18.1,(15.0-21.8)
Pregnancy Intention,Intended pregnancy,,2017,683,56.3,(51.5-60.9)
Pregnancy Intention,Intended pregnancy,,2018,741,57.4,(52.6-61.9)
Pregnancy Intention,Intended pregnancy,,2019,901,54.8,(50.4-59.2)
Postpartum Family Planning,Use of any postpartum contraception,,2017,678,80.6,(76.6-84.0)
Postpartum Family Planning,Use of any postpartum contraception,,2018,736,80.2,(76.1-83.7)
Postpartum Family Planning,Use of any postpartum contraception,,2019,891,80.9,(77.2-84.2)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,678,15.0,(11.9-18.8)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,736,13.6,(10.6-17.3)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,891,15.3,(12.4-18.9)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,678,20.3,(16.7-24.5)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,736,15.5,(12.3-19.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,891,16.4,(13.5-19.9)
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,678,27.2,(23.2-31.7)
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,736,28.0,(23.9-32.5)
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,891,27.4,(23.6-31.5)
Postpartum Family Planning,Least effective contraceptive methods,,2017,678,18.0,(14.7-21.9)
Postpartum Family Planning,Least effective contraceptive methods,,2018,736,23.0,(19.2-27.3)
Postpartum Family Planning,Least effective contraceptive methods,,2019,891,21.8,(18.4-25.7)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,697,39.6,(35.2-44.3)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,746,40.8,(36.2-45.5)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,908,41.1,(36.9-45.4)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,661,57.5,(52.6-62.2)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,739,55.4,(50.7-60.1)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,879,55.6,(51.1-60.0)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,661,35.1,(30.6-40.0)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,739,36.1,(31.6-40.9)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,879,34.2,(30.2-38.6)
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,661,7.4,(5.2-10.4)
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,739,8.4,(6.1-11.6)
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,879,10.2,(7.6-13.6)
Health Insurance Status for Prenatal Care,Private insurance,,2017,660,54.0,(49.1-58.8)
Health Insurance Status for Prenatal Care,Private insurance,,2018,724,51.1,(46.3-55.9)
Health Insurance Status for Prenatal Care,Private insurance,,2019,855,58.0,(53.5-62.4)
