Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,882,32.3,(29.1-35.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,892,28.9,(25.8-32.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,852,28.4,(25.2-31.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1073,32.6,(29.3-36.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,846,3.6,(2.5-5.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,852,4.3,(3.0-6.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,829,3.7,(2.5-5.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1018,3.1,(2.0-4.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,846,24.7,(21.8-27.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,852,24.9,(21.9-28.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,829,23.3,(20.4-26.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1018,26.4,(23.2-29.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,846,28.2,(25.2-31.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,852,26.1,(23.2-29.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,829,32.9,(29.6-36.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1018,33.3,(29.8-36.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,876,21.0,(18.3-24.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,883,23.8,(20.9-27.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,843,18.8,(16.1-21.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1073,19.3,(16.5-22.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,879,10.6,(8.6-13.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,886,11.2,(9.1-13.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,842,7.7,(6.0-9.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1073,8.1,(6.3-10.4)
Substance Use,Any cigarette smoking,Postpartum,2016,878,15.9,(13.5-18.6)
Substance Use,Any cigarette smoking,Postpartum,2017,886,18.0,(15.4-20.9)
Substance Use,Any cigarette smoking,Postpartum,2018,843,12.9,(10.6-15.6)
Substance Use,Any cigarette smoking,Postpartum,2019,1074,14.0,(11.6-16.9)
Substance Use,During the 3 months before pregnancy,,2016,876,21.0,(18.3-24.0)
Substance Use,During the 3 months before pregnancy,,2017,883,23.8,(20.9-27.0)
Substance Use,During the 3 months before pregnancy,,2018,843,18.8,(16.1-21.9)
Substance Use,During the 3 months before pregnancy,,2019,1073,19.3,(16.5-22.4)
Substance Use,During the last 3 months of pregnancy,,2016,879,10.6,(8.6-13.0)
Substance Use,During the last 3 months of pregnancy,,2017,886,11.2,(9.1-13.7)
Substance Use,During the last 3 months of pregnancy,,2018,842,7.7,(6.0-9.9)
Substance Use,During the last 3 months of pregnancy,,2019,1073,8.1,(6.3-10.4)
Substance Use,Postpartum,,2016,878,15.9,(13.5-18.6)
Substance Use,Postpartum,,2017,886,18.0,(15.4-20.9)
Substance Use,Postpartum,,2018,843,12.9,(10.6-15.6)
Substance Use,Postpartum,,2019,1074,14.0,(11.6-16.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,875,3.9,(2.7-5.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,885,4.2,(2.9-5.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,841,4.8,(3.4-6.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1073,4.1,(2.8-6.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,876,1.2,(0.6-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,885,1.1,(0.6-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,838,1.1,(0.5-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1073,1.1,(0.5-2.4)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,867,2.8,(1.9-4.1)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,883,2.7,(1.8-4.1)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,838,2.7,(1.8-4.0)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,1072,4.0,(2.8-5.5)
Substance Use,During the 3 months before pregnancy,,2016,875,3.9,(2.7-5.6)
Substance Use,During the 3 months before pregnancy,,2017,885,4.2,(2.9-5.9)
Substance Use,During the 3 months before pregnancy,,2018,841,4.8,(3.4-6.7)
Substance Use,During the 3 months before pregnancy,,2019,1073,4.1,(2.8-6.1)
Substance Use,During the last 3 months of pregnancy,,2016,876,1.2,(0.6-2.4)
Substance Use,During the last 3 months of pregnancy,,2017,885,1.1,(0.6-2.2)
Substance Use,During the last 3 months of pregnancy,,2018,838,1.1,(0.5-2.4)
Substance Use,During the last 3 months of pregnancy,,2019,1073,1.1,(0.5-2.4)
Substance Use,Hookah use in the last 2 years,,2016,867,2.8,(1.9-4.1)
Substance Use,Hookah use in the last 2 years,,2017,883,2.7,(1.8-4.1)
Substance Use,Hookah use in the last 2 years,,2018,838,2.7,(1.8-4.0)
Substance Use,Hookah use in the last 2 years,,2019,1072,4.0,(2.8-5.5)
Substance Use,,,2016,878,1.4,(0.7-2.5)
Substance Use,,,2017,882,1.5,(0.9-2.7)
Substance Use,,,2018,840,0.8,(0.3-1.9)
Substance Use,,,2019,1071,2.6,(1.6-4.2)
Substance Use,,,2016,881,3.6,(2.5-5.0)
Substance Use,,,2017,889,2.9,(1.9-4.4)
Substance Use,,,2018,846,2.4,(1.5-3.7)
Substance Use,,,2019,1070,4.2,(2.9-6.0)
Substance Use,,,2016,880,3.2,(2.2-4.6)
Substance Use,,,2017,886,2.9,(1.9-4.4)
Substance Use,,,2018,846,1.8,(1.1-2.9)
Substance Use,,,2019,1072,3.0,(2.0-4.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,875,9.3,(7.5-11.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,892,13.7,(11.4-16.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,846,13.2,(10.9-15.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1068,16.3,(13.7-19.3)
Depression,Self-reported depression during pregnancy,,2016,874,8.3,(6.6-10.4)
Depression,Self-reported depression during pregnancy,,2017,883,14.6,(12.2-17.3)
Depression,Self-reported depression during pregnancy,,2018,840,13.4,(11.1-16.1)
Depression,Self-reported depression during pregnancy,,2019,1065,15.4,(12.9-18.3)
Depression,Self-reported postpartum depressive symptoms,,2016,876,11.3,(9.4-13.6)
Depression,Self-reported postpartum depressive symptoms,,2017,886,15.2,(12.8-17.8)
Depression,Self-reported postpartum depressive symptoms,,2018,844,15.9,(13.4-18.8)
Depression,Self-reported postpartum depressive symptoms,,2019,1062,19.3,(16.5-22.4)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,880,58.9,(55.5-62.1)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,887,63.3,(59.8-66.6)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,851,68.5,(65.0-71.7)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1073,70.6,(67.1-73.9)
Health Care Services,Began prenatal care in 1st trimester,,2016,864,88.3,(86.0-90.3)
Health Care Services,Began prenatal care in 1st trimester,,2017,865,86.5,(84.0-88.7)
Health Care Services,Began prenatal care in 1st trimester,,2018,829,87.3,(84.9-89.5)
Health Care Services,Began prenatal care in 1st trimester,,2019,1055,87.0,(84.2-89.3)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,864,47.3,(43.9-50.8)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,880,46.4,(42.9-50.0)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,841,46.3,(42.7-50.0)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,1050,53.1,(49.4-56.7)
Health Care Services,Had maternal postpartum checkup,,2016,878,86.2,(83.6-88.4)
Health Care Services,Had maternal postpartum checkup,,2017,887,84.9,(82.2-87.3)
Health Care Services,Had maternal postpartum checkup,,2018,846,88.9,(86.5-91.0)
Health Care Services,Had maternal postpartum checkup,,2019,1067,88.9,(86.4-90.9)
Pregnancy Intention,Mistimed,,2016,875,27.9,(25.0-31.0)
Pregnancy Intention,Mistimed,,2017,887,26.1,(23.1-29.2)
Pregnancy Intention,Mistimed,,2018,851,25.5,(22.6-28.6)
Pregnancy Intention,Mistimed,,2019,1065,23.4,(20.4-26.6)
Pregnancy Intention,Unwanted pregnancy,,2016,875,8.8,(7.1-10.9)
Pregnancy Intention,Unwanted pregnancy,,2017,887,10.3,(8.4-12.5)
Pregnancy Intention,Unwanted pregnancy,,2018,851,9.6,(7.7-11.9)
Pregnancy Intention,Unwanted pregnancy,,2019,1065,8.3,(6.6-10.5)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,875,13.9,(11.7-16.4)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,887,18.8,(16.2-21.7)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,851,15.2,(12.8-17.9)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,1065,21.8,(19.0-24.9)
Postpartum Family Planning,Use of any postpartum contraception,,2016,863,75.0,(71.9-77.9)
Postpartum Family Planning,Use of any postpartum contraception,,2017,873,73.6,(70.3-76.6)
Postpartum Family Planning,Use of any postpartum contraception,,2018,836,75.7,(72.4-78.7)
Postpartum Family Planning,Use of any postpartum contraception,,2019,1047,73.5,(70.1-76.6)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,863,12.0,(9.9-14.5)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,873,14.4,(12.0-17.1)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,836,16.6,(14.1-19.6)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,1047,10.0,(8.1-12.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,863,13.8,(11.7-16.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,873,12.8,(10.6-15.4)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,836,14.1,(11.7-16.8)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,1047,15.3,(12.8-18.2)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2016,863,32.3,(29.2-35.6)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2017,873,31.6,(28.4-35.0)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2018,836,30.2,(27.0-33.6)
Postpartum Family Planning,Highly effective contraceptive methods,Moderately effective contraceptive methods,2019,1047,33.5,(30.1-37.1)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2016,863,16.8,(14.4-19.7)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2017,873,14.8,(12.4-17.5)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2018,836,14.8,(12.3-17.6)
Postpartum Family Planning,Highly effective contraceptive methods,Least effective contraceptive methods,2019,1047,14.7,(12.3-17.5)
