Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,817,44.7,(40.5-48.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,870,45.9,(42.1-49.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,812,45.6,(41.6-49.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,823,43.7,(39.8-47.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,806,2.3,(1.4-3.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,854,3.3,(2.2-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,797,3.5,(2.3-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,804,2.4,(1.4-3.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,806,22.6,(19.4-26.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,854,24.9,(21.7-28.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,797,24.8,(21.4-28.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,804,25.3,(22.0-29.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,806,28.8,(25.1-32.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,854,25.3,(22.0-28.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,797,26.3,(22.8-30.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,804,28.9,(25.3-32.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,803,24.7,(20.9-28.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,864,27.3,(24.0-31.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,808,22.6,(19.3-26.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,819,21.0,(17.9-24.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,802,14.3,(11.2-18.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,864,13.8,(11.4-16.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,811,12.1,(9.6-15.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,818,11.2,(8.9-14.0)
Substance Use,Any cigarette smoking,Postpartum,2016,809,18.4,(15.0-22.4)
Substance Use,Any cigarette smoking,Postpartum,2017,863,18.0,(15.2-21.2)
Substance Use,Any cigarette smoking,Postpartum,2018,809,15.6,(12.8-19.0)
