Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1164,39.1,(36.0-42.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1053,41.4,(38.0-44.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1030,41.4,(37.7-45.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,946,43.6,(39.9-47.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1086,4.7,(3.4-6.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,968,3.5,(2.4-5.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,970,3.1,(2.1-4.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,881,3.6,(2.4-5.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1086,29.8,(26.8-33.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,968,23.5,(20.5-26.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,970,25.7,(22.5-29.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,881,27.0,(23.6-30.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1086,19.3,(16.7-22.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,968,28.7,(25.5-32.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,970,26.5,(23.1-30.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,881,26.0,(22.7-29.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1156,12.6,(10.6-15.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1048,11.5,(9.3-14.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1030,11.3,(9.0-14.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,947,11.0,(8.7-13.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1156,5.6,(4.2-7.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1049,5.1,(3.7-7.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1030,5.4,(3.8-7.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,948,5.0,(3.5-7.0)
Substance Use,Any cigarette smoking,Postpartum,2016,1155,8.0,(6.4-10.1)
Substance Use,Any cigarette smoking,Postpartum,2017,1048,6.9,(5.3-9.1)
Substance Use,Any cigarette smoking,Postpartum,2018,1030,7.2,(5.4-9.5)
Substance Use,Any cigarette smoking,Postpartum,2019,948,7.8,(5.9-10.3)
Substance Use,During the 3 months before pregnancy,,2016,1156,12.6,(10.6-15.0)
Substance Use,During the 3 months before pregnancy,,2017,1048,11.5,(9.3-14.1)
Substance Use,During the 3 months before pregnancy,,2018,1030,11.3,(9.0-14.0)
Substance Use,During the 3 months before pregnancy,,2019,947,11.0,(8.7-13.7)
Substance Use,During the last 3 months of pregnancy,,2016,1156,5.6,(4.2-7.3)
Substance Use,During the last 3 months of pregnancy,,2017,1049,5.1,(3.7-7.0)
Substance Use,During the last 3 months of pregnancy,,2018,1030,5.4,(3.8-7.4)
Substance Use,During the last 3 months of pregnancy,,2019,948,5.0,(3.5-7.0)
Substance Use,Postpartum,,2016,1155,8.0,(6.4-10.1)
Substance Use,Postpartum,,2017,1048,6.9,(5.3-9.1)
Substance Use,Postpartum,,2018,1030,7.2,(5.4-9.5)
Substance Use,Postpartum,,2019,948,7.8,(5.9-10.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1151,2.2,(1.4-3.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1046,2.6,(1.6-4.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1029,3.0,(1.9-4.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,937,3.2,(2.1-4.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1152,0.6,(0.2-1.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1046,1.1,(0.5-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1029,1.3,(0.7-2.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,940,0.5,(0.2-1.4)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,1147,5.7,(4.4-7.4)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1033,4.7,(3.3-6.6)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,1016,6.8,(5.0-9.3)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,927,4.6,(3.2-6.6)
Substance Use,During the 3 months before pregnancy,,2016,1151,2.2,(1.4-3.4)
Substance Use,During the 3 months before pregnancy,,2017,1046,2.6,(1.6-4.1)
Substance Use,During the 3 months before pregnancy,,2018,1029,3.0,(1.9-4.7)
