Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1308,51.1,(47.7-54.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1413,50.7,(47.3-54.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1433,50.9,(47.6-54.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1690,54.1,(51.0-57.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1262,2.1,(1.4-3.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1373,3.2,(2.2-4.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1374,1.9,(1.2-3.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1619,3.1,(2.1-4.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1262,27.4,(24.3-30.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1373,27.3,(24.4-30.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1374,26.8,(24.0-29.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1619,27.2,(24.5-30.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1262,18.2,(15.7-21.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1373,18.9,(16.4-21.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1374,21.2,(18.5-24.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1619,22.8,(20.2-25.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1301,13.5,(11.1-16.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1402,13.0,(10.7-15.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1417,9.4,(7.4-11.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1672,11.6,(9.6-14.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1301,5.3,(3.8-7.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1402,4.7,(3.3-6.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1416,4.3,(2.9-6.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1674,4.5,(3.3-6.0)
Substance Use,Any cigarette smoking,Postpartum,2016,1300,8.2,(6.2-10.6)
Substance Use,Any cigarette smoking,Postpartum,2017,1402,8.3,(6.5-10.7)
Substance Use,Any cigarette smoking,Postpartum,2018,1416,6.5,(4.8-8.8)
Substance Use,Any cigarette smoking,Postpartum,2019,1675,6.5,(5.0-8.3)
Substance Use,During the 3 months before pregnancy,,2016,1301,13.5,(11.1-16.4)
Substance Use,During the 3 months before pregnancy,,2017,1402,13.0,(10.7-15.6)
Substance Use,During the 3 months before pregnancy,,2018,1417,9.4,(7.4-11.8)
Substance Use,During the 3 months before pregnancy,,2019,1672,11.6,(9.6-14.0)
Substance Use,During the last 3 months of pregnancy,,2016,1301,5.3,(3.8-7.6)
Substance Use,During the last 3 months of pregnancy,,2017,1402,4.7,(3.3-6.5)
Substance Use,During the last 3 months of pregnancy,,2018,1416,4.3,(2.9-6.3)
Substance Use,During the last 3 months of pregnancy,,2019,1674,4.5,(3.3-6.0)
Substance Use,Postpartum,,2016,1300,8.2,(6.2-10.6)
Substance Use,Postpartum,,2017,1402,8.3,(6.5-10.7)
Substance Use,Postpartum,,2018,1416,6.5,(4.8-8.8)
Substance Use,Postpartum,,2019,1675,6.5,(5.0-8.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1298,3.1,(2.0-4.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1397,1.9,(1.1-3.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1415,2.2,(1.3-3.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1669,2.6,(1.7-3.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1299,0.8,(0.3-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1399,0.4,(0.1-1.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1417,0.5,(0.2-1.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1672,0.9,(0.4-1.8)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,1274,5.8,(4.4-7.7)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1384,5.0,(3.8-6.7)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,1401,4.4,(3.3-5.8)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,1657,6.4,(5.1-8.0)
Substance Use,During the 3 months before pregnancy,,2016,1298,3.1,(2.0-4.8)
Substance Use,During the 3 months before pregnancy,,2017,1397,1.9,(1.1-3.3)
Substance Use,During the 3 months before pregnancy,,2018,1415,2.2,(1.3-3.7)
Substance Use,During the 3 months before pregnancy,,2019,1669,2.6,(1.7-3.9)
Substance Use,During the last 3 months of pregnancy,,2016,1299,0.8,(0.3-2.2)
Substance Use,During the last 3 months of pregnancy,,2017,1399,0.4,(0.1-1.1)
Substance Use,During the last 3 months of pregnancy,,2018,1417,0.5,(0.2-1.6)
Substance Use,During the last 3 months of pregnancy,,2019,1672,0.9,(0.4-1.8)
Substance Use,Hookah use in the last 2 years,,2016,1274,5.8,(4.4-7.7)
Substance Use,Hookah use in the last 2 years,,2017,1384,5.0,(3.8-6.7)
Substance Use,Hookah use in the last 2 years,,2018,1401,4.4,(3.3-5.8)
Substance Use,Hookah use in the last 2 years,,2019,1657,6.4,(5.1-8.0)
Substance Use,,,2016,1294,3.0,(2.0-4.6)
Substance Use,,,2017,1397,2.9,(1.9-4.4)
Substance Use,,,2018,1415,2.4,(1.6-3.8)
Substance Use,,,2019,1672,3.0,(2.0-4.4)
Substance Use,,,2016,1290,1.6,(1.0-2.7)
Substance Use,,,2017,1402,2.8,(1.9-4.2)
Substance Use,,,2018,1419,2.5,(1.6-3.9)
Substance Use,,,2019,1674,1.7,(1.2-2.5)
Substance Use,,,2016,1287,1.0,(0.6-1.6)
Substance Use,,,2017,1399,1.5,(0.9-2.5)
Substance Use,,,2018,1416,1.9,(1.2-3.1)
Substance Use,,,2019,1670,0.9,(0.6-1.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,1290,12.9,(10.7-15.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1404,12.1,(10.0-14.5)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1414,13.8,(11.6-16.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1667,13.5,(11.4-15.9)
Depression,Self-reported depression during pregnancy,,2016,1281,10.7,(8.7-13.0)
Depression,Self-reported depression during pregnancy,,2017,1391,12.3,(10.2-14.8)
Depression,Self-reported depression during pregnancy,,2018,1409,12.3,(10.2-14.8)
Depression,Self-reported depression during pregnancy,,2019,1670,13.1,(11.1-15.5)
Depression,Self-reported postpartum depressive symptoms,,2016,1291,11.0,(9.1-13.3)
Depression,Self-reported postpartum depressive symptoms,,2017,1391,10.8,(8.9-12.9)
Depression,Self-reported postpartum depressive symptoms,,2018,1412,10.3,(8.5-12.3)
Depression,Self-reported postpartum depressive symptoms,,2019,1668,10.2,(8.7-12.1)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,1296,76.8,(73.9-79.5)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1414,77.0,(74.3-79.5)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,1432,80.2,(77.7-82.4)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1676,75.9,(73.3-78.3)
Health Care Services,Began prenatal care in 1st trimester,,2016,1279,91.8,(89.7-93.5)
Health Care Services,Began prenatal care in 1st trimester,,2017,1386,92.4,(90.7-93.8)
Health Care Services,Began prenatal care in 1st trimester,,2018,1406,90.1,(87.9-91.9)
Health Care Services,Began prenatal care in 1st trimester,,2019,1661,92.7,(91.2-94.0)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,1288,73.3,(70.0-76.3)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1403,72.6,(69.4-75.6)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,1406,76.1,(73.1-78.9)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,1668,78.5,(75.8-80.9)
Health Care Services,Had maternal postpartum checkup,,2016,1288,92.0,(89.8-93.7)
Health Care Services,Had maternal postpartum checkup,,2017,1395,92.4,(90.7-93.8)
Health Care Services,Had maternal postpartum checkup,,2018,1419,93.3,(91.4-94.8)
Health Care Services,Had maternal postpartum checkup,,2019,1673,92.9,(91.1-94.3)
Pregnancy Intention,Mistimed,,2016,1302,14.0,(11.9-16.4)
Pregnancy Intention,Mistimed,,2017,1412,14.9,(12.7-17.4)
Pregnancy Intention,Mistimed,,2018,1424,14.3,(12.2-16.6)
Pregnancy Intention,Mistimed,,2019,1681,16.4,(14.3-18.8)
Pregnancy Intention,Unwanted pregnancy,,2016,1302,4.7,(3.5-6.4)
Pregnancy Intention,Unwanted pregnancy,,2017,1412,4.8,(3.5-6.4)
Pregnancy Intention,Unwanted pregnancy,,2018,1424,4.6,(3.5-6.2)
Pregnancy Intention,Unwanted pregnancy,,2019,1681,4.6,(3.4-6.0)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,1302,14.6,(12.2-17.4)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1412,14.2,(11.9-16.7)
