Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1789,42.1,(39.2-45.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1883,37.7,(34.9-40.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1851,42.3,(39.4-45.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1387,41.3,(38.2-44.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1728,3.0,(2.1-4.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1840,2.1,(1.5-3.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1798,2.7,(1.9-3.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1347,2.8,(1.8-4.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1728,24.6,(22.1-27.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1840,25.9,(23.3-28.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1798,26.3,(23.8-29.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1347,26.6,(23.8-29.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1728,25.5,(23.0-28.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1840,27.9,(25.3-30.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1798,30.4,(27.8-33.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1347,29.6,(26.7-32.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1776,22.0,(19.5-24.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1869,21.5,(19.1-24.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1843,22.0,(19.6-24.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1373,20.5,(17.8-23.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1776,10.9,(9.1-13.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1867,11.3,(9.5-13.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1843,10.4,(8.7-12.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1376,10.8,(8.8-13.2)
Substance Use,Any cigarette smoking,Postpartum,2016,1776,15.7,(13.6-18.1)
Substance Use,Any cigarette smoking,Postpartum,2017,1869,15.6,(13.5-17.9)
Substance Use,Any cigarette smoking,Postpartum,2018,1843,14.5,(12.5-16.8)
Substance Use,Any cigarette smoking,Postpartum,2019,1376,13.4,(11.3-15.9)
