Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1270,44.9,(41.7-48.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1055,50.4,(46.6-54.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1238,1.9,(1.2-3.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1032,1.9,(1.1-3.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1238,27.9,(25.2-30.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1032,26.7,(23.4-30.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1238,23.6,(21.0-26.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1032,27.8,(24.3-31.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1252,17.1,(14.8-19.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1045,15.8,(13.2-19.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1250,8.6,(6.9-10.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1045,7.8,(5.9-10.3)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2018,1250,10.3,(8.4-12.5)
Substance Use,Any cigarette smoking,Postpartum,2019,1046,10.6,(8.5-13.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1252,4.2,(3.0-5.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1044,3.2,(2.0-5.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1251,0.9,(0.5-1.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1045,0.8,(0.4-1.6)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2018,1242,2.9,(2.0-4.2)
Substance Use,Hookah use in the last 2 years,,2019,1032,1.4,(0.8-2.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1239,4.0,(3.0-5.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1039,3.4,(2.2-5.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1241,4.1,(3.0-5.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1032,2.1,(1.3-3.2)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1239,2.6,(1.8-3.9)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1033,1.5,(0.9-2.6)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,,,
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1263,17.5,(15.1-20.1)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1038,15.3,(12.6-18.5)
Depression,Self-reported depression during pregnancy,,2016,,,
Depression,Self-reported depression during pregnancy,,2018,1251,16.3,(14.0-18.9)
Depression,Self-reported depression during pregnancy,,2019,1043,14.9,(12.4-17.7)
Depression,Self-reported postpartum depressive symptoms,,2016,,,
Depression,Self-reported postpartum depressive symptoms,,2018,1262,10.6,(8.7-12.8)
Depression,Self-reported postpartum depressive symptoms,,2019,1034,10.9,(8.6-13.8)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,,,
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,1256,78.2,(75.3-80.9)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1034,75.1,(71.2-78.5)
Health Care Services,Began prenatal care in 1st trimester,,2016,,,
Health Care Services,Began prenatal care in 1st trimester,,2018,1243,91.3,(89.2-93.1)
Health Care Services,Began prenatal care in 1st trimester,,2019,1044,91.1,(88.3-93.2)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,,,
Health Care Services,Had a flu shot in the 12 months before birth,,2018,1254,69.6,(66.5-72.5)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,1045,70.3,(66.6-73.6)
Health Care Services,Had maternal postpartum checkup,,2016,,,
Health Care Services,Had maternal postpartum checkup,,2018,1265,92.2,(90.2-93.8)
Health Care Services,Had maternal postpartum checkup,,2019,1043,93.4,(91.2-95.1)
Pregnancy Intention,Mistimed,,2016,,,
Pregnancy Intention,Mistimed,,2018,1250,17.2,(14.9-19.9)
Pregnancy Intention,Mistimed,,2019,1034,14.3,(11.8-17.4)
Pregnancy Intention,Unwanted pregnancy,,2016,,,
Pregnancy Intention,Unwanted pregnancy,,2018,1250,5.0,(3.7-6.7)
Pregnancy Intention,Unwanted pregnancy,,2019,1034,5.3,(3.7-7.7)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,,,
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,1250,13.0,(10.9-15.4)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,1034,12.4,(10.0-15.4)
Pregnancy Intention,Intended pregnancy,,2016,,,
Pregnancy Intention,Intended pregnancy,,2018,1250,64.8,(61.6-67.8)
Pregnancy Intention,Intended pregnancy,,2019,1034,67.9,(64.0-71.5)
Postpartum Family Planning,Use of any postpartum contraception,,2016,,,
Postpartum Family Planning,Use of any postpartum contraception,,2018,1248,75.9,(73.1-78.6)
Postpartum Family Planning,Use of any postpartum contraception,,2019,1036,76.1,(72.6-79.3)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,1248,11.9,(9.9-14.2)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,1036,9.6,(7.4-12.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,1248,18.5,(16.1-21.1)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,1036,22.1,(19.0-25.5)
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,,,
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,1248,22.3,(19.7-25.0)
