Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1204,31.8,(28.6-35.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1263,28.9,(25.9-32.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1172,3.7,(2.6-5.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1234,3.0,(2.1-4.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1172,22.7,(19.9-25.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1234,26.6,(23.6-29.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1172,32.8,(29.6-36.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1234,37.6,(34.3-40.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1183,23.6,(20.7-26.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1249,21.5,(18.9-24.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1179,11.4,(9.4-13.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1251,10.0,(8.2-12.1)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2018,1180,17.6,(15.0-20.4)
Substance Use,Any cigarette smoking,Postpartum,2019,1251,14.7,(12.5-17.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1179,3.9,(2.7-5.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1249,4.6,(3.4-6.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
