Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1055,40.2,(36.9-43.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1096,39.1,(35.8-42.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,928,34.3,(31.0-37.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1586,43.4,(40.3-46.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1039,3.8,(2.7-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1085,3.6,(2.5-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,916,2.4,(1.5-3.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1574,4.7,(3.5-6.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1039,25.1,(22.2-28.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1085,23.9,(21.1-27.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,916,27.6,(24.5-31.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1574,22.4,(20.0-25.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1039,28.3,(25.2-31.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1085,31.4,(28.2-34.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,916,29.9,(26.6-33.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1574,28.2,(25.4-31.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1049,26.2,(23.2-29.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1098,24.2,(21.4-27.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,921,23.8,(20.8-27.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1579,22.5,(19.9-25.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1050,13.5,(11.2-16.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1096,13.0,(10.9-15.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,922,14.5,(12.0-17.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1583,12.1,(10.0-14.5)
Substance Use,Any cigarette smoking,Postpartum,2016,1049,18.7,(16.1-21.6)
Substance Use,Any cigarette smoking,Postpartum,2017,1095,18.2,(15.7-21.0)
Substance Use,Any cigarette smoking,Postpartum,2018,920,18.9,(16.1-22.0)
Substance Use,Any cigarette smoking,Postpartum,2019,1582,17.6,(15.1-20.3)
Substance Use,During the 3 months before pregnancy,,2016,1049,26.2,(23.2-29.4)
Substance Use,During the 3 months before pregnancy,,2017,1098,24.2,(21.4-27.2)
Substance Use,During the 3 months before pregnancy,,2018,921,23.8,(20.8-27.2)
Substance Use,During the 3 months before pregnancy,,2019,1579,22.5,(19.9-25.4)
Substance Use,During the last 3 months of pregnancy,,2016,1050,13.5,(11.2-16.1)
Substance Use,During the last 3 months of pregnancy,,2017,1096,13.0,(10.9-15.5)
