Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,934,46.4,(43.3-49.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,807,46.7,(43.4-50.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,722,46.2,(42.6-49.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,915,3.0,(2.1-4.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,793,3.1,(2.1-4.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,705,3.4,(2.2-5.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,915,24.6,(21.9-27.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,793,25.0,(22.1-28.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,705,24.1,(21.0-27.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,915,21.3,(18.7-24.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,793,25.0,(22.1-28.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,705,25.8,(22.7-29.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,929,24.1,(21.6-26.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,806,23.5,(20.8-26.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,721,22.2,(19.4-25.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,930,9.9,(8.2-11.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,805,11.1,(9.1-13.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,721,11.7,(9.5-14.3)
Substance Use,Any cigarette smoking,Postpartum,2017,929,15.2,(13.1-17.5)
Substance Use,Any cigarette smoking,Postpartum,2018,804,14.8,(12.6-17.4)
Substance Use,Any cigarette smoking,Postpartum,2019,720,14.6,(12.2-17.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,923,5.5,(4.1-7.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,803,5.0,(3.7-6.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,721,6.1,(4.4-8.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,924,2.3,(1.4-3.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,803,1.7,(1.0-2.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,721,1.8,(1.0-3.2)
Substance Use,Hookah use in the last 2 years,,2017,923,2.2,(1.4-3.5)
Substance Use,Hookah use in the last 2 years,,2018,800,1.9,(1.1-3.1)
