Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1296,43.4,(40.2-46.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1327,43.2,(39.4-47.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1622,46.5,(43.1-49.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1225,3.9,(2.7-5.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1239,4.2,(2.8-6.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1558,2.2,(1.4-3.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1225,25.2,(22.4-28.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1239,25.3,(21.9-29.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1558,28.1,(25.1-31.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1225,24.7,(21.9-27.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1239,28.7,(25.2-32.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1558,28.7,(25.7-31.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1283,18.7,(16.1-21.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1308,18.4,(15.4-21.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1602,16.7,(14.2-19.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1283,8.5,(6.7-10.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1310,8.8,(6.6-11.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1604,6.8,(5.2-8.7)
Substance Use,Any cigarette smoking,Postpartum,2016,1289,11.3,(9.2-13.9)
Substance Use,Any cigarette smoking,Postpartum,2018,1316,12.4,(9.9-15.5)
Substance Use,Any cigarette smoking,Postpartum,2019,1605,10.3,(8.3-12.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1275,3.6,(2.6-5.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1318,4.0,(2.6-5.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1598,3.9,(2.7-5.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1275,0.8,(0.4-1.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1318,0.6,(0.3-1.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1597,0.5,(0.2-1.4)
Substance Use,Hookah use in the last 2 years,,2016,1268,3.3,(2.3-4.7)
Substance Use,Hookah use in the last 2 years,,2018,1304,1.7,(1.0-2.8)
Substance Use,Hookah use in the last 2 years,,2019,1592,2.2,(1.4-3.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1284,3.3,(2.3-4.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1315,2.1,(1.2-3.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1604,3.7,(2.5-5.4)
