Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1301,44.6,(41.7-47.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1248,44.5,(41.6-47.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1186,46.9,(43.9-49.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1128,45.6,(42.6-48.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1220,3.7,(2.7-5.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1131,4.0,(2.9-5.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1086,3.1,(2.2-4.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1041,2.9,(2.0-4.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1220,24.1,(21.6-26.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1131,25.7,(23.1-28.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1086,25.6,(22.9-28.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1041,28.8,(25.9-31.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1220,19.1,(16.9-21.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1131,20.8,(18.4-23.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1086,21.5,(19.0-24.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1041,22.5,(20.0-25.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1298,14.3,(12.4-16.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1244,11.7,(10.0-13.5)
