Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1177,40.4,(37.7-43.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1180,38.2,(35.5-41.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1212,40.1,(37.4-42.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1146,34.4,(31.8-37.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1136,3.9,(2.9-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1136,4.4,(3.4-5.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1182,2.8,(2.0-4.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1123,3.5,(2.5-4.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1136,28.1,(25.5-30.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1136,28.2,(25.5-30.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1182,27.4,(24.9-30.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1123,29.9,(27.2-32.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1136,23.9,(21.5-26.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1136,26.4,(23.8-29.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1182,28.0,(25.5-30.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1123,28.6,(25.9-31.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1164,17.4,(15.3-19.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1171,15.7,(13.7-18.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1200,15.0,(13.1-17.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1124,17.6,(15.3-20.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1165,6.0,(4.8-7.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1170,5.8,(4.6-7.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1200,5.6,(4.4-7.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1125,7.4,(5.9-9.4)
Substance Use,Any cigarette smoking,Postpartum,2016,1165,8.9,(7.4-10.7)
Substance Use,Any cigarette smoking,Postpartum,2017,1170,8.9,(7.4-10.7)
Substance Use,Any cigarette smoking,Postpartum,2018,1200,8.1,(6.7-9.8)
Substance Use,Any cigarette smoking,Postpartum,2019,1125,9.5,(7.8-11.6)
Substance Use,During the 3 months before pregnancy,,2016,1164,17.4,(15.3-19.7)
Substance Use,During the 3 months before pregnancy,,2017,1171,15.7,(13.7-18.0)
Substance Use,During the 3 months before pregnancy,,2018,1200,15.0,(13.1-17.1)
Substance Use,During the 3 months before pregnancy,,2019,1124,17.6,(15.3-20.1)
Substance Use,During the last 3 months of pregnancy,,2016,1165,6.0,(4.8-7.6)
Substance Use,During the last 3 months of pregnancy,,2017,1170,5.8,(4.6-7.4)
Substance Use,During the last 3 months of pregnancy,,2018,1200,5.6,(4.4-7.0)
Substance Use,During the last 3 months of pregnancy,,2019,1125,7.4,(5.9-9.4)
Substance Use,Postpartum,,2016,1165,8.9,(7.4-10.7)
Substance Use,Postpartum,,2017,1170,8.9,(7.4-10.7)
Substance Use,Postpartum,,2018,1200,8.1,(6.7-9.8)
Substance Use,Postpartum,,2019,1125,9.5,(7.8-11.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1160,5.3,(4.1-6.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1170,4.4,(3.3-5.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1200,4.1,(3.1-5.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1138,5.9,(4.6-7.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1159,1.4,(0.9-2.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1170,1.2,(0.7-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1203,1.5,(0.9-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1137,1.0,(0.5-2.0)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,1153,4.2,(3.2-5.5)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1168,3.2,(2.3-4.4)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,1196,3.1,(2.2-4.5)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,1134,1.8,(1.1-2.7)
Substance Use,During the 3 months before pregnancy,,2016,1160,5.3,(4.1-6.8)
Substance Use,During the 3 months before pregnancy,,2017,1170,4.4,(3.3-5.8)
Substance Use,During the 3 months before pregnancy,,2018,1200,4.1,(3.1-5.4)
Substance Use,During the 3 months before pregnancy,,2019,1138,5.9,(4.6-7.6)
