Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1419,39.0,(36.3-41.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1286,39.3,(36.4-42.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1519,41.5,(38.6-44.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1255,41.3,(38.2-44.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1286,4.9,(3.8-6.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1154,5.6,(4.3-7.3)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1393,4.9,(3.7-6.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1147,4.9,(3.6-6.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1286,24.7,(22.2-27.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1154,24.6,(22.0-27.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1393,26.2,(23.5-29.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1147,23.0,(20.3-25.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1286,16.8,(14.7-19.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1154,16.9,(14.7-19.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1393,18.1,(15.8-20.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1147,21.4,(18.8-24.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1417,9.2,(7.7-11.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1265,7.6,(6.2-9.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1495,4.3,(3.2-5.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1229,5.9,(4.6-7.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1416,1.8,(1.2-2.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1265,1.7,(1.1-2.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1498,0.7,(0.4-1.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1228,1.4,(0.8-2.5)
Substance Use,Any cigarette smoking,Postpartum,2016,1416,4.7,(3.6-6.0)
Substance Use,Any cigarette smoking,Postpartum,2017,1265,4.3,(3.2-5.7)
Substance Use,Any cigarette smoking,Postpartum,2018,1499,1.9,(1.3-2.9)
Substance Use,Any cigarette smoking,Postpartum,2019,1229,2.6,(1.7-3.8)
Substance Use,During the 3 months before pregnancy,,2016,1417,9.2,(7.7-11.0)
Substance Use,During the 3 months before pregnancy,,2017,1265,7.6,(6.2-9.4)
Substance Use,During the 3 months before pregnancy,,2018,1495,4.3,(3.2-5.7)
Substance Use,During the 3 months before pregnancy,,2019,1229,5.9,(4.6-7.5)
Substance Use,During the last 3 months of pregnancy,,2016,1416,1.8,(1.2-2.7)
Substance Use,During the last 3 months of pregnancy,,2017,1265,1.7,(1.1-2.7)
Substance Use,During the last 3 months of pregnancy,,2018,1498,0.7,(0.4-1.3)
Substance Use,During the last 3 months of pregnancy,,2019,1228,1.4,(0.8-2.5)
Substance Use,Postpartum,,2016,1416,4.7,(3.6-6.0)
Substance Use,Postpartum,,2017,1265,4.3,(3.2-5.7)
Substance Use,Postpartum,,2018,1499,1.9,(1.3-2.9)
Substance Use,Postpartum,,2019,1229,2.6,(1.7-3.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1400,1.5,(1.0-2.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1254,1.1,(0.6-1.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1497,1.2,(0.7-2.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1214,2.0,(1.3-3.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1401,0.3,(0.1-0.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1254,0.2,(0.1-0.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1497,0.1,(0.0-0.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1216,0.5,(0.2-1.2)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,1397,10.4,(8.8-12.3)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1247,8.0,(6.5-9.8)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,1484,9.1,(7.5-11.0)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,1206,9.0,(7.3-11.1)
Substance Use,During the 3 months before pregnancy,,2016,1400,1.5,(1.0-2.4)
Substance Use,During the 3 months before pregnancy,,2017,1254,1.1,(0.6-1.8)
Substance Use,During the 3 months before pregnancy,,2018,1497,1.2,(0.7-2.1)
Substance Use,During the 3 months before pregnancy,,2019,1214,2.0,(1.3-3.1)
Substance Use,During the last 3 months of pregnancy,,2016,1401,0.3,(0.1-0.9)
Substance Use,During the last 3 months of pregnancy,,2017,1254,0.2,(0.1-0.8)
Substance Use,During the last 3 months of pregnancy,,2018,1497,0.1,(0.0-0.4)
Substance Use,During the last 3 months of pregnancy,,2019,1216,0.5,(0.2-1.2)
Substance Use,Hookah use in the last 2 years,,2016,1397,10.4,(8.8-12.3)
Substance Use,Hookah use in the last 2 years,,2017,1247,8.0,(6.5-9.8)
Substance Use,Hookah use in the last 2 years,,2018,1484,9.1,(7.5-11.0)
Substance Use,Hookah use in the last 2 years,,2019,1206,9.0,(7.3-11.1)
Substance Use,,,2016,1405,2.7,(1.9-3.7)
Substance Use,,,2017,1241,2.4,(1.6-3.5)
Substance Use,,,2018,1488,1.7,(1.1-2.6)
Substance Use,,,2019,1212,2.6,(1.8-3.7)
Substance Use,,,2016,1377,2.0,(1.3-3.0)
Substance Use,,,2017,1233,2.1,(1.4-3.2)
Substance Use,,,2018,1486,1.8,(1.1-2.8)
Substance Use,,,2019,1214,1.7,(1.0-2.9)
Substance Use,,,2016,1368,1.3,(0.7-2.1)
Substance Use,,,2017,1228,1.5,(0.9-2.4)
Substance Use,,,2018,1480,1.6,(0.9-2.6)
Substance Use,,,2019,1208,1.2,(0.7-2.2)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,1407,8.6,(7.1-10.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1260,5.8,(4.5-7.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1500,7.1,(5.7-8.8)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1239,6.1,(4.8-7.8)
Depression,Self-reported depression during pregnancy,,2016,1390,6.8,(5.5-8.4)
Depression,Self-reported depression during pregnancy,,2017,1236,5.6,(4.4-7.2)
