Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,942,43.4,(39.5-47.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,844,43.5,(39.1-48.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,775,50.2,(45.4-54.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,757,46.0,(41.3-50.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,894,3.7,(2.4-5.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,812,2.8,(1.5-5.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,733,1.7,(0.8-3.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,723,4.1,(2.4-6.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,894,26.4,(22.9-30.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,812,26.0,(22.1-30.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,733,26.9,(22.8-31.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,723,29.0,(24.8-33.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,894,22.7,(19.4-26.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,812,27.4,(23.4-31.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,733,24.5,(20.5-28.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,723,27.2,(23.0-31.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,932,17.2,(14.3-20.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,832,20.8,(17.2-24.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,763,15.1,(11.8-19.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,749,14.3,(11.2-18.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,929,8.1,(6.1-10.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,832,9.1,(6.7-12.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,767,6.1,(4.1-8.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,752,7.7,(5.5-10.7)
Substance Use,Any cigarette smoking,Postpartum,2016,930,11.5,(9.0-14.4)
Substance Use,Any cigarette smoking,Postpartum,2017,832,12.4,(9.6-15.8)
Substance Use,Any cigarette smoking,Postpartum,2018,765,10.0,(7.3-13.5)
Substance Use,Any cigarette smoking,Postpartum,2019,753,8.8,(6.4-12.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,927,2.4,(1.4-4.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,826,4.0,(2.5-6.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,764,4.7,(3.0-7.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,744,6.1,(4.3-8.7)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,928,1.1,(0.5-2.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,826,0.8,(0.4-1.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,763,1.7,(0.8-3.9)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,744,2.3,(1.3-4.2)
Substance Use,Hookah use in the last 2 years,,2016,923,4.1,(2.8-6.2)
Substance Use,Hookah use in the last 2 years,,2017,818,4.4,(2.7-7.1)
Substance Use,Hookah use in the last 2 years,,2018,756,2.4,(1.3-4.2)
Substance Use,Hookah use in the last 2 years,,2019,736,5.0,(3.1-7.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,933,2.3,(1.4-3.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,836,2.8,(1.6-4.8)
