Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,994,38.7,(35.2-42.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,914,41.2,(37.5-45.0)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,868,44.9,(41.0-48.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,938,3.8,(2.6-5.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,874,4.2,(2.9-6.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,836,2.4,(1.4-4.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,938,26.3,(23.1-29.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,874,23.9,(20.6-27.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,836,28.7,(25.2-32.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,938,28.1,(24.8-31.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,874,31.4,(27.8-35.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,836,24.6,(21.4-28.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,977,19.5,(16.7-22.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,905,15.5,(12.9-18.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,860,16.2,(13.5-19.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,977,9.6,(7.6-12.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,904,7.4,(5.6-9.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,859,7.6,(5.7-10.0)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2017,978,14.5,(12.0-17.5)
Substance Use,Any cigarette smoking,Postpartum,2018,905,9.8,(7.8-12.3)
Substance Use,Any cigarette smoking,Postpartum,2019,860,11.6,(9.3-14.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,982,2.5,(1.6-4.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,907,4.2,(3.1-5.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,860,4.7,(3.3-6.7)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,981,0.9,(0.4-1.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,908,1.5,(0.8-2.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,860,1.7,(0.9-3.3)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2017,970,5.3,(3.8-7.3)
Substance Use,Hookah use in the last 2 years,,2018,895,4.6,(3.2-6.7)
Substance Use,Hookah use in the last 2 years,,2019,856,4.0,(2.7-6.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,976,3.3,(2.2-5.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,904,3.8,(2.6-5.5)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,861,2.2,(1.3-3.7)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,968,2.7,(1.7-4.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,900,3.4,(2.2-5.4)
