Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,585,39.5,(34.9-44.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,881,42.2,(38.4-46.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,760,48.1,(43.8-52.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,574,4.0,(2.4-6.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,851,2.0,(1.2-3.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,738,2.1,(1.2-3.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,574,24.1,(20.2-28.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,851,27.3,(23.9-31.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,738,29.2,(25.4-33.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,574,28.9,(24.6-33.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,851,28.0,(24.5-31.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,738,25.6,(22.0-29.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,582,23.6,(19.8-27.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,871,23.8,(20.6-27.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,759,18.4,(15.3-22.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,585,10.9,(8.3-14.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,874,11.8,(9.4-14.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,759,9.1,(6.8-12.1)
Substance Use,Any cigarette smoking,Postpartum,2017,583,18.0,(14.6-22.0)
Substance Use,Any cigarette smoking,Postpartum,2018,870,16.4,(13.6-19.6)
Substance Use,Any cigarette smoking,Postpartum,2019,758,11.5,(9.0-14.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,583,3.3,(1.9-5.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,875,2.6,(1.6-4.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,755,3.3,(2.0-5.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,583,0.1,(0.0-0.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,876,0.9,(0.4-2.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,755,1.2,(0.5-2.9)
Substance Use,Hookah use in the last 2 years,,2017,582,2.8,(1.6-5.0)
Substance Use,Hookah use in the last 2 years,,2018,872,1.9,(1.1-3.6)
Substance Use,Hookah use in the last 2 years,,2019,754,1.3,(0.7-2.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,579,3.0,(1.7-5.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,869,3.3,(2.0-5.3)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,754,3.2,(2.0-5.1)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,581,2.4,(1.4-4.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,870,2.7,(1.7-4.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,754,2.6,(1.5-4.5)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,582,1.7,(0.9-3.1)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,873,2.6,(1.6-4.2)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,751,1.3,(0.6-2.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,588,16.2,(12.9-20.1)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,877,19.0,(16.0-22.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,753,16.6,(13.6-20.1)
Depression,Self-reported depression during pregnancy,,2017,587,14.5,(11.4-18.2)
Depression,Self-reported depression during pregnancy,,2018,867,15.6,(12.8-18.8)
