Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1834,34.4,(31.2-37.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1621,35.3,(31.9-38.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1383,36.4,(32.8-40.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1755,3.3,(2.2-4.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1559,3.1,(2.0-4.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1328,3.7,(2.4-5.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1755,26.0,(23.1-29.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1559,28.3,(25.1-31.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1328,29.5,(26.0-33.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1755,29.8,(26.7-33.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1559,25.9,(23.0-29.1)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1328,28.0,(24.8-31.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1820,23.3,(20.5-26.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1610,23.8,(20.8-27.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1376,23.1,(19.9-26.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1822,12.3,(10.2-14.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1610,12.7,(10.3-15.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1378,10.9,(8.6-13.8)
Substance Use,Any cigarette smoking,Postpartum,2016,1821,17.4,(15.0-20.2)
Substance Use,Any cigarette smoking,Postpartum,2017,1608,17.5,(14.9-20.5)
Substance Use,Any cigarette smoking,Postpartum,2018,1378,15.9,(13.2-19.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1825,5.9,(4.5-7.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1612,4.7,(3.3-6.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1375,8.4,(6.3-11.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1826,1.4,(0.8-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1612,2.1,(1.2-3.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1376,2.4,(1.4-4.1)
Substance Use,Hookah use in the last 2 years,,2016,1809,2.5,(1.8-3.6)
Substance Use,Hookah use in the last 2 years,,2017,1589,2.1,(1.4-3.3)
Substance Use,Hookah use in the last 2 years,,2018,1358,1.8,(1.1-2.9)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1824,2.4,(1.5-3.8)
