Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1607,47.0,(43.1-50.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,2453,45.5,(42.4-48.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1528,4.7,(3.2-6.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,2318,2.8,(1.9-4.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1528,24.3,(21.1-27.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,2318,25.8,(23.1-28.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1528,22.9,(19.7-26.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,2318,26.3,(23.6-29.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1597,16.9,(13.8-20.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,2426,16.9,(14.5-19.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1596,7.6,(5.5-10.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,2426,7.4,(5.7-9.4)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2018,1596,8.8,(6.5-11.8)
Substance Use,Any cigarette smoking,Postpartum,2019,2426,8.6,(6.8-10.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1585,4.9,(3.3-7.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,2426,5.5,(4.1-7.3)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1585,1.9,(0.9-3.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,2427,1.1,(0.6-2.1)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2018,1580,2.7,(1.7-4.4)
Substance Use,Hookah use in the last 2 years,,2019,2401,1.4,(0.8-2.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1588,2.9,(1.9-4.7)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,2414,3.9,(2.8-5.4)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1492,4.8,(3.1-7.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,2299,3.0,(2.0-4.4)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1487,3.5,(2.1-5.7)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,2295,1.5,(0.9-2.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,,,
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1604,15.2,(12.4-18.6)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,2441,17.1,(14.8-19.7)
Depression,Self-reported depression during pregnancy,,2016,,,
Depression,Self-reported depression during pregnancy,,2018,1587,13.5,(10.9-16.6)
Depression,Self-reported depression during pregnancy,,2019,2402,17.9,(15.6-20.6)
Depression,Self-reported postpartum depressive symptoms,,2016,,,
Depression,Self-reported postpartum depressive symptoms,,2018,1564,8.0,(6.3-10.1)
Depression,Self-reported postpartum depressive symptoms,,2019,2389,12.7,(10.8-15.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,,,
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,1590,70.3,(66.6-73.7)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,2426,68.5,(65.7-71.3)
Health Care Services,Began prenatal care in 1st trimester,,2016,,,
Health Care Services,Began prenatal care in 1st trimester,,2018,1571,91.6,(89.4-93.4)
Health Care Services,Began prenatal care in 1st trimester,,2019,2379,89.9,(88.0-91.6)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,,,
Health Care Services,Had a flu shot in the 12 months before birth,,2018,1570,68.8,(64.9-72.4)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,2377,67.4,(64.3-70.4)
Health Care Services,Had maternal postpartum checkup,,2016,,,
Health Care Services,Had maternal postpartum checkup,,2018,1570,92.8,(90.5-94.6)
Health Care Services,Had maternal postpartum checkup,,2019,2399,93.2,(91.6-94.5)
Pregnancy Intention,Mistimed,,2016,,,
Pregnancy Intention,Mistimed,,2018,1574,14.6,(12.1-17.6)
Pregnancy Intention,Mistimed,,2019,2416,15.3,(13.2-17.6)
Pregnancy Intention,Unwanted pregnancy,,2016,,,
Pregnancy Intention,Unwanted pregnancy,,2018,1574,4.4,(3.0-6.5)
Pregnancy Intention,Unwanted pregnancy,,2019,2416,4.6,(3.5-6.1)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,,,
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,1574,15.7,(13.0-18.9)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,2416,14.1,(12.1-16.4)
Pregnancy Intention,Intended pregnancy,,2016,,,
Pregnancy Intention,Intended pregnancy,,2018,1574,65.2,(61.4-68.9)
Pregnancy Intention,Intended pregnancy,,2019,2416,66.0,(63.0-68.9)
Postpartum Family Planning,Use of any postpartum contraception,,2016,,,
Postpartum Family Planning,Use of any postpartum contraception,,2018,1556,80.5,(77.1-83.5)
Postpartum Family Planning,Use of any postpartum contraception,,2019,2384,82.0,(79.6-84.3)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,1556,11.9,(9.6-14.7)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,2384,13.0,(11.0-15.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,1556,26.7,(23.4-30.3)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,2384,28.1,(25.3-31.0)
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,,,
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,1556,21.7,(18.5-25.3)
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,2384,18.8,(16.4-21.5)
Postpartum Family Planning,Least effective contraceptive methods,,2016,,,
Postpartum Family Planning,Least effective contraceptive methods,,2018,1556,20.1,(17.1-23.4)
Postpartum Family Planning,Least effective contraceptive methods,,2019,2384,22.2,(19.7-25.0)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,,,
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,1597,53.2,(49.3-57.2)
