Category,Indicator,Year,SampleSize,Prevalence,CI,State
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,877,30.6,(27.8-33.6),Alabama
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,859,35.5,(32.6-38.6),Alabama
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,870,30.7,(27.7-33.8),Alabama
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,861,29.5,(26.6-32.6),Alabama
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,870,42.9,(39.6-46.2),Alabama
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,861,45.6,(42.4-48.9),Alabama
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,826,3.0,(2.0-4.4),Alabama
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,824,4.1,(2.9-5.7),Alabama
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,826,25.5,(22.6-28.5),Alabama
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,824,26.2,(23.3-29.4),Alabama
Pre-pregnancy Weight,Obese (BMI >30),2014,826,29.8,(26.7-33.0),Alabama
Pre-pregnancy Weight,Obese (BMI >30),2015,824,25.9,(23.0-29.0),Alabama
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,870,25.3,(22.5-28.3),Alabama
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,835,24.0,(21.2-27.0),Alabama
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,870,11.1,(9.2-13.5),Alabama
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,837,11.0,(9.0-13.4),Alabama
Substance Use,Any cigarette smoking postpartum,2014,868,16.9,(14.6-19.6),Alabama
Substance Use,Any cigarette smoking postpartum,2015,839,17.3,(14.9-20.1),Alabama
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,868,53.3,(50.0-56.6),Alabama
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,849,49.6,(46.3-53.0),Alabama
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,870,5.8,(4.4-7.5),Alabama
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,851,5.0,(3.7-6.6),Alabama
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,863,3.2,(2.2-4.8),Alabama
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,851,3.0,(2.1-4.4),Alabama
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,863,3.7,(2.6-5.4),Alabama
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,849,2.2,(1.4-3.5),Alabama
Depression,Told by a provider had depression before pregnancy,2014,872,8.6,(6.9-10.8),Alabama
Depression,Told by a provider had depression before pregnancy,2015,860,10.6,(8.6-12.9),Alabama
Depression,Self-reported postpartum depressive symptoms,2014,863,17.6,(15.2-20.3),Alabama
Depression,Self-reported postpartum depressive symptoms,2015,841,16.3,(13.9-19.1),Alabama
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,736,44.1,(40.7-47.6),Alabama
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,721,39.7,(36.2-43.2),Alabama
