Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI,State
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,879,31.1,(28.1-34.3),Alabama
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,802,33.5,(30.3-36.8),Alabama
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,796,33.5,(30.4-36.8),Alabama
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,841,3.7,(2.5-5.3),Alabama
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,773,3.8,(2.7-5.5),Alabama
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,759,2.7,(1.7-4.1),Alabama
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,841,26.4,(23.4-29.7),Alabama
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,773,22.8,(19.9-26.1),Alabama
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,759,25.8,(22.8-29.0),Alabama
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,841,27.2,(24.2-30.5),Alabama
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,773,31.7,(28.4-35.3),Alabama
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,759,32.8,(29.6-36.3),Alabama
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,868,23.3,(20.5-26.4),Alabama
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,788,23.7,(20.8-26.9),Alabama
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,785,25.0,(22.0-28.2),Alabama
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,870,11.9,(9.8-14.5),Alabama
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,789,10.8,(8.7-13.3),Alabama
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,785,12.6,(10.3-15.2),Alabama
Substance Use,Any cigarette smoking,Postpartum,2017,869,15.5,(13.1-18.2),Alabama
Substance Use,Any cigarette smoking,Postpartum,2018,788,17.0,(14.4-20.0),Alabama
Substance Use,Any cigarette smoking,Postpartum,2019,785,16.0,(13.5-18.9),Alabama
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,866,4.4,(3.2-6.2),Alabama
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,789,5.4,(4.0-7.4),Alabama
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,784,6.5,(4.9-8.6),Alabama
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,867,1.5,(0.8-2.7),Alabama
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,789,1.4,(0.8-2.6),Alabama
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,784,1.2,(0.6-2.4),Alabama
Substance Use,Hookah use in the last 2 years,,2017,860,3.6,(2.5-5.3),Alabama
Substance Use,Hookah use in the last 2 years,,2018,787,2.6,(1.7-4.0),Alabama
Substance Use,Hookah use in the last 2 years,,2019,782,3.5,(2.4-5.0),Alabama
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,867,2.6,(1.7-4.0),Alabama
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,790,2.3,(1.4-3.7),Alabama
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,780,2.6,(1.7-4.0),Alabama
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,861,4.7,(3.4-6.6),Alabama
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,784,4.0,(2.7-5.7),Alabama
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,785,3.7,(2.6-5.3),Alabama
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,862,3.7,(2.6-5.4),Alabama
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,783,2.2,(1.3-3.6),Alabama
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,785,2.7,(1.8-4.2),Alabama
Depression,Self-reported depression in the 3 months before pregnancy,,2017,879,13.2,(11.0-15.7),Alabama
Depression,Self-reported depression in the 3 months before pregnancy,,2018,801,17.3,(14.7-20.2),Alabama
Depression,Self-reported depression in the 3 months before pregnancy,,2019,793,15.8,(13.4-18.6),Alabama
Depression,Self-reported depression during pregnancy,,2017,866,13.8,(11.6-16.5),Alabama
Depression,Self-reported depression during pregnancy,,2018,784,16.4,(13.9-19.3),Alabama
Depression,Self-reported depression during pregnancy,,2019,781,15.9,(13.4-18.7),Alabama
Depression,Self-reported postpartum depressive symptoms,,2017,854,19.9,(17.2-22.9),Alabama
Depression,Self-reported postpartum depressive symptoms,,2018,785,17.3,(14.7-20.2),Alabama
Depression,Self-reported postpartum depressive symptoms,,2019,767,23.5,(20.5-26.7),Alabama
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,870,55.1,(51.8-58.3),Alabama
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,804,58.2,(54.8-61.5),Alabama
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,789,56.5,(53.1-59.8),Alabama
Health Care Services,Began prenatal care in 1st trimester,,2017,859,83.0,(80.2-85.5),Alabama
Health Care Services,Began prenatal care in 1st trimester,,2018,795,83.2,(80.3-85.7),Alabama
Health Care Services,Began prenatal care in 1st trimester,,2019,787,83.0,(80.2-85.5),Alabama
Health Care Services,Had a flu shot in the 12 months before birth,,2017,863,47.4,(43.9-50.9),Alabama
Health Care Services,Had a flu shot in the 12 months before birth,,2018,795,46.5,(43.0-50.1),Alabama
Health Care Services,Had a flu shot in the 12 months before birth,,2019,779,52.7,(49.2-56.2),Alabama
Health Care Services,Had maternal postpartum checkup,,2017,859,88.7,(86.3-90.8),Alabama
Health Care Services,Had maternal postpartum checkup,,2018,782,94.3,(92.3-95.8),Alabama
Health Care Services,Had maternal postpartum checkup,,2019,776,92.8,(90.7-94.4),Alabama
Pregnancy Intention,Mistimed,,2017,873,24.3,(21.4-27.5),Alabama
Pregnancy Intention,Mistimed,,2018,801,21.7,(18.9-24.9),Alabama
Pregnancy Intention,Mistimed,,2019,786,21.6,(18.9-24.7),Alabama
Pregnancy Intention,Unwanted pregnancy,,2017,873,8.6,(6.8-10.8),Alabama
Pregnancy Intention,Unwanted pregnancy,,2018,801,7.3,(5.7-9.4),Alabama
Pregnancy Intention,Unwanted pregnancy,,2019,786,8.8,(6.9-11.0),Alabama
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,873,17.7,(15.2-20.6),Alabama
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,801,17.3,(14.7-20.2),Alabama
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,786,20.9,(18.1-23.9),Alabama
Pregnancy Intention,Intended pregnancy,,2017,873,49.4,(46.0-52.7),Alabama
Pregnancy Intention,Intended pregnancy,,2018,801,53.6,(50.1-57.1),Alabama
Pregnancy Intention,Intended pregnancy,,2019,786,48.7,(45.3-52.2),Alabama
Postpartum Family Planning,Use of any postpartum contraception,,2017,848,81.0,(78.0-83.6),Alabama
Postpartum Family Planning,Use of any postpartum contraception,,2018,774,78.2,(75.0-81.1),Alabama
Postpartum Family Planning,Use of any postpartum contraception,,2019,763,83.3,(80.5-85.9),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,848,18.1,(15.5-21.0),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,774,13.2,(11.0-15.9),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,763,17.7,(15.1-20.6),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,848,16.3,(13.8-19.1),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,774,13.8,(11.4-16.5),Alabama
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,763,15.1,(12.7-17.8),Alabama
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,848,30.7,(27.5-34.1),Alabama
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,774,32.0,(28.7-35.5),Alabama
