Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1035,41.2,(37.7-44.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1219,43.3,(40.1-46.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,959,43.6,(40.0-47.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1134,45.9,(41.5-50.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1010,2.9,(2.0-4.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1169,3.5,(2.4-5.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,934,2.9,(1.9-4.5)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1091,4.5,(2.6-7.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1010,24.9,(21.8-28.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1169,26.1,(23.2-29.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,934,28.6,(25.3-32.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1091,27.6,(23.7-31.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1010,23.0,(20.1-26.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1169,23.3,(20.6-26.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,934,23.5,(20.4-26.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1091,24.2,(20.5-28.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1031,23.7,(20.7-27.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1211,21.1,(18.4-24.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,954,23.0,(19.9-26.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1117,18.0,(14.6-22.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1032,12.6,(10.3-15.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1215,10.5,(8.6-12.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,955,12.2,(9.9-14.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1120,9.2,(6.9-12.2)
Substance Use,Any cigarette smoking,Postpartum,2016,1034,17.2,(14.5-20.2)
Substance Use,Any cigarette smoking,Postpartum,2017,1216,14.7,(12.4-17.3)
Substance Use,Any cigarette smoking,Postpartum,2018,954,16.3,(13.7-19.4)
Substance Use,Any cigarette smoking,Postpartum,2019,1116,12.6,(9.7-16.3)
Substance Use,During the 3 months before pregnancy,,2016,1031,23.7,(20.7-27.0)
Substance Use,During the 3 months before pregnancy,,2017,1211,21.1,(18.4-24.0)
