Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1028,21.8,(18.8-25.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,959,22.4,(19.2-25.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1025,21.0,(18.0-24.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,983,7.3,(5.4-9.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,939,6.4,(4.7-8.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1007,6.6,(4.9-8.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,983,25.1,(21.8-28.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,939,26.3,(22.9-30.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1007,26.2,(22.9-29.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,983,21.1,(18.0-24.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,939,21.5,(18.4-25.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1007,24.5,(21.4-28.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1025,5.9,(4.3-8.0)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,952,5.3,(3.8-7.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1024,7.0,(5.3-9.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1025,1.9,(1.1-3.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,951,0.8,(0.4-1.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1024,1.0,(0.4-2.0)
Substance Use,Any cigarette smoking,Postpartum,2017,1025,3.3,(2.1-5.0)
Substance Use,Any cigarette smoking,Postpartum,2018,953,2.6,(1.6-4.2)
Substance Use,Any cigarette smoking,Postpartum,2019,1023,3.1,(2.0-4.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1025,1.4,(0.7-2.7)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,953,1.5,(0.7-2.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1024,2.1,(1.2-3.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1026,0.4,(0.1-1.5)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,953,0.0,(0.0-0.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1024,0.4,(0.1-1.2)
Substance Use,Hookah use in the last 2 years,,2017,1025,3.7,(2.5-5.6)
Substance Use,Hookah use in the last 2 years,,2018,954,4.7,(3.3-6.7)
Substance Use,Hookah use in the last 2 years,,2019,1023,3.4,(2.3-5.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1023,2.9,(1.8-4.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,951,2.4,(1.4-4.0)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1021,2.4,(1.5-3.9)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,883,2.0,(1.1-3.5)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,820,1.9,(1.0-3.5)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,887,1.2,(0.6-2.4)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,884,2.4,(1.4-4.2)
