Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1146,41.8,(38.8-44.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1099,43.7,(40.5-47.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1099,41.9,(38.7-45.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,987,43.6,(40.2-47.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1103,3.5,(2.5-4.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1030,2.7,(1.9-4.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1047,1.9,(1.2-2.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,938,2.2,(1.4-3.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1103,27.6,(24.8-30.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1030,24.9,(22.0-28.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1047,27.4,(24.4-30.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,938,28.2,(25.2-31.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1103,23.3,(20.7-26.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1030,24.9,(22.1-28.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1047,25.7,(22.7-28.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,938,25.0,(22.0-28.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1131,17.3,(15.0-19.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1075,15.1,(12.7-17.8)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1065,12.0,(9.9-14.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,966,11.4,(9.3-13.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1130,7.0,(5.5-8.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1075,5.4,(3.9-7.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1065,4.7,(3.4-6.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,966,4.0,(2.8-5.6)
Substance Use,Any cigarette smoking,Postpartum,2016,1131,10.2,(8.4-12.3)
Substance Use,Any cigarette smoking,Postpartum,2017,1075,8.2,(6.4-10.4)
Substance Use,Any cigarette smoking,Postpartum,2018,1065,7.3,(5.7-9.4)
Substance Use,Any cigarette smoking,Postpartum,2019,966,6.4,(4.9-8.3)
Substance Use,During the 3 months before pregnancy,,2016,1131,17.3,(15.0-19.9)
Substance Use,During the 3 months before pregnancy,,2017,1075,15.1,(12.7-17.8)
Substance Use,During the 3 months before pregnancy,,2018,1065,12.0,(9.9-14.5)
Substance Use,During the 3 months before pregnancy,,2019,966,11.4,(9.3-13.9)
Substance Use,During the last 3 months of pregnancy,,2016,1130,7.0,(5.5-8.8)
Substance Use,During the last 3 months of pregnancy,,2017,1075,5.4,(3.9-7.2)
Substance Use,During the last 3 months of pregnancy,,2018,1065,4.7,(3.4-6.4)
Substance Use,During the last 3 months of pregnancy,,2019,966,4.0,(2.8-5.6)
Substance Use,Postpartum,,2016,1131,10.2,(8.4-12.3)
Substance Use,Postpartum,,2017,1075,8.2,(6.4-10.4)
Substance Use,Postpartum,,2018,1065,7.3,(5.7-9.4)
Substance Use,Postpartum,,2019,966,6.4,(4.9-8.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1121,1.9,(1.2-3.0)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1077,2.4,(1.5-3.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1070,3.7,(2.5-5.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,968,5.2,(3.8-7.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1121,0.9,(0.4-1.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1075,0.2,(0.0-0.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1071,1.0,(0.5-2.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,968,1.5,(0.8-2.7)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2016,1119,8.6,(7.0-10.7)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2017,1078,9.1,(7.3-11.2)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2018,1070,10.6,(8.5-13.0)
Substance Use,Any e-cigarette use,Hookah use in the last 2 years,2019,960,9.5,(7.5-12.0)
Substance Use,During the 3 months before pregnancy,,2016,1121,1.9,(1.2-3.0)
Substance Use,During the 3 months before pregnancy,,2017,1077,2.4,(1.5-3.6)
Substance Use,During the 3 months before pregnancy,,2018,1070,3.7,(2.5-5.3)
Substance Use,During the 3 months before pregnancy,,2019,968,5.2,(3.8-7.2)
Substance Use,During the last 3 months of pregnancy,,2016,1121,0.9,(0.4-1.8)
Substance Use,During the last 3 months of pregnancy,,2017,1075,0.2,(0.0-0.6)
