Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1099,48.2,(44.9-51.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,997,46.9,(43.4-50.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,990,49.0,(45.6-52.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1072,4.0,(2.9-5.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,966,2.6,(1.7-3.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,975,0.9,(0.5-1.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1072,24.9,(22.0-27.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,966,28.2,(25.0-31.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,975,24.9,(22.0-28.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1072,25.6,(22.7-28.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,966,22.4,(19.6-25.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,975,30.8,(27.6-34.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1106,23.6,(21.0-26.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,996,24.9,(21.9-28.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,998,22.9,(20.3-25.8)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1106,9.6,(7.9-11.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,994,10.4,(8.4-12.9)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,998,9.5,(7.7-11.5)
Substance Use,Any cigarette smoking,Postpartum,2017,1106,14.2,(12.2-16.5)
Substance Use,Any cigarette smoking,Postpartum,2018,993,16.4,(13.9-19.3)
Substance Use,Any cigarette smoking,Postpartum,2019,997,14.9,(12.6-17.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1106,2.5,(1.7-3.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,995,4.4,(3.0-6.5)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,995,4.6,(3.3-6.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1105,0.3,(0.1-0.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,996,1.2,(0.6-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,995,0.9,(0.5-1.8)
Substance Use,Hookah use in the last 2 years,,2017,1093,3.1,(2.2-4.5)
Substance Use,Hookah use in the last 2 years,,2018,986,2.4,(1.5-3.7)
Substance Use,Hookah use in the last 2 years,,2019,981,2.4,(1.5-3.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1108,3.3,(2.3-4.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,991,3.0,(1.9-4.6)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,997,3.9,(2.8-5.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1109,3.8,(2.8-5.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,994,4.4,(3.2-6.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,993,4.2,(3.1-5.7)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1106,2.5,(1.7-3.6)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,996,3.4,(2.3-5.0)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,989,2.1,(1.4-3.0)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1119,15.8,(13.6-18.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1011,15.5,(13.1-18.3)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1012,20.0,(17.4-23.0)
Depression,Self-reported depression during pregnancy,,2017,1103,14.9,(12.7-17.4)
Depression,Self-reported depression during pregnancy,,2018,996,16.7,(14.1-19.7)
Depression,Self-reported depression during pregnancy,,2019,997,18.1,(15.6-21.0)
Depression,Self-reported postpartum depressive symptoms,,2017,1098,14.3,(12.2-16.8)
Depression,Self-reported postpartum depressive symptoms,,2018,995,13.0,(10.9-15.5)
Depression,Self-reported postpartum depressive symptoms,,2019,990,12.6,(10.6-15.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1099,71.6,(68.7-74.4)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,996,69.2,(65.9-72.3)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,990,72.5,(69.5-75.3)
Health Care Services,Began prenatal care in 1st trimester,,2017,1111,86.3,(84.0-88.3)
Health Care Services,Began prenatal care in 1st trimester,,2018,1002,83.3,(80.4-85.8)
Health Care Services,Began prenatal care in 1st trimester,,2019,984,86.5,(84.0-88.6)
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1112,74.2,(71.1-77.0)
Health Care Services,Had a flu shot in the 12 months before birth,,2018,995,74.7,(71.5-77.7)
Health Care Services,Had a flu shot in the 12 months before birth,,2019,993,76.8,(73.8-79.6)
Health Care Services,Had maternal postpartum checkup,,2017,1115,91.2,(89.7-92.6)
Health Care Services,Had maternal postpartum checkup,,2018,1003,89.4,(87.2-91.2)
Health Care Services,Had maternal postpartum checkup,,2019,996,89.6,(87.6-91.3)
Pregnancy Intention,Mistimed,,2017,1092,18.0,(15.6-20.7)
Pregnancy Intention,Mistimed,,2018,988,18.0,(15.3-21.0)
Pregnancy Intention,Mistimed,,2019,985,18.6,(16.0-21.5)
Pregnancy Intention,Unwanted pregnancy,,2017,1092,6.8,(5.4-8.6)
Pregnancy Intention,Unwanted pregnancy,,2018,988,5.3,(3.9-7.1)
Pregnancy Intention,Unwanted pregnancy,,2019,985,5.4,(4.2-7.0)
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1092,17.7,(15.4-20.4)
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,988,15.8,(13.4-18.5)
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,985,17.3,(14.9-20.0)
Pregnancy Intention,Intended pregnancy,,2017,1092,57.4,(54.1-60.6)
Pregnancy Intention,Intended pregnancy,,2018,988,61.0,(57.4-64.4)
Pregnancy Intention,Intended pregnancy,,2019,985,58.6,(55.3-62.0)
Postpartum Family Planning,Use of any postpartum contraception,,2017,1092,76.1,(73.2-78.9)
Postpartum Family Planning,Use of any postpartum contraception,,2018,988,76.3,(73.2-79.2)
Postpartum Family Planning,Use of any postpartum contraception,,2019,991,79.3,(76.4-82.0)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,1092,9.2,(7.5-11.3)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,988,11.8,(9.6-14.6)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,991,11.5,(9.5-13.9)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,1092,19.3,(16.7-22.1)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,988,19.7,(17.0-22.7)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,991,19.1,(16.5-22.0)
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,1092,26.3,(23.4-29.5)
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,988,24.0,(21.0-27.3)
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,991,23.4,(20.5-26.5)
Postpartum Family Planning,Least effective contraceptive methods,,2017,1092,21.4,(18.6-24.3)
Postpartum Family Planning,Least effective contraceptive methods,,2018,988,20.8,(18.0-23.9)
Postpartum Family Planning,Least effective contraceptive methods,,2019,991,25.3,(22.4-28.5)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,1121,47.7,(44.4-51.0)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,1007,48.7,(45.1-52.3)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,1005,50.3,(46.9-53.7)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,1026,67.3,(64.5-69.9)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,957,68.6,(65.5-71.6)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,951,69.0,(66.2-71.7)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,1026,16.0,(13.9-18.2)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,957,14.3,(12.2-16.6)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,951,14.7,(12.7-16.9)
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,1026,16.8,(14.6-19.1)
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,957,17.1,(14.6-19.9)
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,951,16.3,(14.1-18.7)
Health Insurance Status for Prenatal Care,Private insurance,,2017,995,64.9,(62.0-67.8)
Health Insurance Status for Prenatal Care,Private insurance,,2018,930,66.3,(63.1-69.4)
Health Insurance Status for Prenatal Care,Private insurance,,2019,922,66.7,(63.7-69.5)
Health Insurance Status for Prenatal Care,Medicaid,,2017,995,31.8,(29.0-34.7)
Health Insurance Status for Prenatal Care,Medicaid,,2018,930,28.9,(26.0-32.1)
Health Insurance Status for Prenatal Care,Medicaid,,2019,922,29.3,(26.6-32.2)
Health Insurance Status for Prenatal Care,No insurance,,2017,995,3.3,(2.3-4.5)
Health Insurance Status for Prenatal Care,No insurance,,2018,930,4.7,(3.4-6.6)
Health Insurance Status for Prenatal Care,No insurance,,2019,922,4.0,(2.9-5.6)
Health Insurance Status Postpartum,Private insurance,,2017,1028,66.6,(63.8-69.3)
Health Insurance Status Postpartum,Private insurance,,2018,954,66.8,(63.7-69.8)
