Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,,,
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,653,34.7,(29.8-39.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,,,
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,634,3.8,(2.2-6.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,,,
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,634,24.5,(20.1-29.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,,,
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,634,32.5,(27.5-37.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,653,19.3,(15.4-24.0)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,,,
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,654,8.3,(5.9-11.5)
Substance Use,Any cigarette smoking,Postpartum,2016,,,
Substance Use,Any cigarette smoking,Postpartum,2019,654,13.6,(10.4-17.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,655,5.1,(3.1-8.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,,,
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,655,1.0,(0.4-2.2)
Substance Use,Hookah use in the last 2 years,,2016,,,
Substance Use,Hookah use in the last 2 years,,2019,644,3.9,(2.2-6.8)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,,,
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,649,3.8,(2.1-6.7)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,626,2.5,(1.4-4.6)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,,,
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,630,0.6,(0.2-1.6)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,,,
Depression,Self-reported depression in the 3 months before pregnancy,,2019,658,17.3,(13.7-21.7)
Depression,Self-reported depression during pregnancy,,2016,,,
Depression,Self-reported depression during pregnancy,,2019,648,16.8,(13.2-21.3)
Depression,Self-reported postpartum depressive symptoms,,2016,,,
Depression,Self-reported postpartum depressive symptoms,,2019,642,15.5,(11.9-20.0)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,,,
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,656,62.8,(57.4-67.9)
Health Care Services,Began prenatal care in 1st trimester,,2016,,,
Health Care Services,Began prenatal care in 1st trimester,,2019,643,84.7,(80.1-88.3)
Health Care Services,Had a flu shot in the 12 months before birth,,2016,,,
Health Care Services,Had a flu shot in the 12 months before birth,,2019,647,56.8,(51.3-62.1)
Health Care Services,Had maternal postpartum checkup,,2016,,,
Health Care Services,Had maternal postpartum checkup,,2019,650,88.3,(84.3-91.4)
Pregnancy Intention,Mistimed,,2016,,,
Pregnancy Intention,Mistimed,,2019,655,21.0,(16.8-26.0)
Pregnancy Intention,Unwanted pregnancy,,2016,,,
Pregnancy Intention,Unwanted pregnancy,,2019,655,10.1,(7.2-14.0)
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,,,
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,655,18.8,(14.9-23.6)
Pregnancy Intention,Intended pregnancy,,2016,,,
Pregnancy Intention,Intended pregnancy,,2019,655,50.1,(44.6-55.5)
Postpartum Family Planning,Use of any postpartum contraception,,2016,,,
Postpartum Family Planning,Use of any postpartum contraception,,2019,645,82.9,(78.4-86.7)
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,645,12.9,(9.8-16.9)
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,,,
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,645,16.3,(12.7-20.7)
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,,,
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,645,26.0,(21.4-31.1)
Postpartum Family Planning,Least effective contraceptive methods,,2016,,,
Postpartum Family Planning,Least effective contraceptive methods,,2019,645,27.7,(23.0-32.9)
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,,,
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,657,31.4,(26.6-36.5)
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,,,
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,631,50.2,(44.6-55.7)
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,,,
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,631,30.2,(25.2-35.7)
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,,,
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,631,18.3,(14.3-23.0)
Health Insurance Status for Prenatal Care,Private insurance,,2016,,,
Health Insurance Status for Prenatal Care,Private insurance,,2019,554,50.6,(44.8-56.5)
Health Insurance Status for Prenatal Care,Medicaid,,2016,,,
Health Insurance Status for Prenatal Care,Medicaid,,2019,554,42.6,(36.8-48.5)
Health Insurance Status for Prenatal Care,No insurance,,2016,,,
Health Insurance Status for Prenatal Care,No insurance,,2019,554,0.7,(0.1-3.4)
Health Insurance Status Postpartum,Private insurance,,2016,,,
Health Insurance Status Postpartum,Private insurance,,2019,636,44.4,(39.0-49.9)
Health Insurance Status Postpartum,Medicaid,,2016,,,
Health Insurance Status Postpartum,Medicaid,,2019,636,43.3,(37.9-48.9)
Health Insurance Status Postpartum,No insurance,,2016,,,
Health Insurance Status Postpartum,No insurance,,2019,636,11.3,(8.2-15.3)
Infant Sleep Practices,Baby most often laid on back to sleep,,2016,,,
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,630,79.4,(74.5-83.5)
Breastfeeding Practices,Ever breastfed,,2016,,,
Breastfeeding Practices,Ever breastfed,,2019,635,81.3,(76.6-85.3)
