Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1392,48.3,(45.1-51.6)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1436,46.1,(42.8-49.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1247,45.8,(42.3-49.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1702,48.3,(45.2-51.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1360,3.4,(2.5-4.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1384,5.4,(4.0-7.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1203,4.9,(3.6-6.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1683,3.5,(2.5-4.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1360,24.9,(22.2-27.9)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1384,25.2,(22.4-28.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1203,25.2,(22.3-28.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1683,21.6,(19.2-24.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1360,18.9,(16.5-21.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1384,22.0,(19.4-24.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1203,21.0,(18.3-24.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1683,22.8,(20.3-25.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1381,9.7,(8.1-11.5)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1430,8.7,(7.2-10.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1234,8.6,(7.0-10.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1699,6.7,(5.4-8.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1379,3.5,(2.7-4.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1431,3.6,(2.8-4.6)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1233,3.8,(2.8-5.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1699,2.8,(2.0-4.0)
Substance Use,Any cigarette smoking,Postpartum,2016,1380,5.5,(4.3-6.8)
Substance Use,Any cigarette smoking,Postpartum,2017,1431,4.8,(3.8-6.0)
Substance Use,Any cigarette smoking,Postpartum,2018,1236,5.2,(4.0-6.6)
Substance Use,Any cigarette smoking,Postpartum,2019,1698,3.9,(2.8-5.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1378,5.0,(3.8-6.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1418,4.6,(3.6-5.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1231,5.1,(4.0-6.4)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1696,5.5,(4.2-7.0)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1386,1.5,(1.0-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1424,1.6,(1.1-2.4)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1237,1.4,(0.8-2.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1700,1.4,(0.9-2.4)
Substance Use,Hookah use in the last 2 years,,2016,1352,3.0,(2.2-4.2)
Substance Use,Hookah use in the last 2 years,,2017,1400,2.8,(1.9-4.2)
Substance Use,Hookah use in the last 2 years,,2018,1213,2.7,(1.9-3.9)
Substance Use,Hookah use in the last 2 years,,2019,1674,2.3,(1.5-3.6)
