Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,917,45.9,(42.7-49.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,843,47.0,(43.5-50.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,873,46.9,(43.5-50.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,783,50.4,(46.8-54.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,904,3.5,(2.4-5.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,819,1.7,(1.0-2.7)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,861,4.1,(2.9-5.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,771,3.4,(2.3-5.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,904,23.4,(20.7-26.3)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,819,21.6,(18.8-24.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,861,25.2,(22.4-28.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,771,25.5,(22.4-28.7)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,904,22.4,(19.7-25.3)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,819,27.0,(23.9-30.4)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,861,25.4,(22.5-28.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,771,25.3,(22.2-28.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,902,24.3,(21.5-27.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,836,22.0,(19.1-25.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,860,24.0,(21.1-27.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,775,19.7,(16.9-22.8)
