Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,676,45.5,(40.7-50.3)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1072,43.3,(38.6-48.2)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1140,43.3,(38.6-48.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,986,43.4,(38.5-48.4)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,624,1.4,(0.6-2.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,989,2.7,(1.5-4.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1063,4.6,(2.9-7.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,924,1.3,(0.6-2.8)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,624,25.8,(21.6-30.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,989,24.7,(20.5-29.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1063,24.7,(20.7-29.2)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,924,23.6,(19.5-28.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,624,23.6,(19.6-28.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,989,26.6,(22.3-31.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1063,26.0,(21.7-30.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,924,27.6,(23.2-32.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,671,16.2,(13.0-20.2)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1062,16.3,(12.9-20.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1136,15.3,(11.9-19.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,973,16.8,(13.2-21.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,671,5.7,(3.8-8.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1068,6.3,(4.3-9.3)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1142,4.2,(2.6-6.7)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,973,7.6,(5.1-11.0)
Substance Use,Any cigarette smoking,Postpartum,2016,670,9.6,(7.1-12.9)
Substance Use,Any cigarette smoking,Postpartum,2017,1068,8.5,(6.0-11.7)
Substance Use,Any cigarette smoking,Postpartum,2018,1137,7.1,(4.9-10.1)
Substance Use,Any cigarette smoking,Postpartum,2019,973,11.0,(8.0-14.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,667,3.9,(2.5-6.2)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1068,3.8,(2.2-6.3)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1132,2.4,(1.2-4.6)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,971,4.6,(2.9-7.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,669,1.1,(0.4-2.6)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1069,0.9,(0.3-2.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1133,0.1,(0.0-0.1)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,972,0.8,(0.3-2.4)
Substance Use,Hookah use in the last 2 years,,2016,665,6.5,(4.5-9.5)
Substance Use,Hookah use in the last 2 years,,2017,1058,5.5,(3.6-8.4)
Substance Use,Hookah use in the last 2 years,,2018,1123,5.1,(3.3-8.0)
Substance Use,Hookah use in the last 2 years,,2019,964,5.5,(3.6-8.3)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,662,2.4,(1.3-4.3)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1063,2.5,(1.4-4.4)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1127,1.9,(1.0-3.5)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,978,3.8,(2.2-6.2)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,667,2.1,(1.0-4.0)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1062,3.1,(1.7-5.6)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1130,2.1,(1.0-4.3)
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,974,2.8,(1.4-5.3)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,667,2.1,(1.0-4.2)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1056,2.8,(1.5-5.1)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,1129,1.9,(0.8-4.1)
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,975,2.6,(1.3-5.2)
Depression,Self-reported depression in the 3 months before pregnancy,,2016,664,10.6,(8.0-13.9)
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1064,9.1,(6.6-12.4)
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1140,12.0,(9.2-15.6)
Depression,Self-reported depression in the 3 months before pregnancy,,2019,981,16.5,(12.9-20.8)
Depression,Self-reported depression during pregnancy,,2016,662,9.4,(7.0-12.5)
Depression,Self-reported depression during pregnancy,,2017,1055,8.9,(6.5-12.2)
Depression,Self-reported depression during pregnancy,,2018,1134,10.7,(8.0-14.2)
Depression,Self-reported depression during pregnancy,,2019,964,17.3,(13.6-21.7)
Depression,Self-reported postpartum depressive symptoms,,2016,665,12.9,(10.0-16.5)
Depression,Self-reported postpartum depressive symptoms,,2017,1064,12.4,(9.4-16.2)
Depression,Self-reported postpartum depressive symptoms,,2018,1126,13.5,(10.5-17.2)
Depression,Self-reported postpartum depressive symptoms,,2019,963,14.6,(11.3-18.7)
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,662,64.0,(59.1-68.6)
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1057,63.1,(58.2-67.8)
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,1135,65.6,(60.7-70.2)
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,978,65.9,(60.9-70.6)
Health Care Services,Began prenatal care in 1st trimester,,2016,661,88.0,(84.5-90.8)
Health Care Services,Began prenatal care in 1st trimester,,2017,1063,84.4,(80.4-87.7)
