Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,798,31.9,(28.2-35.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,697,34.2,(30.1-38.5)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,686,36.4,(32.2-40.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,785,3.2,(2.1-5.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,683,3.3,(2.1-5.0)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,674,3.6,(2.3-5.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,785,23.7,(20.3-27.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,683,24.4,(20.8-28.4)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,674,23.4,(19.7-27.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,785,30.8,(27.1-34.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,683,30.7,(26.8-35.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,674,33.6,(29.5-37.9)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,783,34.3,(30.5-38.3)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,676,31.2,(27.2-35.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,676,34.8,(30.6-39.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,782,22.8,(19.6-26.4)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,677,18.6,(15.4-22.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,677,24.9,(21.2-29.0)
Substance Use,Any cigarette smoking,Postpartum,2016,782,27.4,(23.8-31.2)
Substance Use,Any cigarette smoking,Postpartum,2017,670,23.9,(20.3-27.9)
