Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1258,46.7,(42.7-50.8)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1343,41.1,(37.2-45.1)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1054,44.6,(40.4-48.9)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,850,42.9,(38.6-47.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1213,2.2,(1.3-3.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1305,2.5,(1.5-4.1)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,1030,1.5,(0.8-2.8)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,826,1.8,(0.9-3.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1213,25.2,(21.8-29.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1305,24.4,(21.1-28.0)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,1030,25.7,(22.1-29.6)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,826,24.9,(21.3-28.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1213,27.1,(23.6-30.9)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1305,26.4,(23.0-30.2)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,1030,29.6,(25.8-33.6)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,826,26.3,(22.6-30.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1220,21.2,(17.8-25.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1311,20.0,(16.9-23.6)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,1031,16.2,(13.2-19.7)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,823,16.3,(13.1-20.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1219,12.1,(9.4-15.5)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1312,12.0,(9.4-15.1)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,1032,10.1,(7.7-13.2)
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,822,6.2,(4.2-9.0)
Substance Use,Any cigarette smoking,Postpartum,2016,1214,14.1,(11.3-17.6)
Substance Use,Any cigarette smoking,Postpartum,2017,1311,15.0,(12.2-18.3)
Substance Use,Any cigarette smoking,Postpartum,2018,1033,12.3,(9.6-15.5)
Substance Use,Any cigarette smoking,Postpartum,2019,821,8.8,(6.5-11.9)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1212,3.7,(2.3-5.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1306,3.1,(1.9-5.1)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1031,3.4,(2.0-5.8)
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,827,5.5,(3.7-8.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1214,1.4,(0.6-3.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1305,1.3,(0.6-2.8)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1033,2.1,(1.0-4.2)
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,826,1.0,(0.4-2.6)
Substance Use,Hookah use in the last 2 years,,2016,1205,3.7,(2.6-5.3)
Substance Use,Hookah use in the last 2 years,,2017,1291,4.4,(3.1-6.2)
Substance Use,Hookah use in the last 2 years,,2018,1021,3.7,(2.6-5.3)
Substance Use,Hookah use in the last 2 years,,2019,818,4.2,(3.0-6.1)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1209,3.2,(2.0-5.2)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1302,3.3,(2.1-5.3)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,1027,4.0,(2.6-6.2)
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,819,5.3,(3.5-7.9)
