Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,612,41.1,(36.6-45.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,501,35.8,(31.2-40.7)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,543,39.3,(34.5-44.4)
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,493,41.6,(36.4-46.9)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,593,3.9,(2.4-6.2)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,488,3.8,(2.2-6.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,538,2.7,(1.5-4.6)
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,484,1.2,(0.5-2.7)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,593,25.7,(21.7-30.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,488,24.4,(20.2-29.1)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,538,28.6,(24.2-33.5)
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,484,30.5,(25.7-35.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,593,19.5,(16.0-23.5)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,488,25.3,(21.1-30.0)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,538,23.2,(19.2-27.8)
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,484,26.3,(21.8-31.4)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,611,21.1,(17.6-25.1)
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,497,24.2,(20.0-29.0)
